,Time Averaged Accuracy,Total Energy Remaining,Best Heading/Bearing Correlation,Heterogeneity Parameter,Seekers,Explorers
0,0.6935313333333334,0.148,0.4813733333333333,0.0,50.0,0.0
0,0.5906346666666666,0.062,0.513891156462585,0.02,49.0,1.0
0,0.605494,0.134,0.4861111111111111,0.04,48.0,2.0
0,0.605618,0.149,0.5111347517730497,0.06,47.0,3.0
0,0.466748,0.048,0.4350434782608696,0.08,46.0,4.0
0,0.5484060000000001,0.097,0.4647111111111111,0.1,45.0,5.0
0,0.5893526666666666,0.08,0.4887424242424242,0.12,44.0,6.0
0,0.791608,0.179,0.473860465116279,0.14,43.0,7.0
0,0.588246,0.092,0.5163650793650794,0.16,42.0,8.0
0,0.6973133333333333,0.157,0.506390243902439,0.18,41.0,9.0
0,0.7273100000000001,0.078,0.5550666666666667,0.2,40.0,10.0
0,0.6979253333333333,0.118,0.568923076923077,0.22,39.0,11.0
0,0.6620953333333334,0.106,0.5900877192982457,0.24,38.0,12.0
0,0.8428086666666667,0.129,0.5348288288288289,0.26,37.0,13.0
0,0.7833686666666666,0.142,0.5297777777777778,0.28,36.0,14.0
0,0.787754,0.125,0.5297904761904761,0.3,35.0,15.0
0,0.6372973333333333,0.135,0.4984705882352941,0.32,34.0,16.0
0,0.6989386666666666,0.136,0.4473333333333333,0.34,33.0,17.0
0,0.758998,0.128,0.5858958333333333,0.36,32.0,18.0
0,0.7442113333333333,0.148,0.6565806451612903,0.38,31.0,19.0
0,0.8198966666666665,0.148,0.5066222222222222,0.4,30.0,20.0
0,0.7340673333333334,0.161,0.595632183908046,0.42,29.0,21.0
0,0.7641146666666667,0.165,0.6072142857142857,0.44,28.0,22.0
0,0.8316066666666666,0.178,0.5893086419753086,0.46,27.0,23.0
0,0.7146853333333334,0.147,0.6186153846153846,0.48,26.0,24.0
0,0.7795926666666666,0.22,0.6003733333333333,0.5,25.0,25.0
0,0.7494353333333333,0.225,0.6194166666666666,0.52,24.0,26.0
0,0.661048,0.199,0.6131304347826086,0.54,23.0,27.0
0,0.7249086666666668,0.198,0.6286363636363637,0.56,22.0,28.0
0,0.7523326666666666,0.205,0.6521269841269841,0.58,21.0,29.0
0,0.8186873333333333,0.203,0.6852666666666667,0.6,20.0,30.0
0,0.7541593333333334,0.199,0.6568421052631579,0.62,19.0,31.0
0,0.749936,0.198,0.682074074074074,0.64,18.0,32.0
0,0.7443066666666667,0.196,0.7364705882352941,0.66,17.0,33.0
0,0.7020240000000001,0.225,0.6725416666666667,0.68,16.0,34.0
0,0.7389020000000001,0.227,0.6718222222222222,0.7,15.0,35.0
0,0.8068233333333334,0.213,0.6957619047619048,0.72,14.0,36.0
0,0.7850213333333335,0.237,0.7083589743589743,0.74,13.0,37.0
0,0.7073233333333334,0.237,0.7491666666666666,0.76,12.0,38.0
0,0.7464839999999999,0.209,0.7072727272727273,0.78,11.0,39.0
0,0.7927453333333333,0.227,0.7461333333333333,0.8,10.0,40.0
0,0.702866,0.262,0.7534074074074074,0.82,9.0,41.0
0,0.699982,0.233,0.696,0.84,8.0,42.0
0,0.7905986666666668,0.229,0.7556190476190476,0.86,7.0,43.0
0,0.8726213333333334,0.184,0.7516666666666667,0.88,6.0,44.0
0,0.8284453333333331,0.249,0.7716,0.9,5.0,45.0
0,0.7282259999999999,0.277,0.7683333333333333,0.92,4.0,46.0
0,0.6571813333333333,0.258,0.7264444444444444,0.94,3.0,47.0
0,0.6521619999999999,0.277,0.7133333333333334,0.96,2.0,48.0
0,0.6845313333333334,0.277,0.792,0.98,1.0,49.0
