,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,heterogeneity,Seekers,Explorers,Isocontours
0,0.1,,,,,0.0,0,0,25
0,0.1,,,,,0.04,0,1,24
0,0.1,,,,,0.08,0,2,23
0,0.1,,,,,0.12,0,3,22
0,0.1,,,,,0.16,0,4,21
0,0.1,,,,,0.2,0,5,20
0,0.1,,,,,0.24,0,6,19
0,0.1,,,,,0.28,0,7,18
0,0.1,,,,,0.32,0,8,17
0,0.1,,,,,0.36,0,9,16
0,0.1,,,,,0.4,0,10,15
0,0.1,,,,,0.44,0,11,14
0,0.1,,,,,0.48,0,12,13
0,0.1,,,,,0.52,0,13,12
0,0.1,,,,,0.56,0,14,11
0,0.1,,,,,0.6,0,15,10
0,0.1,,,,,0.64,0,16,9
0,0.1,,,,,0.68,0,17,8
0,0.1,,,,,0.72,0,18,7
0,0.1,,,,,0.76,0,19,6
0,0.1,,,,,0.8,0,20,5
0,0.1,,,,,0.84,0,21,4
0,0.1,,,,,0.88,0,22,3
0,0.1,,,,,0.92,0,23,2
0,0.1,,,,,0.96,0,24,1
