Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
0.0,16,0.0,-1.1,-16.0,,,0.28
0.0,17,0.0,11.8,-11.4,,,0.28
0.0,18,0.0,-20.9,-21.4,,,0.28
0.0,19,0.0,-20.8,21.6,,,0.28
0.0,20,0.0,9.9,-3.9,,,0.28
0.0,21,0.0,-1.9,-1.5,,,0.28
0.0,22,0.0,-4.4,20.3,,,0.28
0.0,23,0.0,3.0,12.1,,,0.28
0.0,24,0.0,12.7,8.6,,,0.28
0.0,25,0.0,5.5,-12.7,,,0.28
0.1,16,0.0,-1.2,-16.0,1.0,11.284,0.28
0.1,17,0.0,11.7,-11.5,2.0,7.523,0.28
0.1,18,0.0,-21.0,-21.4,0.0,22.568,0.28
0.1,19,0.0,-20.8,21.6,0.0,22.568,0.28
0.1,20,0.0,9.9,-3.8,2.0,7.523,0.28
0.1,21,0.0,-1.8,-1.5,0.0,22.568,0.28
0.1,22,0.0,-4.3,20.3,1.0,11.284,0.28
0.1,23,0.0,3.1,12.1,2.0,7.523,0.28
0.1,24,0.0,12.6,8.7,1.0,11.284,0.28
0.1,25,0.0,5.6,-12.7,3.0,5.642,0.28
0.2,16,0.0,-1.1,-15.9,1.0,11.284,0.28
0.2,17,0.0,11.7,-11.4,2.0,7.523,0.28
0.2,18,0.0,-21.1,-21.3,0.0,22.568,0.28
0.2,19,0.0,-20.8,21.6,0.0,22.568,0.28
0.2,20,0.0,9.8,-3.7,2.0,7.523,0.28
0.2,21,0.0,-1.8,-1.5,0.0,22.568,0.28
0.2,22,0.0,-4.4,20.4,1.0,11.284,0.28
0.2,23,0.0,3.0,12.1,2.0,7.523,0.28
0.2,24,0.0,12.6,8.7,1.0,11.284,0.28
0.2,25,0.0,5.5,-12.7,3.0,5.642,0.28
0.3,16,0.0,-1.0,-15.9,1.0,11.284,0.28
0.3,17,0.002,11.8,-11.4,2.0,7.523,0.279
0.3,18,0.0,-21.1,-21.4,0.0,22.568,0.28
0.3,19,0.0,-20.7,21.6,0.0,22.568,0.28
0.3,20,0.006,9.8,-3.6,2.0,7.523,0.278
0.3,21,0.0,-1.9,-1.4,0.0,22.568,0.28
0.3,22,0.0,-4.5,20.4,1.0,11.284,0.28
0.3,23,0.0,2.9,12.0,2.0,7.523,0.28
0.3,24,0.0,12.5,8.8,1.0,11.284,0.28
0.3,25,0.0,5.4,-12.7,3.0,5.642,0.28
0.4,16,0.0,-1.1,-15.9,1.0,11.284,0.28
0.4,17,0.018,11.7,-11.3,2.0,7.523,0.275
0.4,18,0.0,-21.2,-21.3,0.0,22.568,0.28
0.4,19,0.0,-20.7,21.6,0.0,22.568,0.28
0.4,20,0.034,9.8,-3.7,2.0,7.523,0.271
0.4,21,0.0,-1.8,-1.5,0.0,22.568,0.28
0.4,22,0.0,-4.4,20.4,1.0,11.284,0.28
0.4,23,0.0,2.8,12.0,2.0,7.523,0.28
0.4,24,0.0,12.6,8.8,1.0,11.284,0.28
0.4,25,0.0,5.5,-12.7,3.0,5.642,0.28
