Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,seeker,5,47520,100.0,-9.2,-12.0,-1242.903,,,,-9.2,-12.0,-227.315,1
0.0,2,seeker,5,47520,100.0,14.5,1.7,-274.91,,,,14.5,1.7,-212.72,2
0.0,3,seeker,5,47520,100.0,-2.4,18.4,-153.559,,,,-2.4,18.4,-343.089,3
0.0,4,seeker,5,47520,100.0,-13.6,-2.0,-940.403,,,,-13.6,-2.0,-188.071,4
0.0,5,explorer,10,47520,100.0,-11.5,-19.6,-1843.6,,,,-11.5,-19.6,-514.2,5
0.0,6,explorer,10,47520,100.0,6.3,8.3,-102.0,,,,6.3,8.3,-107.2,6
0.0,7,explorer,10,47520,100.0,-10.6,-19.7,-1816.1,,,,-10.6,-19.7,-499.8,7
0.0,8,explorer,10,47520,100.0,-15.4,-14.7,-1686.5,,,,-15.4,-14.7,-451.7,8
0.0,9,explorer,10,47520,100.0,-0.6,-8.0,-770.3,,,,-0.6,-8.0,-64.7,9
0.0,10,explorer,10,47520,100.0,10.4,-4.6,-495.3,,,,10.4,-4.6,-129.0,10
0.0,11,explorer,10,47520,100.0,19.9,-1.4,-461.5,,,,19.9,-1.4,-398.0,11
0.0,12,explorer,10,47520,100.0,-19.2,-16.9,-2045.0,,,,-19.2,-16.9,-654.9,12
0.0,13,explorer,10,47520,100.0,-15.8,-10.1,-1430.9,,,,-15.8,-10.1,-350.5,13
0.0,14,explorer,10,47520,100.0,-15.5,10.6,-699.3,,,,-15.5,10.6,-354.8,14
0.0,15,explorer,10,47520,100.0,14.8,15.1,-30.6,,,,14.8,15.1,-447.5,15
0.0,16,explorer,10,47520,100.0,10.7,-8.9,-703.5,,,,10.7,-8.9,-192.6,16
0.0,17,explorer,10,47520,100.0,11.1,13.3,-20.7,,,,11.1,13.3,-300.1,17
0.0,18,explorer,10,47520,100.0,2.6,-11.0,-874.2,,,,2.6,-11.0,-127.8,18
0.0,19,explorer,10,47520,100.0,-9.5,15.4,-383.3,,,,-9.5,15.4,-326.9,19
0.0,20,isocontour,6,47520,100.0,0.7,-3.5,-534.3,,,,0.7,-3.5,-12.8,20
0.0,21,isocontour,6,47520,100.0,13.4,-13.0,-948.7,,,,13.4,-13.0,-348.4,21
0.0,22,isocontour,6,47520,100.0,-0.6,-1.9,-494.0,,,,-0.6,-1.9,-4.1,22
0.0,23,isocontour,6,47520,100.0,-14.2,-2.5,-990.5,,,,-14.2,-2.5,-208.9,23
0.0,24,isocontour,6,47520,100.0,-8.9,-5.2,-876.3,,,,-8.9,-5.2,-105.9,24
0.0,Target,,,,,9.96,17.65,-410.579,-1.28,-0.38,,,,,
0.1,1,seeker,5,47518.9,100.0,-9.1,-11.9,-1229.556,0.9,0.4,1.0,-0.6,-8.0,-64.7,9
0.1,2,seeker,5,47519.87,100.0,14.4,1.7,-271.023,-0.4,-0.2,0.4,10.4,-4.6,-129.0,10
0.1,3,seeker,5,47519.96,100.0,-2.4,18.4,-153.033,0.3,0.0,0.3,-2.4,18.4,-153.559,3
0.1,4,seeker,5,47519.43,100.0,-13.5,-2.1,-934.092,0.6,-0.5,0.8,-8.9,-5.2,-105.9,24
0.1,5,explorer,10,47518.79,100.0,-11.6,-19.6,-1837.4,-1.0,0.1,1.0,-15.4,-14.7,-451.7,8
0.1,6,explorer,10,47519.96,100.0,6.2,8.3,-99.7,-0.3,0.0,0.3,11.1,13.3,-20.7,17
0.1,7,explorer,10,47519.85,100.0,-10.5,-19.7,-1802.8,0.4,0.2,0.4,-15.4,-14.7,-451.7,8
0.1,8,explorer,10,47519.95,100.0,-15.3,-14.7,-1675.4,0.3,0.1,0.3,-15.8,-10.1,-350.5,13
0.1,9,explorer,10,47519.96,100.0,-0.6,-8.0,-764.6,-0.3,-0.1,0.3,0.7,-3.5,-12.8,20
0.1,10,explorer,10,47519.94,100.0,10.4,-4.6,-487.9,-0.1,0.3,0.3,10.4,-4.6,-129.0,10
0.1,11,explorer,10,47519.95,100.0,19.9,-1.4,-457.6,0.3,-0.2,0.4,19.9,-1.4,-398.0,11
0.1,12,explorer,10,47519.94,100.0,-19.2,-16.9,-2033.5,-0.0,0.3,0.3,-15.8,-10.1,-350.5,13
0.1,13,explorer,10,47519.96,100.0,-15.8,-10.1,-1425.6,-0.3,-0.1,0.3,-15.8,-10.1,-350.5,13
0.1,14,explorer,10,47519.95,100.0,-15.6,10.7,-697.8,-0.2,0.3,0.4,-9.5,15.4,-326.9,19
0.1,15,explorer,10,47519.94,100.0,14.8,15.1,-29.6,-0.4,-0.0,0.4,11.1,13.3,-20.7,17
0.1,16,explorer,10,47519.96,100.0,10.7,-8.9,-697.5,0.2,-0.2,0.3,2.6,-11.0,-127.8,18
0.1,17,explorer,10,47519.95,100.0,11.1,13.3,-19.5,-0.3,-0.0,0.3,11.1,13.3,-20.7,17
0.1,18,explorer,10,47519.94,100.0,2.6,-11.0,-864.7,0.2,0.3,0.4,-0.6,-8.0,-64.7,9
0.1,19,explorer,10,47519.94,100.0,-9.5,15.4,-381.3,0.3,0.0,0.3,-9.5,15.4,-326.9,19
0.1,20,isocontour,6,47519.48,100.0,0.7,-3.5,-528.1,0.7,-0.2,0.7,-0.6,-1.9,-4.1,22
0.1,21,isocontour,6,47519.9,100.0,13.4,-12.9,-938.1,-0.0,0.4,0.4,10.4,-4.6,-129.0,10
0.1,22,isocontour,6,47519.98,100.0,-0.6,-2.0,-489.8,-0.0,-0.2,0.2,-0.6,-2.0,-4.1,22
0.1,23,isocontour,6,47519.68,100.0,-14.2,-2.5,-984.7,0.4,-0.4,0.6,-8.9,-5.2,-105.9,24
0.1,24,isocontour,6,47519.24,100.0,-8.8,-5.2,-868.9,0.8,-0.3,0.9,-0.6,-8.0,-64.7,9
0.1,Target,,,,,9.96,17.51,-0.018,-0.01,-1.33,,,,,
0.2,1,seeker,5,47518.14,100.0,-9.0,-11.9,-1226.474,0.6,0.6,0.8,0.7,-3.5,-12.8,20
0.2,2,seeker,5,47519.63,100.0,14.4,1.6,-276.035,-0.4,-0.4,0.6,10.4,-4.6,-129.0,10
0.2,3,seeker,5,47519.93,100.0,-2.4,18.4,-150.009,0.3,0.0,0.3,-2.4,18.4,-153.033,3
0.2,4,seeker,5,47518.56,100.0,-13.4,-2.1,-932.438,0.7,-0.5,0.9,-0.6,-8.0,-64.7,9
0.2,5,explorer,10,47518.03,100.0,-11.7,-19.6,-1845.7,-0.8,-0.2,0.8,-15.8,-10.1,-350.5,13
0.2,6,explorer,10,47519.91,100.0,6.2,8.2,-101.0,0.3,-0.2,0.4,11.1,13.3,-19.5,17
0.2,7,explorer,10,47518.75,100.0,-10.4,-19.7,-1803.9,0.9,-0.1,0.9,-15.8,-10.1,-350.5,13
0.2,8,explorer,10,47519.9,100.0,-15.4,-14.7,-1679.3,-0.3,-0.1,0.3,-15.8,-10.1,-350.5,13
0.2,9,explorer,10,47519.92,100.0,-0.6,-8.1,-769.4,-0.2,-0.2,0.3,-0.6,-1.9,-4.1,22
0.2,10,explorer,10,47519.89,100.0,10.4,-4.5,-491.2,-0.2,0.3,0.4,2.6,-11.0,-127.8,18
0.2,11,explorer,10,47519.9,100.0,19.9,-1.4,-461.8,-0.2,0.3,0.4,19.9,-1.4,-398.0,11
0.2,12,explorer,10,47519.89,100.0,-19.2,-16.9,-2035.0,0.3,-0.2,0.4,-15.8,-10.1,-350.5,13
0.2,13,explorer,10,47519.9,100.0,-15.8,-10.1,-1424.4,0.3,0.1,0.3,-15.8,-10.1,-350.5,13
0.2,14,explorer,10,47519.89,100.0,-15.5,10.7,-693.3,0.2,0.3,0.4,-9.5,15.4,-326.9,19
0.2,15,explorer,10,47519.89,100.0,14.8,15.0,-31.2,0.2,-0.3,0.4,11.1,13.3,-19.5,17
0.2,16,explorer,10,47519.92,100.0,10.7,-8.9,-703.7,0.3,-0.1,0.3,-0.6,-8.0,-64.7,9
0.2,17,explorer,10,47519.91,100.0,11.1,13.2,-20.7,-0.1,-0.3,0.3,11.1,13.2,-19.5,17
0.2,18,explorer,10,47519.89,100.0,2.7,-10.9,-867.6,0.3,0.2,0.4,0.7,-3.5,-12.8,20
0.2,19,explorer,10,47519.9,100.0,-9.5,15.4,-379.2,-0.2,-0.3,0.4,-9.5,15.4,-326.9,19
0.2,20,isocontour,6,47518.87,100.0,0.8,-3.5,-530.0,0.8,-0.2,0.8,-0.6,-1.9,-4.1,22
0.2,21,isocontour,6,47519.83,100.0,13.4,-12.9,-942.6,-0.1,0.4,0.4,2.6,-11.0,-127.8,18
0.2,22,isocontour,6,47519.96,100.0,-0.5,-1.9,-490.8,0.1,0.2,0.2,-0.5,-1.9,-4.1,22
0.2,23,isocontour,6,47518.97,100.0,-14.1,-2.5,-979.6,0.8,0.3,0.9,-8.9,-5.2,-105.9,24
0.2,24,isocontour,6,47519.03,100.0,-8.8,-5.2,-870.3,0.4,-0.4,0.6,0.7,-3.5,-12.8,20
0.2,Target,,,,,9.87,17.61,-0.018,-0.88,1.0,,,,,
0.3,1,seeker,5,47517.62,99.99,-9.0,-11.8,-1230.428,0.5,0.5,0.7,-0.6,-1.9,-4.1,22
0.3,2,seeker,5,47519.52,100.0,14.4,1.6,-278.218,-0.4,-0.2,0.4,2.6,-11.0,-127.8,18
0.3,3,seeker,5,47519.92,100.0,-2.3,18.4,-151.922,0.2,-0.0,0.2,-2.3,18.4,-150.009,3
0.3,4,seeker,5,47517.53,99.99,-13.3,-2.1,-936.991,0.9,-0.2,0.9,0.7,-3.5,-12.8,20
0.3,5,explorer,10,47517.18,99.99,-11.7,-19.6,-1861.5,-0.8,-0.2,0.8,-15.8,-10.1,-350.5,13
