,Time Averaged Accuracy,Total Energy Remaining,Best Heading/Bearing Correlation,Heterogeneity Parameter,Seekers,Explorers
0,0.539716,0.359,0.4998666666666667,0.0,10.0,0.0
0,0.7008306666666667,0.457,0.4035555555555555,0.1,9.0,1.0
0,0.689254,0.384,0.53575,0.2,8.0,2.0
0,0.6088760000000001,0.265,0.4326666666666666,0.3,7.0,3.0
0,0.81642,0.475,0.4542222222222222,0.4,6.0,4.0
0,0.6889266666666667,0.313,0.5356,0.5,5.0,5.0
0,0.6718033333333333,0.311,0.5266666666666666,0.6,4.0,6.0
0,0.7371193333333333,0.281,0.5871111111111111,0.7,3.0,7.0
0,0.8015206666666667,0.295,0.6456666666666667,0.8,2.0,8.0
0,0.7318253333333332,0.271,0.6146666666666667,0.9,1.0,9.0
