,Time Averaged Accuracy,Total Energy Remaining,Best Heading/Bearing Correlation,Heterogeneity Parameter,Seekers,Explorers
0,0.6829993333333332,0.424,0.4765333333333333,0.0,25.0,0.0
0,0.7477860000000001,0.416,0.5366666666666666,0.04,24.0,1.0
0,0.7575120000000001,0.389,0.5475072463768116,0.08,23.0,2.0
0,0.7115020000000001,0.442,0.4864545454545455,0.12,22.0,3.0
0,0.7535940000000001,0.403,0.4974285714285714,0.16,21.0,4.0
0,0.599644,0.461,0.4463,0.2,20.0,5.0
0,0.7396499999999999,0.333,0.519719298245614,0.24,19.0,6.0
0,0.80148,0.338,0.4673703703703704,0.28,18.0,7.0
0,0.6704393333333334,0.397,0.4672941176470588,0.32,17.0,8.0
0,0.7254126666666666,0.294,0.52375,0.36,16.0,9.0
0,0.7709753333333333,0.215,0.5237777777777778,0.4,15.0,10.0
0,0.874068,0.269,0.6048095238095238,0.44,14.0,11.0
0,0.8571246666666666,0.285,0.5736410256410256,0.48,13.0,12.0
0,0.7768026666666666,0.239,0.6418888888888888,0.52,12.0,13.0
0,0.7174733333333334,0.279,0.6115151515151516,0.56,11.0,14.0
0,0.837524,0.249,0.6583333333333333,0.6,10.0,15.0
0,0.7201406666666667,0.267,0.5827407407407408,0.64,9.0,16.0
0,0.8977593333333335,0.227,0.6688333333333333,0.68,8.0,17.0
0,0.7390160000000001,0.257,0.7151428571428572,0.72,7.0,18.0
0,0.8803686666666666,0.26,0.6518888888888889,0.76,6.0,19.0
0,0.9000786666666666,0.248,0.7252,0.8,5.0,20.0
0,0.767142,0.282,0.633,0.84,4.0,21.0
0,0.7274946666666666,0.267,0.7822222222222223,0.88,3.0,22.0
0,0.702808,0.283,0.724,0.92,2.0,23.0
0,0.747308,0.285,0.692,0.96,1.0,24.0
0,0.6829993333333332,0.424,0.4765333333333333,0.0,25.0,0.0
0,0.7477860000000001,0.416,0.5366666666666666,0.04,24.0,1.0
0,0.7575120000000001,0.389,0.5475072463768116,0.08,23.0,2.0
