Time,ID,behv,com_radius,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,isocontour,5,100.0,4.0,8.9,-95.6,,,,4.0,8.9,-95.6,1
0.0,2,isocontour,5,100.0,-18.1,14.1,-528.2,,,,-18.1,14.1,-528.2,2
0.0,3,isocontour,5,100.0,-17.3,18.4,-637.0,,,,-17.3,18.4,-637.0,3
0.0,4,isocontour,5,100.0,14.7,-0.8,-217.1,,,,14.7,-0.8,-217.1,4
0.0,5,isocontour,5,100.0,-0.6,12.4,-153.8,,,,-0.6,12.4,-153.8,5
0.0,6,isocontour,5,100.0,-3.3,-9.8,-106.8,,,,-3.3,-9.8,-106.8,6
0.0,7,isocontour,5,100.0,19.1,15.2,-596.5,,,,19.1,15.2,-596.5,7
0.0,8,isocontour,5,100.0,-13.3,-2.7,-185.1,,,,-13.3,-2.7,-185.1,8
0.0,9,isocontour,5,100.0,-12.6,-1.7,-161.2,,,,-12.6,-1.7,-161.2,9
0.0,10,isocontour,5,100.0,4.6,-20.0,-419.9,,,,4.6,-20.0,-419.9,10
0.0,11,isocontour,5,100.0,13.3,-2.7,-183.7,,,,13.3,-2.7,-183.7,11
0.0,12,isocontour,5,100.0,14.7,15.1,-445.0,,,,14.7,15.1,-445.0,12
0.0,13,isocontour,5,100.0,17.7,3.6,-324.5,,,,17.7,3.6,-324.5,13
0.0,14,isocontour,5,100.0,10.3,11.4,-236.9,,,,10.3,11.4,-236.9,14
0.0,15,isocontour,5,100.0,-2.9,-1.9,-11.9,,,,-2.9,-1.9,-11.9,15
0.0,16,isocontour,5,100.0,18.4,19.3,-713.8,,,,18.4,19.3,-713.8,16
0.0,17,isocontour,5,100.0,0.2,-13.6,-185.3,,,,0.2,-13.6,-185.3,17
0.0,18,isocontour,5,100.0,-12.7,13.7,-347.2,,,,-12.7,13.7,-347.2,18
0.0,19,isocontour,5,100.0,-14.0,-7.3,-249.6,,,,-14.0,-7.3,-249.6,19
0.0,20,isocontour,5,100.0,-15.8,-0.8,-250.4,,,,-15.8,-0.8,-250.4,20
0.1,1,isocontour,5,100.0,4.0,8.9,-94.6,-0.2,-0.4,0.4,4.0,8.9,-95.6,1
0.1,2,isocontour,5,100.0,-18.1,14.1,-526.0,0.4,-0.3,0.5,-18.1,14.1,-528.2,2
0.1,3,isocontour,5,99.99,-17.3,18.3,-635.2,-0.7,-1.2,1.4,-18.1,14.1,-528.2,2
0.1,4,isocontour,5,99.99,14.7,-0.9,-215.8,-0.5,-1.4,1.5,13.3,-2.7,-183.7,11
0.1,5,isocontour,5,100.0,-0.6,12.3,-152.6,-0.1,-0.5,0.5,-0.6,12.3,-153.8,5
