Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,6.9,4.7,,,3.41,-16.81,-3.49,-21.51,21.791,0.0,0.436,-0.16,-0.987,
0.0,2,-22.7,-23.1,,,3.41,-16.81,26.11,6.29,26.857,0.0,0.537,0.972,0.234,
0.0,3,-20.0,8.6,,,3.41,-16.81,23.41,-25.41,34.55,0.0,0.691,0.678,-0.735,
0.0,4,19.2,-7.0,,,3.41,-16.81,-15.79,-9.81,18.589,0.0,0.372,-0.849,-0.528,
0.0,5,-23.8,13.6,,,3.41,-16.81,27.21,-30.41,40.806,0.0,0.816,0.667,-0.745,
0.1,1,6.9,4.7,0.3,-0.2,3.14,-17.23,-3.76,-21.93,22.25,0.001,0.445,-0.169,-0.986,0.4058171745152355
0.1,2,-22.7,-23.1,0.0,-0.3,3.14,-17.23,25.84,5.87,26.498,0.001,0.53,0.975,0.222,-0.22199999999999998
0.1,3,-20.1,8.6,-0.5,-0.5,3.14,-17.23,23.24,-25.83,34.746,0.001,0.695,0.669,-0.743,0.0523338048090523
0.1,4,19.2,-6.9,0.1,0.4,3.14,-17.23,-16.06,-10.33,19.095,0.001,0.382,-0.841,-0.541,-0.7293689320388351
0.1,5,-23.8,13.7,-0.3,0.8,3.14,-17.23,26.94,-30.93,41.017,0.001,0.82,0.657,-0.754,-0.9371194379391101
0.2,1,6.9,4.7,0.4,-0.2,2.58,-17.1,-4.32,-21.8,22.224,0.001,0.444,-0.194,-0.981,0.26532438478747206
0.2,2,-22.7,-23.2,-0.3,-0.1,2.58,-17.1,25.28,6.1,26.006,0.001,0.52,0.972,0.235,-0.9971518987341772
0.2,3,-20.1,8.6,-0.5,0.1,2.58,-17.1,22.68,-25.7,34.276,0.001,0.686,0.662,-0.75,-0.7960784313725491
0.2,4,19.2,-6.9,0.1,0.4,2.58,-17.1,-16.62,-10.2,19.5,0.001,0.39,-0.852,-0.523,-0.7145631067961166
0.2,5,-23.8,13.7,-0.3,0.7,2.58,-17.1,26.38,-30.8,40.553,0.001,0.811,0.651,-0.759,-0.9535433070866142
0.3,1,6.9,4.6,0.1,-0.6,2.14,-16.83,-4.76,-21.43,21.952,0.002,0.439,-0.217,-0.976,0.9274671052631579
0.3,2,-22.7,-23.2,-0.4,-0.6,2.14,-16.83,24.84,6.37,25.644,0.002,0.513,0.969,0.248,-0.7439667128987517
0.3,3,-20.2,8.6,-0.7,-0.5,2.14,-16.83,22.34,-25.43,33.849,0.002,0.677,0.66,-0.751,-0.10058139534883717
0.3,4,19.2,-6.8,0.5,0.9,2.14,-16.83,-17.06,-10.03,19.79,0.002,0.396,-0.862,-0.507,-0.8614563106796116
0.3,5,-23.9,13.8,-0.3,0.8,2.14,-16.83,26.04,-30.63,40.203,0.002,0.804,0.648,-0.762,-0.9414519906323185
0.4,1,7.0,4.6,0.3,-0.9,1.58,-16.68,-5.42,-21.28,21.959,0.003,0.439,-0.247,-0.969,0.8408851422550053
0.4,2,-22.8,-23.2,-0.3,0.1,1.58,-16.68,24.38,6.52,25.237,0.003,0.505,0.966,0.258,-0.8354430379746836
0.4,3,-20.3,8.6,-0.9,0.1,1.58,-16.68,21.88,-25.28,33.434,0.003,0.669,0.654,-0.756,-0.733112582781457
0.4,4,19.3,-6.8,0.4,0.2,1.58,-16.68,-17.72,-9.88,20.288,0.003,0.406,-0.873,-0.487,-0.9991051454138702
0.4,5,-23.9,13.8,-0.6,0.1,1.58,-16.68,25.48,-30.48,39.727,0.003,0.795,0.641,-0.767,-0.7587171052631579
0.5,1,7.0,4.5,0.7,-0.4,1.69,-16.59,-5.31,-21.09,21.748,0.003,0.435,-0.244,-0.97,0.2694789081885856
0.5,2,-22.8,-23.2,-0.3,-0.2,1.69,-16.59,24.49,6.61,25.366,0.003,0.507,0.965,0.261,-0.9465373961218837
0.5,3,-20.4,8.6,-0.6,0.2,1.69,-16.59,22.09,-25.19,33.504,0.003,0.67,0.659,-0.752,-0.8636075949367089
0.5,4,19.3,-6.7,0.5,0.9,1.69,-16.59,-17.61,-9.89,20.197,0.003,0.404,-0.872,-0.49,-0.8514563106796116
0.5,5,-24.0,13.9,-0.2,0.5,1.69,-16.59,25.69,-30.49,39.87,0.003,0.797,0.644,-0.765,-0.9486085343228199
