,Time Averaged Non-Dimensional Area Coverage,heterogeneity,seekers,explorers,isocontours
0,0.5932506666666667,0.0,0,0,50
0,0.6471333333333333,0.02,0,1,49
0,0.6624006666666666,0.04,0,2,48
0,0.6392033333333333,0.06,0,3,47
0,0.6543206666666667,0.08,0,4,46
0,0.7759146666666665,0.1,0,5,45
0,0.752698,0.12,0,6,44
0,0.8662599999999999,0.14,0,7,43
0,0.8073026666666666,0.16,0,8,42
0,0.7895713333333333,0.18,0,9,41
0,0.7542833333333333,0.2,0,10,40
0,0.7563293333333333,0.22,0,11,39
0,0.8024206666666667,0.24,0,12,38
0,0.8738593333333333,0.26,0,13,37
0,0.7777600000000002,0.28,0,14,36
0,0.8321393333333333,0.3,0,15,35
0,0.8712326666666668,0.32,0,16,34
0,0.78085,0.34,0,17,33
0,0.8461093333333335,0.36,0,18,32
0,0.8384566666666666,0.38,0,19,31
0,0.8336553333333334,0.4,0,20,30
0,1.0271566666666665,0.42,0,21,29
0,0.9311273333333332,0.44,0,22,28
0,0.8455066666666666,0.46,0,23,27
0,0.8211433333333334,0.48,0,24,26
0,0.804498,0.5,0,25,25
0,0.8211133333333333,0.52,0,26,24
0,0.783112,0.54,0,27,23
0,0.8492953333333335,0.56,0,28,22
0,0.8824133333333333,0.58,0,29,21
0,0.9539606666666668,0.6,0,30,20
0,0.9752826666666666,0.62,0,31,19
0,0.951334,0.64,0,32,18
0,0.8509919999999999,0.66,0,33,17
0,0.9836086666666668,0.68,0,34,16
0,0.976746,0.7,0,35,15
0,0.818756,0.72,0,36,14
0,0.8861553333333333,0.74,0,37,13
0,0.9091353333333332,0.76,0,38,12
0,0.9263346666666666,0.78,0,39,11
0,0.963034,0.8,0,40,10
0,0.8354326666666666,0.82,0,41,9
0,0.8638546666666667,0.84,0,42,8
0,0.8152166666666667,0.86,0,43,7
0,0.7712686666666665,0.88,0,44,6
0,0.8598680000000001,0.9,0,45,5
0,0.8808526666666666,0.92,0,46,4
0,0.8663939999999999,0.94,0,47,3
0,0.84832,0.96,0,48,2
0,0.7984186666666666,0.98,0,49,1
