Time,ID,behv,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,isocontour,100.0,-0.1,-6.9,-47.4,,,,-0.1,-6.9,-47.4,1
0.0,2,isocontour,100.0,9.0,2.9,-90.0,,,,9.0,2.9,-90.0,2
0.0,3,isocontour,100.0,0.4,4.4,-19.2,,,,0.4,4.4,-19.2,3
0.0,4,isocontour,100.0,-8.6,-8.6,-148.6,,,,-8.6,-8.6,-148.6,4
0.0,5,isocontour,100.0,-2.1,-7.2,-56.4,,,,-2.1,-7.2,-56.4,5
0.0,6,isocontour,100.0,9.9,3.8,-112.6,,,,9.9,3.8,-112.6,6
0.0,7,isocontour,100.0,9.1,-1.7,-86.1,,,,9.1,-1.7,-86.1,7
0.0,8,isocontour,100.0,8.9,2.3,-84.7,,,,8.9,2.3,-84.7,8
0.0,9,isocontour,100.0,9.4,0.8,-88.1,,,,9.4,0.8,-88.1,9
0.0,10,isocontour,100.0,1.7,3.9,-18.4,,,,1.7,3.9,-18.4,10
0.0,11,isocontour,100.0,4.8,-4.8,-46.7,,,,4.8,-4.8,-46.7,11
0.0,12,isocontour,100.0,0.3,4.3,-18.6,,,,0.3,4.3,-18.6,12
0.0,13,isocontour,100.0,-4.0,7.2,-67.4,,,,-4.0,7.2,-67.4,13
0.0,14,isocontour,100.0,-0.1,-3.5,-12.2,,,,-0.1,-3.5,-12.2,14
0.0,15,isocontour,100.0,-4.8,-0.7,-23.7,,,,-4.8,-0.7,-23.7,15
0.0,16,isocontour,100.0,0.1,4.6,-21.4,,,,0.1,4.6,-21.4,16
0.0,17,isocontour,100.0,-3.6,2.2,-17.8,,,,-3.6,2.2,-17.8,17
0.0,18,isocontour,100.0,-2.0,0.4,-4.2,,,,-2.0,0.4,-4.2,18
0.0,19,isocontour,100.0,7.7,-5.8,-92.8,,,,7.7,-5.8,-92.8,19
0.0,20,isocontour,100.0,-7.5,-8.9,-135.8,,,,-7.5,-8.9,-135.8,20
0.1,1,isocontour,99.94,-0.4,-6.8,-46.9,-2.8,0.5,2.8,-0.1,-3.5,-12.2,14
0.1,2,isocontour,99.95,9.0,2.6,-87.2,-0.7,-2.6,2.7,8.9,2.3,-84.7,8
0.1,3,isocontour,99.98,0.4,4.6,-20.9,0.0,1.8,1.8,-2.0,0.4,-4.2,18
0.1,4,isocontour,99.68,-8.2,-8.6,-140.0,4.9,0.1,4.9,-7.5,-8.9,-135.8,20
0.1,5,isocontour,99.99,-2.1,-7.4,-58.8,-0.1,-1.6,1.6,-0.1,-3.5,-12.2,14
0.1,6,isocontour,99.83,9.6,3.5,-104.9,-3.0,-2.6,4.0,8.9,2.3,-84.7,8
0.1,7,isocontour,99.61,9.0,-1.2,-82.1,-1.4,5.1,5.3,8.9,2.3,-84.7,8
0.1,8,isocontour,99.99,8.8,2.2,-81.9,-1.4,-0.8,1.6,8.8,2.2,-84.7,8
0.1,9,isocontour,99.58,9.0,0.4,-80.4,-4.0,-3.6,5.4,8.9,2.3,-84.7,8
0.1,10,isocontour,99.58,1.3,4.2,-19.1,-4.7,2.6,5.4,1.3,4.2,-18.4,10
0.1,11,isocontour,99.56,5.3,-5.1,-54.1,4.9,-2.4,5.5,5.3,-5.1,-46.7,11
0.1,12,isocontour,99.94,0.0,4.3,-18.5,-2.8,0.1,2.8,-2.0,0.4,-4.2,18
0.1,13,isocontour,99.99,-4.1,7.2,-68.6,-1.6,-0.1,1.6,0.1,4.6,-21.4,16
