Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
0.4,8,0.024,3.3,-2.9,6.0,3.224,0.243
0.4,9,0.0,-11.8,18.7,3.0,5.642,0.249
0.4,10,0.0,-24.3,-13.1,1.0,11.284,0.249
0.4,11,0.003,0.1,5.9,6.0,3.224,0.248
0.4,12,0.0,14.7,-11.2,3.0,5.642,0.249
0.4,13,0.0,15.7,2.8,5.0,3.761,0.249
0.4,14,0.0,-14.1,16.2,3.0,5.642,0.249
0.4,15,0.002,-5.5,-3.3,4.0,4.514,0.248
0.4,16,0.0,-16.6,3.6,1.0,11.284,0.249
0.4,17,0.0,13.4,-3.4,6.0,3.224,0.249
0.4,18,0.0,18.8,-5.2,4.0,4.514,0.249
0.4,19,0.0,10.1,3.3,8.0,2.508,0.249
0.4,20,0.0,-4.5,17.4,5.0,3.761,0.249
0.4,21,0.0,13.9,10.9,6.0,3.224,0.249
0.4,22,0.0,-5.0,16.8,5.0,3.761,0.249
0.4,23,0.0,3.3,10.6,7.0,2.821,0.249
0.4,24,0.0,17.4,-16.6,1.0,11.284,0.249
0.4,25,0.0,-23.0,-10.4,1.0,11.284,0.249
0.5,1,0.0,-11.9,-5.5,2.0,7.523,0.249
0.5,2,0.0,1.5,-23.8,0.0,22.568,0.249
0.5,3,0.0,12.2,2.6,6.0,3.224,0.249
0.5,4,0.0,16.2,16.3,2.0,7.523,0.249
0.5,5,0.127,-1.7,3.0,5.0,3.761,0.217
0.5,6,0.0,3.9,10.2,7.0,2.821,0.249
0.5,7,0.0,13.5,23.8,1.0,11.284,0.249
0.5,8,0.075,3.1,-2.8,6.0,3.224,0.23
0.5,9,0.0,-11.9,18.8,3.0,5.642,0.249
0.5,10,0.0,-24.3,-13.0,1.0,11.284,0.249
0.5,11,0.021,0.1,5.6,6.0,3.224,0.243
0.5,12,0.0,14.7,-11.1,3.0,5.642,0.249
0.5,13,0.0,15.7,2.7,5.0,3.761,0.249
0.5,14,0.0,-14.0,16.2,3.0,5.642,0.249
0.5,15,0.013,-5.3,-3.1,4.0,4.514,0.245
0.5,16,0.0,-16.5,3.7,1.0,11.284,0.249
0.5,17,0.0,13.2,-3.3,6.0,3.224,0.249
0.5,18,0.0,18.8,-5.1,4.0,4.514,0.249
0.5,19,0.0,9.8,3.3,8.0,2.508,0.249
0.5,20,0.0,-4.5,17.3,5.0,3.761,0.249
0.5,21,0.0,13.9,10.8,6.0,3.224,0.249
0.5,22,0.0,-4.9,16.8,5.0,3.761,0.249
0.5,23,0.0,3.1,10.4,7.0,2.821,0.249
0.5,24,0.0,17.5,-16.6,1.0,11.284,0.249
0.5,25,0.0,-23.0,-10.5,1.0,11.284,0.249
0.6,1,0.0,-11.7,-5.4,2.0,7.523,0.249
0.6,2,0.0,1.6,-23.8,0.0,22.568,0.249
0.6,3,0.0,12.1,2.5,7.0,2.821,0.249
0.6,4,0.0,16.2,16.3,2.0,7.523,0.249
0.6,5,0.193,-1.7,3.1,5.0,3.761,0.201
0.6,6,0.0,3.8,10.0,8.0,2.508,0.249
0.6,7,0.0,13.4,23.8,1.0,11.284,0.249
0.6,8,0.147,2.9,-2.7,6.0,3.224,0.212
0.6,9,0.0,-11.8,18.7,3.0,5.642,0.249
0.6,10,0.0,-24.3,-13.1,1.0,11.284,0.249
0.6,11,0.059,0.2,5.4,6.0,3.224,0.234
0.6,12,0.0,14.6,-11.1,3.0,5.642,0.249
0.6,13,0.0,15.6,2.6,5.0,3.761,0.249
0.6,14,0.0,-14.1,16.1,3.0,5.642,0.249
0.6,15,0.042,-5.1,-3.0,4.0,4.514,0.238
0.6,16,0.0,-16.5,3.8,1.0,11.284,0.249
0.6,17,0.0,13.0,-3.4,6.0,3.224,0.249
0.6,18,0.0,18.8,-5.1,4.0,4.514,0.249
0.6,19,0.001,9.6,3.3,8.0,2.508,0.248
0.6,20,0.0,-4.6,17.4,5.0,3.761,0.249
0.6,21,0.0,13.9,10.9,6.0,3.224,0.249
0.6,22,0.0,-4.8,16.7,5.0,3.761,0.249
0.6,23,0.001,3.0,10.1,7.0,2.821,0.248
0.6,24,0.0,17.5,-16.5,1.0,11.284,0.249
0.6,25,0.0,-23.0,-10.4,1.0,11.284,0.249
0.7,1,0.0,-11.4,-5.4,2.0,7.523,0.249
0.7,2,0.0,1.6,-23.9,0.0,22.568,0.249
0.7,3,0.001,11.9,2.6,7.0,2.821,0.248
0.7,4,0.0,16.2,16.2,2.0,7.523,0.249
0.7,5,0.262,-1.8,3.1,5.0,3.761,0.183
0.7,6,0.003,3.8,9.8,8.0,2.508,0.248
0.7,7,0.0,13.3,23.9,1.0,11.284,0.249
0.7,8,0.245,2.7,-2.5,6.0,3.224,0.188
0.7,9,0.0,-11.7,18.7,3.0,5.642,0.249
0.7,10,0.0,-24.4,-13.1,1.0,11.284,0.249
0.7,11,0.115,0.1,5.2,6.0,3.224,0.22
0.7,12,0.0,14.5,-11.0,3.0,5.642,0.249
0.7,13,0.0,15.4,2.5,5.0,3.761,0.249
0.7,14,0.0,-14.0,16.2,3.0,5.642,0.249
0.7,15,0.085,-5.0,-2.9,4.0,4.514,0.227
0.7,16,0.0,-16.5,3.9,1.0,11.284,0.249
0.7,17,0.0,12.8,-3.2,6.0,3.224,0.249
0.7,18,0.0,18.7,-5.0,4.0,4.514,0.249
0.7,19,0.005,9.3,3.3,9.0,2.257,0.247
0.7,20,0.0,-4.6,17.3,5.0,3.761,0.249
0.7,21,0.0,13.8,10.7,6.0,3.224,0.249
0.7,22,0.0,-4.6,16.6,5.0,3.761,0.249
0.7,23,0.003,3.0,9.9,7.0,2.821,0.248
0.7,24,0.0,17.4,-16.5,1.0,11.284,0.249
0.7,25,0.0,-23.0,-10.3,1.0,11.284,0.249
0.8,1,0.002,-11.2,-5.2,2.0,7.523,0.248
0.8,2,0.0,1.5,-23.8,0.0,22.568,0.249
0.8,3,0.003,11.7,2.6,7.0,2.821,0.248
0.8,4,0.0,16.1,16.3,2.0,7.523,0.249
0.8,5,0.328,-1.9,3.1,6.0,3.224,0.167
0.8,6,0.01,3.6,9.6,8.0,2.508,0.246
0.8,7,0.0,13.3,23.9,1.0,11.284,0.249
0.8,8,0.36,2.5,-2.3,6.0,3.224,0.159
0.8,9,0.0,-11.6,18.7,3.0,5.642,0.249
0.8,10,0.0,-24.4,-13.1,1.0,11.284,0.249
0.8,11,0.186,0.2,5.0,6.0,3.224,0.202
0.8,12,0.0,14.5,-11.1,3.0,5.642,0.249
0.8,13,0.0,15.2,2.6,5.0,3.761,0.249
0.8,14,0.0,-14.1,16.2,3.0,5.642,0.249
0.8,15,0.142,-4.9,-2.7,4.0,4.514,0.213
0.8,16,0.0,-16.5,4.0,1.0,11.284,0.249
0.8,17,0.001,12.6,-3.2,6.0,3.224,0.248
0.8,18,0.0,18.6,-4.9,4.0,4.514,0.249
0.8,19,0.015,9.0,3.3,9.0,2.257,0.245
0.8,20,0.0,-4.5,17.1,5.0,3.761,0.249
0.8,21,0.0,13.6,10.5,6.0,3.224,0.249
0.8,22,0.0,-4.5,16.5,5.0,3.761,0.249
0.8,23,0.01,3.0,9.7,7.0,2.821,0.246
0.8,24,0.0,17.3,-16.5,1.0,11.284,0.249
0.8,25,0.0,-23.1,-10.2,1.0,11.284,0.249
0.9,1,0.007,-11.0,-5.2,2.0,7.523,0.247
0.9,2,0.0,1.5,-23.8,0.0,22.568,0.249
0.9,3,0.008,11.5,2.7,8.0,2.508,0.247
0.9,4,0.0,16.0,16.3,2.0,7.523,0.249
0.9,5,0.417,-1.8,3.0,6.0,3.224,0.145
0.9,6,0.024,3.4,9.4,8.0,2.508,0.243
0.9,7,0.0,13.3,24.0,1.0,11.284,0.249
0.9,8,0.442,2.4,-2.3,6.0,3.224,0.139
0.9,9,0.0,-11.5,18.7,3.0,5.642,0.249
