,Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
0,0.0,1.42,-1.7600000000000002,4.19,-5.52,-2.7700000000000005,3.7599999999999993,4.670171303068015
1,0.1,3.54,-2.22,4.21,-5.18,-0.6699999999999999,2.9599999999999995,3.034880557781475
2,0.2,3.54,-2.22,4.23,-4.85,-0.6900000000000004,2.6299999999999994,2.7190071717448627
3,0.3,3.54,-2.3,4.45,-4.6,-0.9100000000000001,2.3,2.473479330821262
4,0.4,3.46,-2.46,4.68,-4.84,-1.2199999999999998,2.38,2.674471910489994
5,0.5,3.46,-2.46,4.7,-4.51,-1.2400000000000002,2.05,2.3958505796480716
6,0.6,3.46,-2.46,4.94,-4.74,-1.4800000000000004,2.2800000000000002,2.7182347212851217
7,0.7,3.46,-2.46,5.26,-4.63,-1.7999999999999998,2.17,2.8193793643282556
8,0.8,3.46,-2.46,5.02,-4.41,-1.5599999999999996,1.9500000000000002,2.497218452598811
9,0.9,3.46,-2.46,4.87,-4.11,-1.4100000000000001,1.6500000000000004,2.170391669722311
