,Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
500,50.0,7.5,-6.220000000000001,7.28,-6.67,0.21999999999999975,0.4499999999999993,0.5008991914547269
501,50.1,7.3,-6.6,7.21,-7.0,0.08999999999999986,0.40000000000000036,0.4100000000000003
502,50.2,7.3,-6.6,7.0,-7.26,0.2999999999999998,0.6600000000000001,0.7249827584156744
503,50.3,7.3,-6.6,6.71,-7.42,0.5899999999999999,0.8200000000000003,1.0101980003939823
504,50.4,7.3,-6.6,7.03,-7.32,0.2699999999999996,0.7200000000000006,0.7689603370785782
505,50.5,7.3,-6.6,7.28,-7.1,0.019999999999999574,0.5,0.5003998401278721
506,50.6,7.3,-6.6,7.61,-7.11,-0.3100000000000005,0.5100000000000007,0.5968249324550717
507,50.7,7.3,-6.6,7.37,-6.88,-0.07000000000000028,0.28000000000000025,0.28861739379323653
508,50.8,7.3,-6.6,7.49,-6.57,-0.1900000000000004,-0.02999999999999936,0.19235384061671373
509,50.9,7.3,-6.6,7.75,-6.35,-0.4500000000000002,-0.25,0.5147815070493501
510,51.0,7.4,-6.62,7.74,-6.01,-0.33999999999999986,-0.6100000000000003,0.6983552104767317
511,51.1,7.3,-6.6,7.68,-6.34,-0.3799999999999999,-0.2599999999999998,0.4604345773288533
512,51.2,7.3,-6.6,7.47,-6.08,-0.16999999999999993,-0.5199999999999996,0.5470831746635968
513,51.3,7.3,-6.6,7.24,-6.32,0.05999999999999961,-0.27999999999999936,0.28635642126552635
514,51.4,7.3,-6.6,7.06,-6.03,0.2400000000000002,-0.5699999999999994,0.6184658438426486
515,51.5,7.3,-6.6,7.19,-5.72,0.10999999999999943,-0.8799999999999999,0.8868483523128403
516,51.6,7.3,-6.6,7.44,-5.95,-0.14000000000000057,-0.6499999999999995,0.6649060083951712
517,51.7,7.3,-6.6,7.19,-5.72,0.10999999999999943,-0.8799999999999999,0.8868483523128403
518,51.8,7.3,-6.6,6.97,-5.97,0.33000000000000007,-0.6299999999999999,0.7111961754677818
519,51.9,7.3,-6.6,7.14,-6.26,0.16000000000000014,-0.33999999999999986,0.37576588456111865
520,52.0,7.279999999999999,-6.62,7.42,-6.44,-0.14000000000000057,-0.17999999999999972,0.22803508501982772
521,52.1,7.3,-6.6,7.11,-6.56,0.1899999999999995,-0.040000000000000036,0.19416487838947552
522,52.2,7.3,-6.6,7.36,-6.77,-0.0600000000000005,0.16999999999999993,0.18027756377319956
523,52.3,7.3,-6.6,7.61,-6.55,-0.3100000000000005,-0.04999999999999982,0.3140063693621521
524,52.4,7.3,-6.6,7.39,-6.8,-0.08999999999999986,0.20000000000000018,0.2193171219946132
525,52.5,7.3,-6.6,7.14,-6.57,0.16000000000000014,-0.02999999999999936,0.1627882059609971
526,52.6,7.3,-6.6,6.85,-6.73,0.4500000000000002,0.13000000000000078,0.46840153714521515
527,52.7,7.3,-6.6,7.02,-6.44,0.28000000000000025,-0.15999999999999925,0.32249030993194183
528,52.8,7.3,-6.6,6.68,-6.42,0.6200000000000001,-0.17999999999999972,0.645600495662759
529,52.9,7.3,-6.6,6.84,-6.13,0.45999999999999996,-0.46999999999999975,0.6576473218982951
530,53.0,7.24,-6.5200000000000005,6.75,-5.81,0.4900000000000002,-0.7100000000000009,0.8626702730475888
531,53.1,7.3,-6.6,6.56,-5.53,0.7400000000000002,-1.0699999999999994,1.3009611831257684
532,53.2,7.3,-6.6,6.36,-5.27,0.9399999999999995,-1.33,1.6286497474902328
533,53.3,7.3,-6.6,6.07,-5.42,1.2299999999999995,-1.1799999999999997,1.7044940598312446
534,53.4,7.3,-6.6,5.87,-5.15,1.4299999999999997,-1.4499999999999993,2.0365166338628313
535,53.5,7.3,-6.6,5.65,-4.91,1.6499999999999995,-1.6899999999999995,2.3619060099843083
536,53.6,7.3,-6.6,5.34,-5.04,1.96,-1.5599999999999996,2.505034929896188
537,53.7,7.3,-6.6,5.1,-5.27,2.2,-1.33,2.5707780923292467
538,53.8,7.3,-6.6,4.81,-5.11,2.49,-1.4899999999999993,2.9017580877805784
539,53.9,7.3,-6.6,4.59,-5.37,2.71,-1.2299999999999995,2.9760712357065646
