Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,-1.42,1.52,4.72,3.64,-6.14,-2.12,6.496,0.0,0.87,330.0,1.0
0.1,-1.42,1.53,4.62,3.71,-6.04,-2.18,6.421,0.001,0.872,329.83416,0.999
0.2,-1.42,1.58,4.97,3.83,-6.39,-2.25,6.775,0.001,0.864,329.63117,0.999
0.3,-1.4,1.64,4.76,3.7,-6.16,-2.06,6.495,0.002,0.87,329.38633,0.998
0.4,-1.44,1.6,5.23,3.69,-6.67,-2.09,6.99,0.003,0.86,329.14799,0.997
0.5,-1.46,1.64,5.0,3.52,-6.46,-1.88,6.728,0.003,0.865,328.97459,0.997
0.6,-1.34,1.78,4.88,3.57,-6.22,-1.79,6.472,0.004,0.871,328.85319,0.997
0.7,-1.61,1.54,5.3,3.6,-6.91,-2.06,7.211,0.005,0.856,328.62917,0.996
0.8,-0.99,0.51,5.08,3.4,-6.07,-2.89,6.723,0.005,0.866,328.39399,0.995
0.9,1.34,0.72,4.94,2.96,-3.6,-2.24,4.24,0.006,0.915,328.17708,0.994
1.0,0.9,2.96,4.71,2.85,-3.81,0.11,3.812,0.007,0.924,328.06049,0.994
1.1,5.46,3.44,4.82,3.01,0.64,0.43,0.771,0.007,0.985,327.91309,0.994
1.2,5.79,3.49,4.61,2.67,1.18,0.82,1.437,0.008,0.971,327.82236,0.993
1.3,6.13,2.83,4.98,2.19,1.15,0.64,1.316,0.009,0.974,327.70521,0.993
1.4,6.49,2.42,5.37,1.75,1.12,0.67,1.305,0.009,0.974,327.56994,0.993
1.5,1.25,2.21,5.09,1.47,-3.84,0.74,3.911,0.01,0.922,327.42807,0.992
1.6,5.44,2.73,5.29,1.57,0.15,1.16,1.17,0.011,0.977,327.24403,0.992
1.7,6.76,2.14,5.63,1.1,1.13,1.04,1.536,0.011,0.969,327.13497,0.991
1.8,6.8,2.19,5.57,0.51,1.23,1.68,2.082,0.012,0.958,327.01731,0.991
1.9,7.03,2.04,5.93,0.39,1.1,1.65,1.983,0.013,0.96,326.85698,0.99
