Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,2804.13,0.001,1.122
0.2,2835.55,0.001,1.134
0.3,2820.55,0.002,1.128
0.4,2811.03,0.003,1.124
0.5,2777.22,0.003,1.111
0.6,2806.03,0.004,1.122
0.7,2792.22,0.005,1.117
0.8,2709.52,0.005,1.084
0.9,2681.19,0.006,1.072
1.0,2666.74,0.007,1.067
1.1,2678.17,0.007,1.071
1.2,2678.17,0.008,1.071
1.3,2653.17,0.009,1.061
1.4,2634.84,0.009,1.054
1.5,2621.5,0.01,1.049
1.6,2561.66,0.011,1.025
1.7,2530.79,0.011,1.012
1.8,2469.52,0.012,0.988
1.9,2479.84,0.013,0.992
2.0,2576.82,0.013,1.031
2.1,2564.36,0.014,1.026
2.2,2495.87,0.015,0.998
2.3,2457.77,0.015,0.983
2.4,2442.77,0.016,0.977
2.5,2431.98,0.017,0.973
2.6,2458.65,0.017,0.983
2.7,2487.3,0.018,0.995
2.8,2450.08,0.019,0.98
2.9,2661.9,0.019,1.065
3.0,2454.28,0.02,0.982
3.1,2704.28,0.021,1.082
3.2,2642.85,0.021,1.057
3.3,2629.76,0.022,1.052
3.4,2588.88,0.023,1.036
3.5,2546.98,0.023,1.019
3.6,2518.01,0.024,1.007
3.7,2464.36,0.025,0.986
3.8,2499.36,0.025,1.0
3.9,2514.36,0.026,1.006
4.0,2525.55,0.027,1.01
4.1,2514.44,0.027,1.006
4.2,2274.12,0.028,0.91
4.3,2305.79,0.029,0.922
4.4,2293.09,0.029,0.917
4.5,2502.93,0.03,1.001
4.6,2467.69,0.031,0.987
4.7,2431.26,0.031,0.973
4.8,2401.9,0.032,0.961
4.9,2442.77,0.033,0.977
5.0,2272.7,0.033,0.909
5.1,2248.27,0.034,0.899
5.2,2206.6,0.035,0.883
5.3,2207.17,0.035,0.883
5.4,2281.07,0.036,0.912
5.5,2152.59,0.037,0.861
5.6,2162.74,0.037,0.865
5.7,2169.41,0.038,0.868
5.8,2144.65,0.039,0.858
5.9,2291.07,0.039,0.916
6.0,2314.08,0.04,0.926
6.1,2536.52,0.041,1.015
6.2,2527.78,0.041,1.011
6.3,2579.77,0.042,1.032
6.4,2444.66,0.043,0.978
6.5,2453.63,0.043,0.981
6.6,2375.36,0.044,0.95
6.7,2376.69,0.045,0.951
6.8,2423.77,0.045,0.97
6.9,2444.01,0.046,0.978
7.0,2392.25,0.047,0.957
7.1,2423.8,0.047,0.97
7.2,2461.76,0.048,0.985
7.3,2408.66,0.049,0.963
7.4,2425.97,0.049,0.97
7.5,2415.17,0.05,0.966
7.6,2400.18,0.051,0.96
7.7,2378.79,0.051,0.952
7.8,2352.88,0.052,0.941
7.9,2359.32,0.053,0.944
8.0,2429.29,0.053,0.972
8.1,2477.78,0.054,0.991
8.2,2439.27,0.055,0.976
8.3,2563.61,0.055,1.025
8.4,2539.24,0.056,1.016
8.5,2565.51,0.057,1.026
8.6,2640.86,0.057,1.056
8.7,2603.08,0.058,1.041
8.8,2596.46,0.059,1.039
8.9,2525.88,0.059,1.01
9.0,2546.49,0.06,1.019
9.1,2538.51,0.061,1.015
9.2,2490.67,0.061,0.996
9.3,2501.0,0.062,1.0
9.4,2518.05,0.063,1.007
9.5,2482.22,0.063,0.993
9.6,2491.49,0.064,0.997
9.7,2490.39,0.065,0.996
9.8,2520.95,0.065,1.008
9.9,2645.6,0.066,1.058
10.0,2639.65,0.067,1.056
10.1,2631.25,0.067,1.052
10.2,2630.24,0.068,1.052
10.3,2622.76,0.069,1.049
10.4,2606.16,0.069,1.042
10.5,2589.39,0.07,1.036
10.6,2622.28,0.071,1.049
10.7,2617.48,0.071,1.047
10.8,2572.62,0.072,1.029
10.9,2523.2,0.073,1.009
11.0,2522.2,0.073,1.009
11.1,2555.93,0.074,1.022
11.2,2521.18,0.075,1.008
11.3,2582.15,0.075,1.033
11.4,2650.48,0.076,1.06
11.5,2688.28,0.077,1.075
11.6,2702.88,0.077,1.081
11.7,2658.12,0.078,1.063
11.8,2699.42,0.079,1.08
11.9,2723.98,0.079,1.09
12.0,2691.54,0.08,1.077
12.1,2690.04,0.081,1.076
12.2,2690.13,0.081,1.076
12.3,2714.61,0.082,1.086
12.4,2758.4,0.083,1.103
12.5,2768.49,0.083,1.107
12.6,2762.72,0.084,1.105
12.7,2787.56,0.085,1.115
12.8,2642.12,0.085,1.057
12.9,2587.23,0.086,1.035
13.0,2627.44,0.087,1.051
13.1,2517.42,0.087,1.007
13.2,2519.76,0.088,1.008
13.3,2611.03,0.089,1.044
13.4,2595.81,0.089,1.038
13.5,2590.69,0.09,1.036
13.6,2683.9,0.091,1.074
13.7,2832.91,0.091,1.133
13.8,2821.19,0.092,1.128
13.9,2682.74,0.093,1.073
14.0,2684.97,0.093,1.074
14.1,2686.87,0.094,1.075
14.2,2701.47,0.095,1.081
14.3,2717.81,0.095,1.087
14.4,2766.94,0.096,1.107
14.5,3000.02,0.097,1.2
14.6,3000.01,0.097,1.2
14.7,3000.01,0.098,1.2
14.8,3000.01,0.099,1.2
