Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,3139.05,0.001,1.256
0.2,3217.14,0.001,1.287
0.3,2989.05,0.002,1.196
0.4,3042.38,0.003,1.217
0.5,2939.05,0.003,1.176
0.6,3034.28,0.004,1.214
0.7,3149.05,0.005,1.26
0.8,3200.95,0.005,1.28
0.9,3205.71,0.006,1.282
1.0,3052.14,0.007,1.221
1.1,3073.57,0.007,1.229
1.2,3063.57,0.008,1.225
1.3,3023.57,0.009,1.209
1.4,3010.79,0.009,1.204
1.5,3093.81,0.01,1.238
1.6,3033.81,0.011,1.214
1.7,3020.71,0.011,1.208
1.8,3032.14,0.012,1.213
1.9,3008.9,0.013,1.204
2.0,2907.23,0.013,1.163
2.1,2883.89,0.014,1.154
2.2,2877.23,0.015,1.151
2.3,2877.23,0.015,1.151
2.4,2840.56,0.016,1.136
2.5,2835.8,0.017,1.134
2.6,2704.37,0.017,1.082
2.7,2678.18,0.018,1.071
2.8,2643.18,0.019,1.057
2.9,2621.75,0.019,1.049
3.0,2619.37,0.02,1.048
3.1,2590.64,0.021,1.036
3.2,2587.54,0.021,1.035
3.3,2587.54,0.022,1.035
3.4,2608.42,0.023,1.043
3.5,2596.19,0.023,1.038
3.6,2704.28,0.024,1.082
3.7,2692.22,0.025,1.077
3.8,2683.89,0.025,1.074
3.9,2683.56,0.026,1.073
4.0,2648.16,0.027,1.059
4.1,2681.81,0.027,1.073
4.2,2663.1,0.028,1.065
4.3,2641.67,0.029,1.057
4.4,2628.88,0.029,1.052
4.5,2586.59,0.03,1.035
4.6,2580.07,0.031,1.032
4.7,2570.31,0.031,1.028
4.8,2524.57,0.032,1.01
4.9,2511.64,0.033,1.005
5.0,2494.81,0.033,0.998
5.1,2454.26,0.034,0.982
5.2,2431.55,0.035,0.973
5.3,2394.88,0.035,0.958
5.4,2365.98,0.036,0.946
5.5,2341.85,0.037,0.937
5.6,2342.6,0.037,0.937
5.7,2323.73,0.038,0.929
5.8,2312.47,0.039,0.925
5.9,2294.7,0.039,0.918
6.0,2272.96,0.04,0.909
6.1,2263.34,0.041,0.905
6.2,2252.8,0.041,0.901
6.3,2246.91,0.042,0.899
6.4,2269.11,0.043,0.908
6.5,2274.28,0.043,0.91
6.6,2281.49,0.044,0.913
6.7,2265.43,0.045,0.906
6.8,2257.33,0.045,0.903
6.9,2212.18,0.046,0.885
7.0,2199.78,0.047,0.88
7.1,2177.57,0.047,0.871
7.2,2146.15,0.048,0.858
7.3,2072.43,0.049,0.829
7.4,2072.37,0.049,0.829
7.5,2059.69,0.05,0.824
7.6,2047.36,0.051,0.819
7.7,2057.36,0.051,0.823
7.8,2100.41,0.052,0.84
7.9,2103.18,0.053,0.841
8.0,2079.34,0.053,0.832
8.1,2051.85,0.054,0.821
8.2,2045.43,0.055,0.818
8.3,2060.19,0.055,0.824
8.4,2064.56,0.056,0.826
8.5,2071.32,0.057,0.829
8.6,2063.33,0.057,0.825
8.7,2044.58,0.058,0.818
8.8,2045.04,0.059,0.818
8.9,2054.69,0.059,0.822
9.0,2052.78,0.06,0.821
9.1,2047.11,0.061,0.819
9.2,2095.34,0.061,0.838
9.3,2106.98,0.062,0.843
9.4,2100.58,0.063,0.84
9.5,2118.08,0.063,0.847
9.6,2131.65,0.064,0.853
9.7,2108.93,0.065,0.844
9.8,2192.56,0.065,0.877
9.9,2200.9,0.066,0.88
10.0,2220.74,0.067,0.888
10.1,2213.69,0.067,0.885
10.2,2260.91,0.068,0.904
10.3,2225.35,0.069,0.89
10.4,2225.35,0.069,0.89
10.5,2225.35,0.07,0.89
10.6,2260.91,0.071,0.904
10.7,2227.57,0.071,0.891
10.8,2225.35,0.072,0.89
10.9,2225.35,0.073,0.89
11.0,2225.35,0.073,0.89
11.1,2226.87,0.074,0.891
11.2,2263.38,0.075,0.905
11.3,2286.69,0.075,0.915
11.4,2285.59,0.076,0.914
11.5,2291.15,0.077,0.916
11.6,2297.93,0.077,0.919
11.7,2278.97,0.078,0.912
11.8,2278.97,0.079,0.912
11.9,2273.25,0.079,0.909
12.0,2317.06,0.08,0.927
12.1,2340.63,0.081,0.936
12.2,2342.86,0.081,0.937
12.3,2337.29,0.082,0.935
12.4,2347.14,0.083,0.939
12.5,2358.57,0.083,0.943
12.6,2372.46,0.084,0.949
12.7,2392.7,0.085,0.957
12.8,2386.56,0.085,0.955
12.9,2384.36,0.086,0.954
13.0,2273.97,0.087,0.91
13.1,2252.86,0.087,0.901
13.2,2256.43,0.088,0.903
13.3,2248.1,0.089,0.899
13.4,2294.36,0.089,0.918
13.5,2296.41,0.09,0.919
13.6,2279.19,0.091,0.912
13.7,2280.3,0.091,0.912
13.8,2286.97,0.092,0.915
13.9,2289.75,0.093,0.916
14.0,2390.7,0.093,0.956
14.1,2307.52,0.094,0.923
14.2,2302.04,0.095,0.921
14.3,2316.8,0.095,0.927
14.4,2316.8,0.096,0.927
14.5,2304.34,0.097,0.922
14.6,2292.59,0.097,0.917
14.7,2263.95,0.098,0.906
14.8,2368.06,0.099,0.947
14.9,2358.38,0.099,0.943
15.0,2363.23,0.1,0.945
15.1,2394.87,0.101,0.958
15.2,2374.08,0.101,0.95
15.3,2357.41,0.102,0.943
15.4,2384.4,0.103,0.954
15.5,2377.01,0.103,0.951
15.6,2338.52,0.104,0.935
15.7,2211.83,0.105,0.885
15.8,2192.93,0.105,0.877
15.9,2173.95,0.106,0.87
16.0,2176.24,0.107,0.87
16.1,2178.69,0.107,0.871
16.2,2218.85,0.108,0.888
16.3,2221.46,0.109,0.889
16.4,2209.25,0.109,0.884
16.5,2179.43,0.11,0.872
16.6,2193.26,0.111,0.877
16.7,2178.52,0.111,0.871
16.8,2199.44,0.112,0.88
16.9,2235.88,0.113,0.894
17.0,2232.13,0.113,0.893
17.1,2192.53,0.114,0.877
17.2,2245.25,0.115,0.898
17.3,2255.58,0.115,0.902
17.4,2290.43,0.116,0.916
17.5,2281.93,0.117,0.913
17.6,2302.5,0.117,0.921
17.7,2323.82,0.118,0.93
17.8,2327.86,0.119,0.931
17.9,2322.68,0.119,0.929
18.0,2425.78,0.12,0.97
18.1,2343.27,0.121,0.937
18.2,2374.2,0.121,0.95
18.3,2382.78,0.122,0.953
18.4,2366.48,0.123,0.947
18.5,2397.35,0.123,0.959
18.6,2414.12,0.124,0.966
18.7,2371.59,0.125,0.949
18.8,2374.24,0.125,0.95
18.9,2367.56,0.126,0.947
19.0,2365.18,0.127,0.946
19.1,2397.32,0.127,0.959
19.2,2417.67,0.128,0.967
19.3,2403.76,0.129,0.962
19.4,2414.24,0.129,0.966
19.5,2404.96,0.13,0.962
19.6,2418.2,0.131,0.967
19.7,2419.6,0.131,0.968
19.8,2424.21,0.132,0.97
19.9,2460.71,0.133,0.984
20.0,2468.95,0.133,0.988
20.1,2460.48,0.134,0.984
20.2,2473.01,0.135,0.989
20.3,2501.0,0.135,1.0
20.4,2491.66,0.136,0.997
20.5,2491.66,0.137,0.997
20.6,2512.61,0.137,1.005
20.7,2497.74,0.138,0.999
20.8,2503.69,0.139,1.001
20.9,2638.01,0.139,1.055
21.0,2597.15,0.14,1.039
21.1,2494.88,0.141,0.998
21.2,2638.84,0.141,1.056
21.3,2473.78,0.142,0.99
21.4,2457.5,0.143,0.983
21.5,2489.73,0.143,0.996
21.6,2489.88,0.144,0.996
21.7,2522.54,0.145,1.009
