Time,ID,z,Measurement,x,y,Ni,Linear Coverage,Abs(zi/z_goal),Ln(Abs(zi/z_goal))
0.0,20,,-181.0,-12.1,-5.9,,,1.81,0.593
0.0,21,,-81.0,2.2,-8.7,,,0.81,-0.211
0.0,22,,-238.4,-14.8,4.4,,,2.384,0.869
0.0,23,,-83.4,1.8,-8.9,,,0.834,-0.182
0.0,24,,-4.6,-1.2,-1.8,,,0.046,-3.079
0.0,25,,-125.3,-9.3,-6.2,,,1.253,0.226
0.0,26,,-136.0,-11.6,1.1,,,1.36,0.307
0.0,27,,-152.1,4.5,11.5,,,1.521,0.419
0.0,28,,-183.4,-0.9,13.5,,,1.834,0.606
0.0,29,,-159.4,2.5,12.4,,,1.594,0.466
0.0,30,,-7.4,-1.9,2.0,,,0.074,-2.604
0.0,31,,-145.9,-5.9,10.5,,,1.459,0.378
0.0,32,,-52.1,5.9,4.2,,,0.521,-0.652
0.0,33,,-192.2,-11.8,-7.2,,,1.922,0.653
0.0,34,,-13.8,-3.4,1.4,,,0.138,-1.981
0.0,35,,-181.7,11.2,7.5,,,1.817,0.597
0.0,36,,-134.4,3.8,11.0,,,1.344,0.296
0.0,37,,-157.8,-12.3,-2.7,,,1.578,0.456
0.0,38,,-183.2,-10.4,-8.7,,,1.832,0.605
0.0,39,,-27.1,4.1,3.2,,,0.271,-1.306
0.1,20,,-180.2,-12.1,-5.8,5.0,2.333,1.802,0.589
0.1,21,,-82.8,2.3,-8.8,1.0,7.0,0.828,-0.189
0.1,22,,-237.3,-14.7,4.5,1.0,7.0,2.373,0.864
0.1,23,,-85.3,1.8,-9.1,1.0,7.0,0.853,-0.159
0.1,24,,-4.7,-1.2,-1.8,2.0,4.667,0.047,-3.058
0.1,25,,-122.2,-9.2,-6.1,4.0,2.8,1.222,0.2
0.1,26,,-134.8,-11.6,1.1,3.0,3.5,1.348,0.299
0.1,27,,-152.0,4.6,11.4,3.0,3.5,1.52,0.419
0.1,28,,-182.3,-0.9,13.5,4.0,2.8,1.823,0.6
0.1,29,,-159.4,2.5,12.4,3.0,3.5,1.594,0.466
0.1,30,,-7.0,-1.9,1.9,3.0,3.5,0.07,-2.659
0.1,31,,-144.8,-5.9,10.5,1.0,7.0,1.448,0.37
0.1,32,,-53.5,5.9,4.3,2.0,4.667,0.535,-0.625
0.1,33,,-192.4,-11.8,-7.2,4.0,2.8,1.924,0.654
0.1,34,,-14.2,-3.5,1.3,2.0,4.667,0.142,-1.952
0.1,35,,-180.9,11.2,7.5,1.0,7.0,1.809,0.593
0.1,36,,-131.3,3.7,10.8,3.0,3.5,1.313,0.272
0.1,37,,-157.1,-12.2,-2.7,5.0,2.333,1.571,0.452
0.1,38,,-182.5,-10.3,-8.7,4.0,2.8,1.825,0.602
0.1,39,,-26.4,4.1,3.1,2.0,4.667,0.264,-1.332
0.2,20,,-179.3,-12.0,-5.8,5.0,2.333,1.793,0.584
0.2,21,,-83.4,2.3,-8.8,1.0,7.0,0.834,-0.182
0.2,22,,-235.1,-14.7,4.4,1.0,7.0,2.351,0.855
0.2,23,,-85.7,1.9,-9.1,1.0,7.0,0.857,-0.154
0.2,24,,-4.8,-1.2,-1.8,2.0,4.667,0.048,-3.037
0.2,25,,-120.4,-9.1,-6.1,4.0,2.8,1.204,0.186
0.2,26,,-133.8,-11.5,1.1,3.0,3.5,1.338,0.291
0.2,27,,-151.0,4.6,11.4,3.0,3.5,1.51,0.412
0.2,28,,-180.2,-0.9,13.4,4.0,2.8,1.802,0.589
0.2,29,,-158.6,2.5,12.3,3.0,3.5,1.586,0.461
0.2,30,,-7.0,-1.9,1.8,3.0,3.5,0.07,-2.659
0.2,31,,-144.2,-5.9,10.5,1.0,7.0,1.442,0.366
0.2,32,,-54.1,6.0,4.3,3.0,3.5,0.541,-0.614
0.2,33,,-191.4,-11.8,-7.2,4.0,2.8,1.914,0.649
