Time,Average Ln(Abs(zi/z_goal)),Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,-0.177,0.0,0.0,11.2,13.5,-14.8,-8.9,96.8,0.0
0.1,-0.18,87.03,0.001,11.2,13.5,-14.7,-9.1,97.0,0.897
0.2,-0.181,85.17,0.002,11.1,13.4,-14.7,-9.1,96.6,0.882
0.3,-0.179,85.17,0.003,11.1,13.3,-14.6,-9.1,96.2,0.885
0.4,-0.181,85.17,0.004,11.0,13.3,-14.6,-9.1,96.0,0.887
0.5,-0.182,85.17,0.005,11.0,13.2,-14.5,-9.2,95.8,0.889
0.6,-0.183,83.77,0.006,11.0,13.1,-14.4,-9.2,95.4,0.878
0.7,-0.184,83.77,0.007,11.0,13.1,-14.4,-9.2,95.4,0.878
0.8,-0.184,83.77,0.008,10.9,13.0,-14.3,-9.2,94.8,0.884
0.9,-0.184,83.77,0.009,10.9,12.9,-14.3,-9.3,94.8,0.884
1.0,-0.186,83.77,0.01,10.9,12.9,-14.2,-9.3,94.6,0.886
1.1,-0.187,87.27,0.011,10.8,12.8,-14.2,-9.3,94.2,0.926
1.2,-0.191,87.27,0.012,10.8,12.7,-14.1,-9.3,93.8,0.93
1.3,-0.188,86.8,0.013,10.8,12.7,-14.1,-9.3,93.8,0.925
1.4,-0.188,86.8,0.014,10.8,12.7,-14.0,-9.3,93.6,0.927
1.5,-0.183,83.77,0.015,10.7,12.6,-13.9,-9.4,93.2,0.899
1.6,-0.181,79.8,0.016,10.7,12.6,-13.9,-9.4,93.2,0.856
1.7,-0.182,79.8,0.017,10.7,12.5,-13.8,-9.5,93.0,0.858
1.8,-0.182,79.8,0.018,10.7,12.5,-13.8,-9.5,93.0,0.858
1.9,-0.177,79.8,0.019,10.6,12.5,-13.8,-9.5,92.8,0.86
2.0,-0.177,78.53,0.02,10.6,12.4,-13.7,-9.5,92.4,0.85
2.1,-0.177,77.37,0.021,10.5,12.4,-13.6,-9.6,92.2,0.839
2.2,-0.178,77.37,0.022,10.5,12.3,-13.6,-9.5,91.8,0.843
2.3,-0.178,75.5,0.023,10.4,12.3,-13.6,-9.5,91.6,0.824
2.4,-0.177,74.7,0.024,10.4,12.2,-13.5,-9.5,91.2,0.819
2.5,-0.179,74.7,0.025,10.3,12.2,-13.5,-9.5,91.0,0.821
2.6,-0.18,74.7,0.026,10.3,12.1,-13.4,-9.5,90.6,0.825
2.7,-0.189,73.67,0.027,10.2,12.1,-13.4,-9.5,90.4,0.815
2.8,-0.193,73.67,0.028,10.2,12.0,-13.3,-9.5,90.0,0.819
2.9,-0.2,73.67,0.029,10.1,11.9,-13.3,-9.5,89.6,0.822
3.0,-0.208,72.5,0.03,10.0,11.9,-13.2,-9.5,89.2,0.813
3.1,-0.215,71.78,0.031,9.9,11.8,-13.2,-9.4,88.6,0.81
3.2,-0.221,71.78,0.032,9.9,11.8,-13.1,-9.5,88.6,0.81
3.3,-0.226,71.78,0.033,9.8,11.7,-13.1,-9.4,88.0,0.816
3.4,-0.233,70.75,0.034,9.7,11.6,-13.0,-9.5,87.6,0.808
3.5,-0.239,70.75,0.035,9.7,11.6,-13.0,-9.5,87.6,0.808
3.6,-0.246,70.75,0.036,9.6,11.5,-13.0,-9.5,87.2,0.811
3.7,-0.251,70.75,0.037,9.6,11.5,-12.9,-9.5,87.0,0.813
3.8,-0.259,70.75,0.038,9.5,11.4,-12.9,-9.5,86.6,0.817
3.9,-0.268,69.82,0.039,9.5,11.4,-12.9,-9.5,86.6,0.806
4.0,-0.276,69.82,0.04,9.4,11.3,-12.8,-9.6,86.2,0.81
4.1,-0.282,68.68,0.041,9.4,11.3,-12.8,-9.6,86.2,0.797
4.2,-0.288,68.22,0.042,9.3,11.3,-12.8,-9.6,86.0,0.793
4.3,-0.297,68.22,0.043,9.3,11.2,-12.7,-9.6,85.6,0.797
4.4,-0.305,68.22,0.044,9.2,11.2,-12.7,-9.6,85.4,0.799
4.5,-0.306,68.22,0.045,9.1,11.1,-12.7,-9.6,85.0,0.803
4.6,-0.31,67.88,0.046,9.1,11.1,-12.6,-9.7,85.0,0.799
4.7,-0.312,67.55,0.047,9.0,11.0,-12.6,-9.7,84.6,0.798
4.8,-0.312,67.55,0.048,9.0,10.9,-12.6,-9.7,84.4,0.8
4.9,-0.309,67.55,0.049,8.9,10.9,-12.5,-9.6,83.8,0.806
5.0,-0.308,64.97,0.05,8.8,10.9,-12.5,-9.6,83.6,0.777
5.1,-0.304,64.72,0.051,8.8,10.8,-12.5,-9.6,83.4,0.776
5.2,-0.304,63.8,0.052,8.8,10.8,-12.5,-9.6,83.4,0.765
5.3,-0.302,63.02,0.053,8.7,10.7,-12.5,-9.5,82.8,0.761
5.4,-0.302,63.02,0.054,8.7,10.7,-12.4,-9.5,82.6,0.763
5.5,-0.297,62.53,0.055,8.7,10.6,-12.4,-9.5,82.4,0.759
5.6,-0.294,62.53,0.056,8.6,10.6,-12.3,-9.5,82.0,0.763
5.7,-0.291,62.53,0.057,8.6,10.6,-12.3,-9.5,82.0,0.763
5.8,-0.292,62.53,0.058,8.5,10.5,-12.3,-9.5,81.6,0.766
5.9,-0.29,60.78,0.059,8.4,10.5,-12.3,-9.4,81.2,0.749
6.0,-0.288,60.78,0.06,8.3,10.4,-12.3,-9.4,80.8,0.752
6.1,-0.286,60.45,0.061,8.3,10.4,-12.2,-9.4,80.6,0.75
6.2,-0.284,60.12,0.062,8.3,10.4,-12.2,-9.4,80.6,0.746
6.3,-0.283,60.12,0.063,8.2,10.3,-12.2,-9.4,80.2,0.75
6.4,-0.281,59.87,0.064,8.2,10.2,-12.2,-9.4,80.0,0.748
6.5,-0.281,58.82,0.065,8.1,10.2,-12.1,-9.3,79.4,0.741
6.6,-0.279,58.82,0.066,8.0,10.1,-12.1,-9.3,79.0,0.745
6.7,-0.278,58.82,0.067,7.9,10.1,-12.1,-9.3,78.8,0.746
6.8,-0.277,58.82,0.068,7.9,10.0,-12.0,-9.2,78.2,0.752
6.9,-0.271,58.82,0.069,7.8,10.1,-12.0,-9.2,78.2,0.752
7.0,-0.268,57.65,0.07,7.8,10.1,-12.0,-9.2,78.2,0.737
7.1,-0.264,54.82,0.071,7.7,10.0,-12.0,-9.1,77.6,0.706
7.2,-0.26,54.82,0.072,7.7,10.1,-11.9,-9.1,77.6,0.706
7.3,-0.253,54.82,0.073,7.6,10.1,-11.9,-9.0,77.2,0.71
7.4,-0.25,54.82,0.074,7.5,10.0,-11.9,-9.0,76.8,0.714
7.5,-0.246,54.82,0.075,7.5,10.1,-11.8,-9.0,76.8,0.714
7.6,-0.243,54.82,0.076,7.4,10.1,-11.8,-9.0,76.6,0.716
7.7,-0.24,54.82,0.077,7.3,10.1,-11.7,-9.0,76.2,0.719
7.8,-0.236,54.82,0.078,7.3,10.1,-11.7,-9.0,76.2,0.719
7.9,-0.231,54.82,0.079,7.2,10.1,-11.7,-9.0,76.0,0.721
8.0,-0.229,54.82,0.08,7.2,10.1,-11.6,-9.0,75.8,0.723
8.1,-0.224,54.82,0.081,7.1,10.1,-11.6,-9.0,75.6,0.725
8.2,-0.221,54.82,0.082,7.1,10.1,-11.5,-9.0,75.4,0.727
8.3,-0.22,54.82,0.083,7.1,10.1,-11.5,-9.0,75.4,0.727
8.4,-0.215,52.48,0.084,7.0,10.1,-11.5,-9.0,75.2,0.698
8.5,-0.211,52.48,0.085,6.9,10.1,-11.5,-9.0,75.0,0.7
8.6,-0.21,52.48,0.086,6.9,10.1,-11.4,-9.0,74.8,0.702
8.7,-0.207,52.48,0.087,6.8,10.1,-11.4,-9.1,74.8,0.702
8.8,-0.204,52.48,0.088,6.8,10.1,-11.4,-9.0,74.6,0.703
8.9,-0.2,52.48,0.089,6.8,10.1,-11.4,-9.0,74.6,0.703
9.0,-0.195,52.48,0.09,6.7,10.1,-11.3,-9.0,74.2,0.707
9.1,-0.19,52.48,0.091,6.7,10.1,-11.3,-9.0,74.2,0.707
9.2,-0.188,52.48,0.092,6.6,10.1,-11.2,-9.0,73.8,0.711
9.3,-0.187,52.48,0.093,6.6,10.1,-11.2,-9.0,73.8,0.711
9.4,-0.186,52.48,0.094,6.5,10.1,-11.2,-9.0,73.6,0.713
9.5,-0.181,52.48,0.095,6.5,10.1,-11.1,-9.0,73.4,0.715
9.6,-0.176,52.48,0.096,6.4,10.1,-11.1,-9.0,73.2,0.717
9.7,-0.174,51.9,0.097,6.4,10.1,-11.1,-9.0,73.2,0.709
9.8,-0.172,52.48,0.098,6.3,10.0,-11.1,-8.9,72.6,0.723
9.9,-0.168,52.23,0.099,6.3,10.1,-11.0,-8.9,72.6,0.719
10.0,-0.16,52.48,0.1,6.3,10.1,-11.0,-8.9,72.6,0.723
10.1,-0.156,52.48,0.101,6.3,10.1,-11.0,-9.0,72.8,0.721
10.2,-0.152,52.48,0.102,6.2,10.1,-11.0,-9.0,72.6,0.723
10.3,-0.146,51.9,0.103,6.3,10.1,-10.9,-9.0,72.6,0.715
10.4,-0.143,53.81,0.104,6.3,10.1,-10.9,-9.1,72.8,0.739
10.5,-0.14,53.56,0.105,6.2,10.1,-10.9,-9.1,72.6,0.738
10.6,-0.138,52.39,0.106,6.3,10.1,-10.9,-9.1,72.8,0.72
10.7,-0.137,52.39,0.107,6.3,10.1,-10.8,-9.2,72.8,0.72
10.8,-0.132,52.39,0.108,6.4,10.1,-10.8,-9.2,73.0,0.718
10.9,-0.131,52.39,0.109,6.4,10.0,-10.8,-9.2,72.8,0.72
11.0,-0.128,52.2,0.11,6.4,10.1,-10.7,-9.1,72.6,0.719
11.1,-0.125,51.69,0.111,6.3,10.1,-10.7,-9.1,72.4,0.714
11.2,-0.121,51.5,0.112,6.2,10.0,-10.7,-9.1,72.0,0.715
11.3,-0.12,51.5,0.113,6.2,10.1,-10.7,-9.0,72.0,0.715
11.4,-0.118,51.5,0.114,6.2,10.1,-10.7,-9.0,72.0,0.715
11.5,-0.116,51.5,0.115,6.2,10.1,-10.7,-9.1,72.2,0.713
11.6,-0.114,51.5,0.116,6.3,10.1,-10.6,-9.2,72.4,0.711
11.7,-0.109,51.5,0.117,6.5,10.1,-10.6,-9.2,72.8,0.707
11.8,-0.106,51.5,0.118,6.5,10.0,-10.6,-9.3,72.8,0.707
11.9,-0.106,51.5,0.119,6.4,10.0,-10.5,-9.3,72.4,0.711
12.0,-0.105,51.5,0.12,6.4,10.0,-10.5,-9.3,72.4,0.711
12.1,-0.102,51.5,0.121,6.6,10.1,-10.5,-9.4,73.2,0.704
12.2,-0.098,51.5,0.122,6.6,10.1,-10.4,-9.4,73.0,0.705
12.3,-0.092,51.5,0.123,6.5,10.1,-10.4,-9.5,73.0,0.705
12.4,-0.09,51.5,0.124,6.5,10.0,-10.3,-9.5,72.6,0.709
12.5,-0.092,49.86,0.125,6.4,10.0,-10.3,-9.6,72.6,0.687
12.6,-0.09,49.86,0.126,6.6,10.0,-10.3,-9.6,73.0,0.683
12.7,-0.089,49.86,0.127,6.5,10.0,-10.2,-9.6,72.6,0.687
12.8,-0.087,49.86,0.128,6.5,10.1,-10.2,-9.6,72.8,0.685
12.9,-0.084,49.86,0.129,6.5,10.1,-10.2,-9.7,73.0,0.683
13.0,-0.083,49.86,0.13,6.6,10.1,-10.2,-9.7,73.2,0.681
13.1,-0.081,49.48,0.131,6.7,10.1,-10.2,-9.6,73.2,0.676
13.2,-0.08,49.48,0.132,6.8,10.1,-10.2,-9.7,73.6,0.672
13.3,-0.078,49.48,0.133,6.8,10.0,-10.1,-9.7,73.2,0.676
13.4,-0.077,49.48,0.134,6.8,10.1,-10.1,-9.8,73.6,0.672
