Time,Average Abs(zi-z_goal)/range,Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,0.249,0.0,0.0,24.1,18.4,-2.1,-23.9,137.0,0.0
0.1,0.249,95.15,0.001,24.1,18.4,-2.0,-23.9,136.8,0.696
0.2,0.249,95.15,0.001,24.1,18.4,-2.0,-24.0,137.0,0.695
0.3,0.249,95.15,0.002,24.2,18.4,-2.0,-23.9,137.0,0.695
0.4,0.249,95.15,0.003,24.2,18.4,-2.1,-24.0,137.4,0.693
0.5,0.249,95.15,0.003,24.1,18.4,-2.1,-24.0,137.2,0.694
0.6,0.248,95.15,0.004,24.2,18.3,-2.0,-24.1,137.2,0.694
0.7,0.248,95.15,0.005,24.2,18.1,-2.1,-24.1,137.0,0.695
0.8,0.247,95.15,0.005,24.3,18.0,-2.2,-24.1,137.2,0.694
0.9,0.245,95.15,0.006,24.2,17.8,-2.1,-24.1,136.4,0.698
1.0,0.243,95.15,0.007,24.0,17.6,-2.0,-23.9,135.0,0.705
1.1,0.241,95.15,0.007,23.7,17.4,-2.1,-23.7,133.8,0.711
1.2,0.239,95.15,0.008,23.6,17.2,-2.2,-23.5,133.0,0.715
1.3,0.236,92.18,0.009,23.7,17.0,-2.1,-23.3,132.2,0.697
1.4,0.233,86.23,0.009,23.5,16.8,-2.2,-23.1,131.2,0.657
1.5,0.231,86.23,0.01,23.3,16.6,-2.3,-23.0,130.4,0.661
1.6,0.228,86.23,0.011,23.1,16.5,-2.3,-22.8,129.4,0.666
1.7,0.224,86.23,0.011,23.1,16.3,-2.2,-22.6,128.4,0.672
1.8,0.22,86.23,0.012,23.0,16.1,-2.3,-22.4,127.6,0.676
1.9,0.216,86.23,0.013,22.8,15.9,-2.3,-22.1,126.2,0.683
2.0,0.211,86.23,0.013,22.6,15.7,-2.3,-21.9,125.0,0.69
2.1,0.206,86.23,0.014,22.5,15.5,-2.4,-21.7,124.2,0.694
2.2,0.2,86.23,0.015,22.5,15.3,-2.4,-21.5,123.4,0.699
2.3,0.195,86.23,0.015,22.3,15.1,-2.3,-21.3,122.0,0.707
2.4,0.189,86.23,0.016,22.2,15.0,-2.2,-21.1,121.0,0.713
2.5,0.183,86.23,0.017,21.9,14.8,-2.3,-20.9,119.8,0.72
2.6,0.176,77.31,0.017,21.8,14.6,-2.2,-20.7,118.6,0.652
