Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.2,10,explorer,10,47519.9,100.0,-0.2,-8.2,-461.0,0.3,-0.0,0.3,2.4,1.5,-7.7,7
0.2,11,explorer,10,47519.9,100.0,16.6,13.6,-1461.1,0.2,0.2,0.3,12.6,11.6,-293.3,4
0.2,12,explorer,10,47519.89,100.0,2.0,-10.6,-601.8,0.2,0.3,0.4,2.9,-0.5,-8.8,6
0.2,13,explorer,10,47518.94,100.0,3.0,4.2,-516.1,0.4,0.8,0.9,2.4,1.5,-7.7,7
0.2,14,explorer,10,47519.89,100.0,19.8,19.9,-1893.3,-0.3,-0.2,0.4,12.6,11.6,-293.3,4
0.2,15,explorer,10,47519.9,100.0,-13.3,9.8,-113.8,0.2,-0.2,0.3,-13.3,9.8,-110.3,15
0.2,16,explorer,10,47519.91,100.0,18.4,3.9,-1442.7,0.1,-0.3,0.3,12.6,11.6,-293.3,4
0.2,17,isocontour,6,47519.71,100.0,-15.5,18.7,-322.1,-0.1,-0.5,0.5,-13.3,9.8,-110.3,15
0.2,18,isocontour,6,47519.49,100.0,0.5,-16.4,-709.1,-0.6,0.4,0.7,2.9,-0.5,-8.8,6
0.2,19,isocontour,6,47519.18,100.0,-14.7,-10.7,-163.6,0.3,-0.4,0.5,-14.7,-10.7,-159.8,19
0.2,20,isocontour,6,47519.32,100.0,9.2,-5.2,-861.5,-0.7,-0.2,0.7,2.4,1.5,-7.7,7
0.2,21,isocontour,6,47518.65,100.0,6.7,-6.9,-752.4,-0.7,0.5,0.9,2.4,1.5,-7.7,7
0.2,Target,,,,,-19.5,1.17,-0.018,-1.24,0.48,,,,,
0.3,1,seeker,5,47517.58,99.99,13.1,12.9,-1207.539,-0.4,-0.8,0.9,12.6,11.6,-293.3,4
0.3,2,explorer,10,47519.86,100.0,-9.3,17.8,-382.3,-0.3,-0.1,0.3,-13.3,9.8,-110.3,15
0.3,3,explorer,10,47517.65,100.0,11.2,-3.7,-976.1,0.7,0.7,1.0,2.4,1.5,-7.7,7
0.3,4,explorer,10,47517.16,99.99,12.5,11.3,-1135.3,-0.5,-0.6,0.8,12.6,11.6,-293.3,4
0.3,5,explorer,10,47519.89,100.0,-6.1,19.4,-512.2,0.3,0.1,0.3,-13.3,9.8,-110.3,15
0.3,6,explorer,10,47518.17,100.0,3.0,-0.7,-517.6,0.5,-0.8,0.9,2.4,1.5,-7.7,7
0.3,7,explorer,10,47517.7,100.0,2.1,1.5,-473.3,-0.9,0.2,0.9,2.1,1.5,-7.7,7
0.3,8,explorer,10,47519.48,100.0,14.1,15.7,-1351.4,0.1,0.3,0.3,12.6,11.6,-293.3,4
0.3,9,explorer,10,47519.86,100.0,-7.6,-15.3,-419.0,-0.3,0.1,0.3,-7.6,-15.3,-291.0,9
0.3,10,explorer,10,47519.85,100.0,-0.2,-8.2,-466.4,-0.2,-0.2,0.3,2.4,1.5,-7.7,7
0.3,11,explorer,10,47519.85,100.0,16.7,13.6,-1469.5,0.1,-0.3,0.3,12.6,11.6,-293.3,4
0.3,12,explorer,10,47519.85,100.0,2.0,-10.6,-608.4,-0.1,-0.3,0.3,2.4,1.5,-7.7,7
0.3,13,explorer,10,47518.46,100.0,3.1,4.3,-524.2,0.5,0.5,0.7,2.4,1.5,-7.7,7
0.3,14,explorer,10,47519.85,100.0,19.8,19.9,-1904.4,0.2,0.2,0.3,12.6,11.6,-293.3,4
0.3,15,explorer,10,47519.85,100.0,-13.2,9.8,-114.6,0.2,-0.3,0.4,-13.3,9.8,-110.3,15
0.3,16,explorer,10,47519.86,100.0,18.4,3.9,-1449.6,-0.3,0.0,0.3,12.6,11.6,-293.3,4
0.3,17,isocontour,6,47519.62,100.0,-15.5,18.6,-320.4,-0.0,-0.4,0.4,-13.3,9.8,-110.3,15
0.3,18,isocontour,6,47519.35,100.0,0.5,-16.4,-713.2,-0.4,0.3,0.5,2.4,1.5,-7.7,7
0.3,19,isocontour,6,47518.44,100.0,-14.6,-10.7,-167.3,0.7,-0.4,0.8,-14.6,-10.7,-159.8,19
0.3,20,isocontour,6,47519.21,100.0,9.1,-5.2,-866.9,-0.4,0.2,0.4,2.4,1.5,-7.7,7
0.3,21,isocontour,6,47517.86,100.0,6.6,-6.9,-755.2,-0.7,0.4,0.8,2.4,1.5,-7.7,7
0.3,Target,,,,,-19.63,1.21,-0.018,-1.28,0.38,,,,,
0.4,1,seeker,5,47516.55,99.99,13.1,12.8,-1195.621,-0.2,-0.9,0.9,12.6,11.6,-293.3,4
0.4,2,explorer,10,47519.8,100.0,-9.2,17.8,-376.8,0.2,-0.3,0.4,-13.3,9.8,-110.3,15
0.4,3,explorer,10,47516.86,99.99,11.3,-3.6,-973.5,0.5,0.7,0.9,2.4,1.5,-7.7,7
0.4,4,explorer,10,47516.03,99.99,12.5,11.3,-1123.0,-0.4,-0.8,0.9,12.6,11.6,-293.3,4
0.4,5,explorer,10,47519.84,100.0,-6.1,19.4,-505.5,-0.3,0.0,0.3,-13.3,9.8,-110.3,15
0.4,6,explorer,10,47517.0,99.99,3.1,-0.8,-516.1,0.4,-0.9,1.0,2.4,1.5,-7.7,7
0.4,7,explorer,10,47517.65,100.0,2.1,1.5,-469.1,-0.0,0.3,0.3,2.1,1.5,-7.7,7
0.4,8,explorer,10,47519.43,100.0,14.2,15.7,-1343.7,0.3,-0.2,0.4,12.6,11.6,-293.3,4
0.4,9,explorer,10,47519.81,100.0,-7.5,-15.3,-421.1,0.3,-0.1,0.3,-7.5,-15.3,-291.0,9
0.4,10,explorer,10,47519.81,100.0,-0.2,-8.3,-465.9,0.2,-0.2,0.3,2.4,1.5,-7.7,7
0.4,11,explorer,10,47519.8,100.0,16.6,13.6,-1459.3,-0.2,0.2,0.3,12.6,11.6,-293.3,4
0.4,12,explorer,10,47519.8,100.0,2.0,-10.6,-605.4,-0.3,-0.0,0.3,2.4,1.5,-7.7,7
0.4,13,explorer,10,47517.7,100.0,3.1,4.4,-519.9,-0.0,0.8,0.8,2.4,1.5,-7.7,7
0.4,14,explorer,10,47519.81,100.0,19.8,20.0,-1896.0,0.2,0.2,0.3,12.6,11.6,-293.3,4
0.4,15,explorer,10,47519.8,100.0,-13.2,9.8,-111.9,0.3,-0.1,0.3,-13.3,9.8,-110.3,15
0.4,16,explorer,10,47519.79,100.0,18.3,3.9,-1440.5,-0.2,0.3,0.4,12.6,11.6,-293.3,4
0.4,17,isocontour,6,47519.49,100.0,-15.5,18.6,-315.2,0.3,-0.4,0.5,-13.3,9.8,-110.3,15
0.4,18,isocontour,6,47518.56,100.0,0.4,-16.3,-708.6,-0.5,0.7,0.9,2.4,1.5,-7.7,7
0.4,19,isocontour,6,47518.18,100.0,-14.6,-10.7,-169.5,0.6,-0.1,0.6,-14.6,-10.7,-159.8,19
