Time,ID,behv,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,isocontour,100.0,-7.1,1.8,-120.7,,,,-7.1,1.8,-53.4,1
0.0,2,isocontour,100.0,5.4,-1.0,-3.9,,,,5.4,-1.0,-29.9,2
0.0,3,isocontour,100.0,3.0,-5.6,-17.6,,,,3.0,-5.6,-40.5,3
0.0,4,isocontour,100.0,-3.9,-2.6,-54.8,,,,-3.9,-2.6,-22.0,4
0.0,5,isocontour,100.0,1.1,-8.0,-48.2,,,,1.1,-8.0,-64.6,5
0.0,6,isocontour,100.0,-9.2,3.2,-179.4,,,,-9.2,3.2,-93.9,6
0.0,7,isocontour,100.0,5.0,-3.3,-6.0,,,,5.0,-3.3,-35.8,7
0.0,8,isocontour,100.0,-0.4,7.8,-98.5,,,,-0.4,7.8,-60.3,8
0.0,9,isocontour,100.0,4.7,-9.7,-71.1,,,,4.7,-9.7,-117.2,9
0.0,10,isocontour,100.0,-4.3,3.2,-81.5,,,,-4.3,3.2,-29.0,10
0.0,11,isocontour,100.0,2.4,1.8,-11.1,,,,2.4,1.8,-8.7,11
0.0,12,isocontour,100.0,2.6,-1.6,-0.7,,,,2.6,-1.6,-9.5,12
0.0,13,isocontour,100.0,1.2,-9.2,-66.1,,,,1.2,-9.2,-86.9,13
0.0,14,isocontour,100.0,-3.4,9.0,-155.7,,,,-3.4,9.0,-93.2,14
0.0,15,isocontour,100.0,9.1,-2.7,-33.6,,,,9.1,-2.7,-89.6,15
0.0,16,isocontour,100.0,-1.7,8.8,-131.3,,,,-1.7,8.8,-80.9,16
0.0,17,isocontour,100.0,1.5,-4.3,-11.8,,,,1.5,-4.3,-20.3,17
0.0,18,isocontour,100.0,-2.3,8.2,-125.6,,,,-2.3,8.2,-73.1,18
0.0,19,isocontour,100.0,-6.8,6.4,-165.7,,,,-6.8,6.4,-87.3,19
0.0,20,isocontour,100.0,-1.6,-0.2,-26.3,,,,-1.6,-0.2,-2.5,20
0.0,Target,,,3.43,-1.41,-13.727,1.02,3.17,,,,,
0.1,1,isocontour,99.82,-6.7,1.8,-119.5,4.1,0.3,4.1,-4.3,3.2,-29.0,10
0.1,2,isocontour,99.96,5.5,-1.2,-3.5,1.7,-1.9,2.5,2.6,-1.6,-0.7,12
0.1,3,isocontour,99.66,2.9,-6.1,-20.8,-1.4,-4.8,5.0,2.6,-1.6,-0.7,12
0.1,4,isocontour,99.99,-4.0,-2.7,-61.1,-1.5,-0.4,1.6,-1.6,-0.2,-2.5,20
0.1,5,isocontour,99.8,1.3,-8.3,-50.9,2.3,-3.5,4.2,1.5,-4.3,-11.8,17
0.1,6,isocontour,99.94,-8.9,3.3,-182.3,2.7,0.9,2.8,-4.3,3.2,-29.0,10
0.1,7,isocontour,99.6,5.2,-3.8,-7.0,1.8,-5.0,5.3,2.6,-1.6,-0.7,12
0.1,8,isocontour,99.99,-0.5,7.7,-104.8,-1.6,-0.3,1.6,-0.5,7.7,-60.3,8
0.1,9,isocontour,99.99,4.9,-9.7,-66.9,1.5,0.6,1.6,3.0,-5.6,-17.6,3
0.1,10,isocontour,99.68,-3.8,3.2,-79.6,4.9,-0.4,4.9,-1.6,-0.2,-2.5,20
0.1,11,isocontour,99.92,2.2,1.5,-12.0,-2.1,-2.4,3.2,2.6,-1.6,-0.7,12
0.1,12,isocontour,99.62,2.3,-2.0,-2.2,-3.5,-3.8,5.2,2.3,-2.0,-0.7,12
0.1,13,isocontour,99.71,1.7,-9.4,-66.1,4.3,-2.1,4.8,1.5,-4.3,-11.8,17
0.1,14,isocontour,99.96,-3.2,8.9,-158.0,2.2,-1.1,2.5,-0.4,7.8,-60.3,8
0.1,15,isocontour,99.99,8.9,-2.7,-28.4,-1.6,-0.1,1.6,5.4,-1.0,-3.9,2
0.1,16,isocontour,99.54,-1.3,8.4,-125.5,3.8,-4.1,5.6,-0.4,7.8,-60.3,8
0.1,17,isocontour,99.96,1.5,-4.5,-13.5,-0.1,-2.4,2.4,2.6,-1.6,-0.7,12
0.1,18,isocontour,99.83,-1.9,8.0,-123.9,3.2,-2.4,4.0,-0.4,7.8,-60.3,8
0.1,19,isocontour,99.82,-6.4,6.2,-164.0,3.6,-1.9,4.1,-4.3,3.2,-29.0,10
0.1,20,isocontour,99.55,-2.0,0.2,-35.3,-4.1,3.7,5.5,2.6,-1.6,-0.7,12
