,Time Averaged Non-Dimensional Area Coverage,heterogeneity,seekers,explorers,isocontours
0,1.6890393333333331,0.0,0,0,5
0,1.6930573333333332,0.2,0,1,4
0,1.3734786666666663,0.4,0,2,3
0,1.0455353333333333,0.6,0,3,2
0,2.0350273333333333,0.8,0,4,1
