Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
2.9,23,0.157,-8.8,-7.8,0.0,22.568,0.232
2.9,24,0.006,-18.6,15.1,0.0,22.568,0.274
2.9,25,0.104,-0.6,-24.6,0.0,22.568,0.247
3.0,23,0.185,-9.1,-7.9,0.0,22.568,0.225
3.0,24,0.008,-18.7,15.2,0.0,22.568,0.273
3.0,25,0.116,-0.6,-24.6,0.0,22.568,0.244
3.1,23,0.212,-9.3,-8.0,0.0,22.568,0.217
3.1,24,0.011,-18.6,15.1,0.0,22.568,0.273
3.1,25,0.128,-0.5,-24.6,0.0,22.568,0.24
3.2,23,0.237,-9.4,-8.0,0.0,22.568,0.21
3.2,24,0.014,-18.5,15.1,0.0,22.568,0.272
3.2,25,0.144,-0.5,-24.6,0.0,22.568,0.236
3.3,23,0.269,-9.7,-8.1,0.0,22.568,0.201
3.3,24,0.018,-18.6,15.0,0.0,22.568,0.271
3.3,25,0.157,-0.5,-24.6,0.0,22.568,0.232
3.4,23,0.303,-10.0,-8.1,0.0,22.568,0.192
3.4,24,0.022,-18.6,15.0,0.0,22.568,0.27
3.4,25,0.173,-0.5,-24.6,0.0,22.568,0.228
3.5,23,0.338,-10.2,-8.2,0.0,22.568,0.182
3.5,24,0.026,-18.7,14.9,0.0,22.568,0.268
3.5,25,0.19,-0.6,-24.6,0.0,22.568,0.223
3.6,23,0.369,-10.4,-8.3,0.0,22.568,0.174
3.6,24,0.032,-18.7,14.8,0.0,22.568,0.267
3.6,25,0.207,-0.7,-24.6,0.0,22.568,0.219
3.7,23,0.4,-10.6,-8.2,0.0,22.568,0.165
3.7,24,0.037,-18.7,14.9,0.0,22.568,0.265
3.7,25,0.221,-0.6,-24.6,0.0,22.568,0.215
3.8,23,0.436,-10.9,-8.2,0.0,22.568,0.155
3.8,24,0.043,-18.6,14.9,0.0,22.568,0.264
3.8,25,0.238,-0.7,-24.6,0.0,22.568,0.21
3.9,23,0.475,-11.1,-8.3,0.0,22.568,0.145
3.9,24,0.049,-18.7,15.0,0.0,22.568,0.262
3.9,25,0.256,-0.8,-24.6,0.0,22.568,0.205
4.0,23,0.512,-11.2,-8.4,0.0,22.568,0.135
4.0,24,0.056,-18.6,15.0,0.0,22.568,0.26
4.0,25,0.275,-0.9,-24.6,0.0,22.568,0.2
4.1,23,0.545,-11.4,-8.4,0.0,22.568,0.125
4.1,24,0.062,-18.6,15.0,0.0,22.568,0.259
4.1,25,0.289,-0.8,-24.6,0.0,22.568,0.196
4.2,23,0.586,-11.6,-8.6,0.0,22.568,0.114
4.2,24,0.07,-18.7,15.0,0.0,22.568,0.256
4.2,25,0.306,-0.9,-24.6,0.0,22.568,0.191
4.3,23,0.629,-11.8,-8.7,0.0,22.568,0.102
4.3,24,0.078,-18.7,15.0,0.0,22.568,0.254
4.3,25,0.32,-0.8,-24.6,0.0,22.568,0.187
4.4,23,0.664,-12.0,-8.8,0.0,22.568,0.093
4.4,24,0.087,-18.7,15.0,0.0,22.568,0.252
4.4,25,0.337,-0.9,-24.6,0.0,22.568,0.183
4.5,23,0.7,-12.2,-8.7,0.0,22.568,0.083
4.5,24,0.095,-18.7,15.0,0.0,22.568,0.249
4.5,25,0.351,-0.8,-24.6,0.0,22.568,0.179
4.6,23,0.74,-12.5,-8.7,0.0,22.568,0.072
4.6,24,0.103,-18.6,15.1,0.0,22.568,0.247
4.6,25,0.368,-0.9,-24.6,0.0,22.568,0.174
4.7,23,0.775,-12.7,-8.8,0.0,22.568,0.062
4.7,24,0.112,-18.7,15.0,0.0,22.568,0.245
4.7,25,0.386,-1.0,-24.6,0.0,22.568,0.169
4.8,23,0.814,-12.9,-8.9,0.0,22.568,0.051
4.8,24,0.121,-18.7,15.1,0.0,22.568,0.242
4.8,25,0.404,-1.1,-24.6,0.0,22.568,0.164
4.9,23,0.86,-13.1,-9.1,0.0,22.568,0.039
4.9,24,0.129,-18.6,15.1,0.0,22.568,0.24
4.9,25,0.421,-1.2,-24.6,0.0,22.568,0.16
5.0,23,0.896,-13.1,-9.3,0.0,22.568,0.029
5.0,24,0.139,-18.6,15.1,0.0,22.568,0.237
5.0,25,0.439,-1.3,-24.6,0.0,22.568,0.155
5.1,23,0.932,-13.3,-9.4,0.0,22.568,0.019
5.1,24,0.15,-18.6,15.0,0.0,22.568,0.234
5.1,25,0.45,-1.2,-24.7,0.0,22.568,0.152
5.2,23,0.978,-13.5,-9.6,0.0,22.568,0.006
5.2,24,0.161,-18.7,14.9,0.0,22.568,0.231
5.2,25,0.46,-1.1,-24.7,0.0,22.568,0.149
5.3,23,1.016,-13.6,-9.8,0.0,22.568,0.004
5.3,24,0.17,-18.6,15.0,0.0,22.568,0.229
5.3,25,0.47,-1.0,-24.7,0.0,22.568,0.146
5.4,23,1.04,-13.7,-9.7,0.0,22.568,0.011
5.4,24,0.182,-18.6,14.9,0.0,22.568,0.225
5.4,25,0.485,-1.1,-24.7,0.0,22.568,0.142
5.5,23,1.055,-13.7,-9.6,0.0,22.568,0.015
5.5,24,0.193,-18.7,14.8,0.0,22.568,0.222
5.5,25,0.501,-1.2,-24.7,0.0,22.568,0.138
5.6,23,1.06,-13.7,-9.4,0.0,22.568,0.017
5.6,24,0.203,-18.7,14.8,0.0,22.568,0.22
5.6,25,0.511,-1.1,-24.7,0.0,22.568,0.135
5.7,23,1.072,-13.7,-9.3,0.0,22.568,0.02
5.7,24,0.214,-18.7,14.8,0.0,22.568,0.217
5.7,25,0.526,-1.2,-24.7,0.0,22.568,0.131
