Time,ID,z,Measurement,x,y,Ni,Linear Coverage,Abs(zi/z_goal),Ln(Abs(zi/z_goal))
0.0,20,,-779.4,-6.8,-6.3,,,7.794,2.053
0.0,21,,-0.7,12.5,14.7,,,0.007,-4.962
0.0,22,,-330.6,11.4,-3.6,,,3.306,1.196
0.0,23,,-431.0,11.7,-6.2,,,4.31,1.461
0.0,24,,-31.6,14.6,9.8,,,0.316,-1.152
0.0,25,,-238.8,3.1,1.8,,,2.388,0.87
0.0,26,,-105.9,1.6,12.5,,,1.059,0.057
0.0,27,,-85.1,4.3,9.1,,,0.851,-0.161
0.0,28,,-363.0,11.7,-4.4,,,3.63,1.289
0.0,29,,-1216.5,-9.3,-13.3,,,12.165,2.499
0.0,30,,-535.1,-11.4,13.1,,,5.351,1.677
0.0,31,,-40.2,11.6,8.3,,,0.402,-0.911
0.0,32,,-724.1,-6.1,-5.6,,,7.241,1.98
0.0,33,,-87.8,14.7,5.7,,,0.878,-0.13
0.0,34,,-33.4,11.2,8.9,,,0.334,-1.097
0.0,35,,-849.9,-0.3,-12.0,,,8.499,2.14
0.0,36,,-352.7,-7.1,13.4,,,3.527,1.26
0.0,37,,-360.4,-5.0,5.5,,,3.604,1.282
0.0,38,,-976.1,-9.7,-8.2,,,9.761,2.278
0.0,39,,-363.6,6.6,-3.8,,,3.636,1.291
0.1,20,,-783.1,-6.8,-6.3,2.0,4.0,7.831,2.058
0.1,21,,-0.8,12.5,14.6,2.0,4.0,0.008,-4.828
0.1,22,,-331.7,11.4,-3.5,3.0,3.0,3.317,1.199
0.1,23,,-436.2,11.7,-6.2,3.0,3.0,4.362,1.473
0.1,24,,-33.5,14.6,9.8,4.0,2.4,0.335,-1.094
0.1,25,,-237.6,3.2,1.8,0.0,12.0,2.376,0.865
0.1,26,,-104.0,1.6,12.6,1.0,6.0,1.04,0.039
0.1,27,,-83.7,4.4,9.0,1.0,6.0,0.837,-0.178
0.1,28,,-365.3,11.7,-4.4,3.0,3.0,3.653,1.296
0.1,29,,-1217.9,-9.3,-13.2,1.0,6.0,12.179,2.5
0.1,30,,-533.3,-11.4,13.1,1.0,6.0,5.333,1.674
0.1,31,,-42.0,11.5,8.2,3.0,3.0,0.42,-0.868
0.1,32,,-720.2,-5.9,-5.6,2.0,4.0,7.202,1.974
0.1,33,,-91.1,14.6,5.7,3.0,3.0,0.911,-0.093
0.1,34,,-35.1,11.1,8.8,4.0,2.4,0.351,-1.047
0.1,35,,-849.8,-0.4,-11.9,0.0,12.0,8.498,2.14
0.1,36,,-346.2,-7.0,13.4,1.0,6.0,3.462,1.242
0.1,37,,-358.3,-4.9,5.5,0.0,12.0,3.583,1.276
0.1,38,,-978.3,-9.7,-8.2,3.0,3.0,9.783,2.281
0.1,39,,-366.5,6.6,-3.8,3.0,3.0,3.665,1.299
0.2,20,,-776.4,-6.8,-6.3,2.0,4.0,7.764,2.049
0.2,21,,-0.7,12.5,14.6,2.0,4.0,0.007,-4.962
0.2,22,,-325.5,11.4,-3.4,3.0,3.0,3.255,1.18
0.2,23,,-429.4,11.7,-6.1,3.0,3.0,4.294,1.457
0.2,24,,-32.0,14.5,9.7,4.0,2.4,0.32,-1.139
0.2,25,,-234.4,3.2,1.8,0.0,12.0,2.344,0.852
0.2,26,,-103.7,1.7,12.5,1.0,6.0,1.037,0.036
0.2,27,,-82.7,4.5,9.0,1.0,6.0,0.827,-0.19
0.2,28,,-359.1,11.7,-4.4,3.0,3.0,3.591,1.278
0.2,29,,-1211.3,-9.3,-13.2,1.0,6.0,12.113,2.494
0.2,30,,-532.4,-11.4,13.0,1.0,6.0,5.324,1.672
0.2,31,,-41.1,11.5,8.2,3.0,3.0,0.411,-0.889
0.2,32,,-713.1,-5.9,-5.5,2.0,4.0,7.131,1.964
0.2,33,,-88.6,14.6,5.6,3.0,3.0,0.886,-0.121
0.2,34,,-34.2,11.1,8.8,4.0,2.4,0.342,-1.073
0.2,35,,-842.1,-0.4,-11.8,0.0,12.0,8.421,2.131
0.2,36,,-345.3,-6.9,13.4,1.0,6.0,3.453,1.239
0.2,37,,-355.7,-4.9,5.5,0.0,12.0,3.557,1.269
0.2,38,,-969.5,-9.6,-8.1,3.0,3.0,9.695,2.272
0.2,39,,-359.9,6.6,-3.7,3.0,3.0,3.599,1.281
0.3,20,,-780.3,-6.8,-6.3,2.0,4.0,7.803,2.055
0.3,21,,-0.5,12.5,14.5,2.0,4.0,0.005,-5.298
0.3,22,,-323.5,11.4,-3.4,3.0,3.0,3.235,1.174
0.3,23,,-427.9,11.6,-6.1,3.0,3.0,4.279,1.454
0.3,24,,-31.7,14.5,9.7,4.0,2.4,0.317,-1.149
0.3,25,,-236.3,3.3,1.8,0.0,12.0,2.363,0.86
0.3,26,,-106.2,1.7,12.5,1.0,6.0,1.062,0.06
0.3,27,,-83.9,4.5,9.0,1.0,6.0,0.839,-0.176
0.3,28,,-358.1,11.7,-4.3,3.0,3.0,3.581,1.276
0.3,29,,-1214.0,-9.3,-13.1,1.0,6.0,12.14,2.497
