,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,Seekers,Explorers
0,0.1,0.0,8.533333333333314,0.5119999999999988,1.0239999999999976,25,0
0,0.1,0.005,1.266666666666667,0.0791666666666666,0.1583333333333333,24,1
0,0.1,0.011,22.33333333333347,1.4565217391304437,2.9130434782608874,23,2
0,0.1,0.029,13.733333333333348,0.9363636363636374,1.8727272727272748,22,3
0,0.1,0.013,97.33333333333066,6.952380952380762,13.904761904761523,21,4
0,0.1,0.0,19.600000000000097,1.4700000000000073,2.9400000000000146,20,5
0,0.1,0.021,488.3333333333986,38.55263157895253,77.10526315790506,19,6
0,0.1,0.0,181.9999999999957,15.166666666666307,30.333333333332615,18,7
0,0.1,0.016,27.20000000000021,2.400000000000018,4.800000000000036,17,8
0,0.1,0.04,7.599999999999983,0.7124999999999985,1.424999999999997,16,9
0,0.1,0.0,110.3999999999966,11.039999999999658,22.07999999999932,15,10
0,0.1,0.0,5.066666666666659,0.542857142857142,1.085714285714284,14,11
0,0.1,0.002,401.66666666671233,46.34615384615911,92.69230769231822,13,12
0,0.1,0.0,7.999999999999982,0.9999999999999978,1.999999999999996,12,13
0,0.1,0.206,41.33333333333374,5.636363636363692,11.272727272727384,11,14
0,0.1,0.007,340.33333333336503,51.05000000000476,102.10000000000952,10,15
0,0.1,0.001,12.133333333333326,2.022222222222221,4.044444444444442,9,16
0,0.1,0.011,64.86666666666582,12.162499999999843,24.324999999999687,8,17
0,0.1,0.087,7.333333333333318,1.571428571428568,3.142857142857136,7,18
0,0.1,0.01,13.733333333333348,3.433333333333337,6.866666666666674,6,19
0,0.1,0.045,3.2666666666666657,0.9799999999999998,1.9599999999999995,5,20
0,0.1,0.08,4.599999999999994,1.724999999999998,3.449999999999996,4,21
0,0.1,0.039,26.26666666666686,13.13333333333343,26.26666666666686,3,22
0,0.1,0.715,2.000000000000001,1.5000000000000009,3.0000000000000013,2,23
0,0.1,0.297,0.8666666666666666,1.3,2.6,1,24
