Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,2875.87,0.001,1.15
0.2,2798.1,0.001,1.119
0.3,2871.43,0.002,1.149
0.4,2867.62,0.003,1.147
0.5,3030.48,0.003,1.212
0.6,3030.48,0.004,1.212
0.7,3030.48,0.005,1.212
0.8,2990.48,0.005,1.196
0.9,2960.95,0.006,1.184
1.0,2947.62,0.007,1.179
1.1,2940.48,0.007,1.176
1.2,2887.14,0.008,1.155
1.3,2770.95,0.009,1.108
1.4,2782.06,0.009,1.113
1.5,2702.54,0.01,1.081
1.6,2718.57,0.011,1.087
1.7,2539.68,0.011,1.016
1.8,2505.4,0.012,1.002
1.9,2551.43,0.013,1.021
2.0,2551.43,0.013,1.021
2.1,2497.62,0.014,0.999
2.2,2457.62,0.015,0.983
2.3,2442.54,0.015,0.977
2.4,2343.65,0.016,0.937
2.5,2358.57,0.017,0.943
2.6,2345.87,0.017,0.938
2.7,2325.24,0.018,0.93
2.8,2312.54,0.019,0.925
2.9,2295.87,0.019,0.918
3.0,2255.24,0.02,0.902
3.1,2221.9,0.021,0.889
3.2,2169.54,0.021,0.868
3.3,2139.54,0.022,0.856
3.4,2158.57,0.023,0.863
3.5,2059.84,0.023,0.824
3.6,2070.65,0.024,0.828
3.7,2040.32,0.025,0.816
3.8,2029.54,0.025,0.812
3.9,2003.5,0.026,0.801
4.0,1999.87,0.027,0.8
4.1,1994.01,0.027,0.798
4.2,1983.2,0.028,0.793
4.3,1950.17,0.029,0.78
4.4,2025.73,0.029,0.81
4.5,1921.99,0.03,0.769
4.6,1892.47,0.031,0.757
4.7,1902.77,0.031,0.761
4.8,1902.77,0.032,0.761
4.9,1899.74,0.033,0.76
5.0,1910.51,0.033,0.764
5.1,1912.41,0.034,0.765
5.2,1912.41,0.035,0.765
5.3,1946.35,0.035,0.779
5.4,1959.06,0.036,0.784
5.5,1927.17,0.037,0.771
5.6,2134.18,0.037,0.854
5.7,2170.03,0.038,0.868
5.8,2213.54,0.039,0.885
5.9,2229.73,0.039,0.892
6.0,2283.06,0.04,0.913
6.1,2242.46,0.041,0.897
6.2,2229.3,0.041,0.892
6.3,2225.97,0.042,0.89
6.4,1989.11,0.043,0.796
6.5,1981.61,0.043,0.793
6.6,1965.83,0.044,0.786
6.7,1956.44,0.045,0.783
6.8,1946.73,0.045,0.779
6.9,1921.17,0.046,0.768
7.0,1907.42,0.047,0.763
7.1,1902.98,0.047,0.761
7.2,1896.78,0.048,0.759
7.3,1918.35,0.049,0.767
7.4,1918.35,0.049,0.767
7.5,1908.82,0.05,0.764
7.6,1914.4,0.051,0.766
7.7,1897.82,0.051,0.759
7.8,1870.39,0.052,0.748
7.9,1872.96,0.053,0.749
8.0,1891.05,0.053,0.756
8.1,1891.05,0.054,0.756
8.2,1847.77,0.055,0.739
8.3,1845.5,0.055,0.738
8.4,1843.3,0.056,0.737
8.5,1843.3,0.057,0.737
8.6,1839.07,0.057,0.736
8.7,1872.4,0.058,0.749
8.8,1861.89,0.059,0.745
8.9,1921.05,0.059,0.768
9.0,1889.75,0.06,0.756
9.1,1849.79,0.061,0.74
9.2,1849.79,0.061,0.74
9.3,1873.68,0.062,0.749
9.4,1870.07,0.063,0.748
9.5,1885.07,0.063,0.754
9.6,2065.98,0.064,0.826
9.7,2054.32,0.065,0.822
9.8,2048.21,0.065,0.819
9.9,2048.21,0.066,0.819
10.0,2083.21,0.067,0.833
10.1,2113.14,0.067,0.845
10.2,2114.81,0.068,0.846
10.3,2118.44,0.069,0.847
10.4,2120.11,0.069,0.848
10.5,1895.69,0.07,0.758
10.6,1933.36,0.071,0.773
10.7,2173.92,0.071,0.87
10.8,2173.92,0.072,0.87
10.9,2187.2,0.073,0.875
11.0,2151.3,0.073,0.861
11.1,2151.3,0.074,0.861
11.2,2152.2,0.075,0.861
11.3,2164.99,0.075,0.866
11.4,2182.04,0.076,0.873
11.5,2187.3,0.077,0.875
11.6,2258.84,0.077,0.904
11.7,2264.07,0.078,0.906
11.8,2200.8,0.079,0.88
11.9,2368.53,0.079,0.947
12.0,2389.3,0.08,0.956
12.1,2404.83,0.081,0.962
12.2,2335.6,0.081,0.934
12.3,2300.07,0.082,0.92
12.4,2264.54,0.083,0.906
12.5,2464.54,0.083,0.986
12.6,2464.54,0.084,0.986
12.7,2444.54,0.085,0.978
12.8,2464.54,0.085,0.986
12.9,2464.54,0.086,0.986
