Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,18.0,18.0,,,-0.26,0.86,-18.26,-17.14,25.044,0.0,0.501,-0.729,-0.684,
0.0,2,-15.2,16.7,,,-0.26,0.86,14.94,-15.84,21.774,0.0,0.435,0.686,-0.727,
0.0,3,-21.1,24.5,,,-0.26,0.86,20.84,-23.64,31.514,0.0,0.63,0.661,-0.75,
0.0,4,-10.3,-9.3,,,-0.26,0.86,10.04,10.16,14.284,0.0,0.286,0.703,0.711,
0.0,5,-8.9,-19.4,,,-0.26,0.86,8.64,20.26,22.025,0.0,0.44,0.392,0.92,
0.0,6,5.7,2.3,,,-0.26,0.86,-5.96,-1.44,6.131,0.0,0.123,-0.972,-0.235,
0.0,7,16.8,4.6,,,-0.26,0.86,-17.06,-3.74,17.465,0.0,0.349,-0.977,-0.214,
0.0,8,-10.8,-4.0,,,-0.26,0.86,10.54,4.86,11.607,0.0,0.232,0.908,0.419,
0.0,9,11.9,-4.5,,,-0.26,0.86,-12.16,5.36,13.289,0.0,0.266,-0.915,0.403,
0.0,10,-3.5,22.7,,,-0.26,0.86,3.24,-21.84,22.079,0.0,0.442,0.147,-0.989,
0.0,11,16.1,13.0,,,-0.26,0.86,-16.36,-12.14,20.372,0.0,0.407,-0.803,-0.596,
0.0,12,-13.0,11.5,,,-0.26,0.86,12.74,-10.64,16.599,0.0,0.332,0.768,-0.641,
0.0,13,-12.8,-10.2,,,-0.26,0.86,12.54,11.06,16.721,0.0,0.334,0.75,0.661,
0.1,1,18.0,18.1,0.3,0.1,0.29,1.12,-17.71,-16.98,24.535,0.001,0.491,-0.722,-0.692,-0.9044303797468354
0.1,2,-15.1,16.7,0.8,-0.6,0.29,1.12,15.39,-15.58,21.9,0.001,0.438,0.703,-0.711,0.989
0.1,3,-21.2,24.6,-0.6,0.8,0.29,1.12,21.49,-23.48,31.83,0.001,0.637,0.675,-0.738,-0.9954000000000001
0.1,4,-10.2,-9.4,0.5,-0.9,0.29,1.12,10.49,10.52,14.856,0.001,0.297,0.706,0.708,-0.2759223300970874
0.1,5,-8.9,-19.4,-0.1,-0.3,0.29,1.12,9.19,20.52,22.484,0.001,0.45,0.409,0.913,-0.9962025316455695
0.1,6,5.7,2.3,-0.4,0.1,0.29,1.12,-5.41,-1.18,5.537,0.001,0.111,-0.977,-0.213,0.896844660194175
0.1,7,16.8,4.7,0.7,0.6,0.29,1.12,-16.51,-3.58,16.894,0.001,0.338,-0.977,-0.212,-0.8797180043383946
0.1,8,-10.8,-4.0,-0.0,0.5,0.29,1.12,11.09,5.12,12.215,0.001,0.244,0.908,0.419,0.419
0.1,9,11.9,-4.6,-0.1,-1.0,0.29,1.12,-11.61,5.72,12.943,0.001,0.259,-0.897,0.442,-0.35054726368159206
0.1,10,-3.6,22.7,-1.0,-0.1,0.29,1.12,3.89,-21.58,21.928,0.001,0.439,0.177,-0.984,-0.07820895522388059
0.1,11,16.1,13.0,-0.4,-0.2,0.29,1.12,-15.81,-11.88,19.776,0.001,0.396,-0.799,-0.601,0.9838926174496646
0.1,12,-13.0,11.4,0.1,-0.9,0.29,1.12,13.29,-10.28,16.802,0.001,0.336,0.791,-0.612,0.6952538631346578
0.1,13,-12.9,-10.2,-0.5,-0.9,0.29,1.12,13.19,11.32,17.382,0.001,0.348,0.759,0.651,-0.9372815533980583
0.2,1,18.1,18.1,0.8,0.5,0.57,1.42,-17.53,-16.68,24.198,0.001,0.484,-0.724,-0.689,-0.9795334040296925
0.2,2,-15.1,16.6,0.3,-0.6,0.57,1.42,15.67,-15.18,21.817,0.001,0.436,0.718,-0.696,0.9433681073025335
