Time,ID,z,Measurement,x,y,Ni,Linear Coverage,Abs(zi/z_goal),Ln(Abs(zi/z_goal))
0.0,20,,-250.3,-14.5,5.2,,,2.503,0.917
0.0,21,,-433.0,-14.2,13.3,,,4.33,1.466
0.0,22,,-130.1,-7.9,-11.5,,,1.301,0.263
0.0,23,,-177.5,-7.2,-14.2,,,1.775,0.574
0.0,24,,-116.9,-8.8,4.6,,,1.169,0.156
0.0,25,,-94.0,7.8,2.1,,,0.94,-0.062
0.0,26,,-220.1,-7.9,10.4,,,2.201,0.789
0.0,27,,-202.4,12.4,-8.1,,,2.024,0.705
0.0,28,,-33.0,-1.3,-8.3,,,0.33,-1.109
0.0,29,,-277.2,4.9,13.1,,,2.772,1.02
0.0,30,,-46.5,2.5,-8.6,,,0.465,-0.766
0.0,31,,-252.9,12.2,6.6,,,2.529,0.928
0.0,32,,-232.5,14.5,-2.7,,,2.325,0.844
0.0,33,,-12.4,-1.3,0.9,,,0.124,-2.087
0.0,34,,-123.8,-5.4,7.5,,,1.238,0.213
0.0,35,,-5.4,-2.9,-3.6,,,0.054,-2.919
0.0,36,,-52.0,4.7,2.1,,,0.52,-0.654
0.0,37,,-334.7,-13.0,11.0,,,3.347,1.208
0.0,38,,-289.5,6.7,12.7,,,2.895,1.063
0.0,39,,-43.9,4.8,-6.1,,,0.439,-0.823
0.1,20,,-246.1,-14.5,5.3,2.0,4.667,2.461,0.901
0.1,21,,-426.9,-14.1,13.3,2.0,4.667,4.269,1.451
0.1,22,,-129.0,-7.9,-11.4,1.0,7.0,1.29,0.255
0.1,23,,-178.5,-7.1,-14.3,1.0,7.0,1.785,0.579
0.1,24,,-113.5,-8.8,4.6,3.0,3.5,1.135,0.127
0.1,25,,-94.4,7.8,2.0,2.0,4.667,0.944,-0.058
0.1,26,,-216.7,-7.9,10.4,4.0,2.8,2.167,0.773
0.1,27,,-204.3,12.3,-8.0,1.0,7.0,2.043,0.714
0.1,28,,-33.9,-1.3,-8.3,3.0,3.5,0.339,-1.082
0.1,29,,-272.0,4.9,13.0,1.0,7.0,2.72,1.001
0.1,30,,-49.1,2.6,-8.6,2.0,4.667,0.491,-0.711
0.1,31,,-250.0,12.1,6.6,1.0,7.0,2.5,0.916
0.1,32,,-234.4,14.5,-2.7,1.0,7.0,2.344,0.852
0.1,33,,-12.5,-1.3,1.0,2.0,4.667,0.125,-2.079
0.1,34,,-119.1,-5.3,7.5,2.0,4.667,1.191,0.175
0.1,35,,-5.6,-2.9,-3.7,2.0,4.667,0.056,-2.882
0.1,36,,-51.7,4.7,2.1,2.0,4.667,0.517,-0.66
0.1,37,,-324.9,-12.9,10.9,3.0,3.5,3.249,1.178
0.1,38,,-285.8,6.7,12.7,1.0,7.0,2.858,1.05
0.1,39,,-46.8,5.0,-6.1,2.0,4.667,0.468,-0.759
0.2,20,,-248.2,-14.4,5.2,2.0,4.667,2.482,0.909
0.2,21,,-428.4,-14.1,13.2,2.0,4.667,4.284,1.455
0.2,22,,-127.0,-7.8,-11.4,1.0,7.0,1.27,0.239
