Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,7.0,15.4,,,9.8,0.25,2.8,-15.15,15.407,0.0,0.308,0.182,-0.983,
0.0,2,24.1,19.0,,,9.8,0.25,-14.3,-18.75,23.581,0.0,0.472,-0.606,-0.795,
0.0,3,18.7,9.7,,,9.8,0.25,-8.9,-9.45,12.981,0.0,0.26,-0.686,-0.728,
0.0,4,-21.4,6.1,,,9.8,0.25,31.2,-5.85,31.744,0.0,0.635,0.983,-0.184,
0.0,5,-4.5,-22.5,,,9.8,0.25,14.3,22.75,26.871,0.0,0.537,0.532,0.847,
0.0,6,-18.4,15.3,,,9.8,0.25,28.2,-15.05,31.965,0.0,0.639,0.882,-0.471,
0.1,1,7.0,15.3,0.3,-0.8,9.57,-0.27,2.57,-15.57,15.781,0.001,0.316,0.163,-0.987,0.9818501170960188
0.1,2,24.2,19.1,0.5,0.9,9.57,-0.27,-14.63,-19.37,24.274,0.001,0.485,-0.603,-0.798,-0.99
0.1,3,18.6,9.6,-0.6,-0.6,9.57,-0.27,-9.03,-9.87,13.378,0.001,0.268,-0.675,-0.738,0.9985865724381626
0.1,4,-21.4,6.1,-0.5,0.2,9.57,-0.27,30.97,-6.37,31.618,0.001,0.632,0.98,-0.201,-0.983673469387755
0.1,5,-4.6,-22.6,-0.4,-0.8,9.57,-0.27,14.17,22.33,26.447,0.001,0.529,0.536,0.844,-0.9950782997762864
0.1,6,-18.5,15.3,-0.3,0.9,9.57,-0.27,28.07,-15.57,32.099,0.001,0.642,0.874,-0.485,-0.7362486828240253
0.2,1,7.0,15.3,0.1,-0.4,9.93,-0.56,2.93,-15.86,16.128,0.001,0.323,0.182,-0.983,0.9985436893203884
0.2,2,24.2,19.2,0.0,0.7,9.93,-0.56,-14.27,-19.76,24.374,0.001,0.487,-0.585,-0.811,-0.811
0.2,3,18.5,9.6,-0.9,-0.4,9.93,-0.56,-8.57,-10.16,13.292,0.001,0.266,-0.645,-0.764,0.8995939086294418
0.2,4,-21.5,6.1,-0.7,0.2,9.93,-0.56,31.43,-6.66,32.128,0.001,0.643,0.978,-0.207,-0.9972527472527473
0.2,5,-4.6,-22.7,-0.4,-0.6,9.93,-0.56,14.53,22.14,26.482,0.001,0.53,0.549,0.836,-1.0002773925104023
0.2,6,-18.5,15.4,0.1,0.4,9.93,-0.56,28.43,-15.96,32.603,0.001,0.652,0.872,-0.49,-0.26407766990291265
0.3,1,7.1,15.2,0.7,-0.5,9.57,-0.93,2.47,-16.13,16.318,0.002,0.326,0.151,-0.988,0.6973255813953488
0.3,2,24.2,19.2,0.6,0.4,9.57,-0.93,-14.63,-20.13,24.885,0.002,0.498,-0.588,-0.809,-0.9381414701803051
0.3,3,18.5,9.6,-0.8,-0.1,9.57,-0.93,-8.93,-10.53,13.807,0.002,0.276,-0.647,-0.763,0.7368486352357321
0.3,4,-21.6,6.1,-0.8,0.2,9.57,-0.93,31.17,-7.03,31.953,0.002,0.639,0.975,-0.22,-0.9987878787878789
