Time,ID,behv,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,isocontour,100.0,2.1,4.6,-26.0,,,,2.1,4.6,-26.0,1
0.0,2,isocontour,100.0,-8.6,3.8,-88.8,,,,-8.6,3.8,-88.8,2
0.0,3,isocontour,100.0,-7.4,-9.9,-152.4,,,,-7.4,-9.9,-152.4,3
0.0,4,isocontour,100.0,-1.3,-9.5,-92.1,,,,-1.3,-9.5,-92.1,4
0.0,5,isocontour,100.0,-3.9,-6.2,-54.1,,,,-3.9,-6.2,-54.1,5
0.0,6,isocontour,100.0,-8.5,7.1,-122.2,,,,-8.5,7.1,-122.2,6
0.0,7,isocontour,100.0,-5.3,6.9,-75.9,,,,-5.3,6.9,-75.9,7
0.0,8,isocontour,100.0,4.9,-6.6,-67.6,,,,4.9,-6.6,-67.6,8
0.0,9,isocontour,100.0,6.0,-7.0,-85.7,,,,6.0,-7.0,-85.7,9
0.0,10,isocontour,100.0,-0.6,0.6,-0.7,,,,-0.6,0.6,-0.7,10
0.0,11,isocontour,100.0,5.8,-8.0,-98.1,,,,5.8,-8.0,-98.1,11
0.0,12,isocontour,100.0,-9.7,-7.4,-147.8,,,,-9.7,-7.4,-147.8,12
0.0,13,isocontour,100.0,-1.9,4.5,-23.7,,,,-1.9,4.5,-23.7,13
0.0,14,isocontour,100.0,-6.2,6.5,-80.6,,,,-6.2,6.5,-80.6,14
0.0,15,isocontour,100.0,-7.8,-0.5,-60.8,,,,-7.8,-0.5,-60.8,15
0.0,16,isocontour,100.0,2.0,-2.4,-9.7,,,,2.0,-2.4,-9.7,16
0.0,17,isocontour,100.0,-5.7,-8.5,-104.2,,,,-5.7,-8.5,-104.2,17
0.0,18,isocontour,100.0,2.2,-5.8,-38.8,,,,2.2,-5.8,-38.8,18
0.0,19,isocontour,100.0,-8.7,5.8,-108.1,,,,-8.7,5.8,-108.1,19
0.0,20,isocontour,100.0,7.5,-2.5,-62.3,,,,7.5,-2.5,-62.3,20
0.1,1,isocontour,99.99,2.2,4.7,-27.5,1.2,1.0,1.6,-0.6,0.6,-0.7,10
0.1,2,isocontour,99.96,-8.5,4.0,-87.7,1.5,1.9,2.4,-7.8,-0.5,-60.8,15
0.1,3,isocontour,99.55,-7.1,-9.4,-139.4,2.4,5.0,5.5,-5.7,-8.5,-104.2,17
0.1,4,isocontour,99.82,-1.6,-9.3,-89.4,-3.6,2.0,4.1,-3.9,-6.2,-54.1,5
0.1,5,isocontour,99.94,-3.9,-6.5,-57.7,0.1,-2.9,2.9,-3.9,-6.5,-54.1,5
0.1,6,isocontour,99.93,-8.2,7.1,-117.4,3.0,0.1,3.0,-5.3,6.9,-75.9,7
0.1,7,isocontour,99.92,-5.6,6.9,-78.9,-3.1,-0.3,3.1,-1.9,4.5,-23.7,13
0.1,8,isocontour,99.55,5.4,-6.9,-76.7,4.3,-3.5,5.5,2.2,-5.8,-38.8,18
0.1,9,isocontour,99.9,6.1,-6.7,-81.5,0.3,3.4,3.4,2.2,-5.8,-38.8,18
0.1,10,isocontour,99.76,-0.5,1.0,-1.3,0.8,4.4,4.5,-0.5,1.0,-0.7,10
0.1,11,isocontour,99.88,5.8,-7.6,-92.6,0.1,3.6,3.6,2.2,-5.8,-38.8,18
0.1,12,isocontour,99.9,-9.3,-7.3,-140.8,3.4,0.4,3.4,-5.7,-8.5,-104.2,17
0.1,13,isocontour,99.72,-2.2,4.8,-28.1,-3.3,3.4,4.7,-0.6,0.6,-0.7,10
0.1,14,isocontour,99.56,-6.0,7.0,-85.7,1.6,5.2,5.4,-1.9,4.5,-23.7,13
0.1,15,isocontour,99.67,-8.0,-0.1,-64.1,-2.3,4.4,5.0,-8.0,-0.1,-60.8,15
0.1,16,isocontour,99.89,2.1,-2.7,-11.9,1.6,-3.1,3.5,-0.6,0.6,-0.7,10
0.1,17,isocontour,99.53,-5.2,-8.4,-97.8,5.6,0.2,5.6,-3.9,-6.2,-54.1,5
0.1,18,isocontour,99.57,2.6,-6.1,-44.1,4.9,-2.5,5.5,2.0,-2.4,-9.7,16
0.1,19,isocontour,99.76,-8.3,6.0,-105.0,3.6,2.6,4.4,-5.3,6.9,-75.9,7
0.1,20,isocontour,99.69,7.2,-2.8,-59.7,-3.1,-3.7,4.8,7.2,-2.8,-62.3,20
0.2,1,isocontour,99.83,1.9,4.6,-24.6,-3.6,-1.5,3.9,-0.6,0.6,-0.7,10
0.2,2,isocontour,99.61,-8.0,4.3,-82.3,4.5,2.4,5.1,-1.9,4.5,-23.7,13
0.2,3,isocontour,99.5,-6.9,-9.3,-134.1,2.4,1.0,2.6,-3.9,-6.5,-54.1,5
0.2,4,isocontour,99.74,-1.7,-9.0,-84.4,-0.9,2.9,3.0,-3.9,-6.2,-54.1,5
0.2,5,isocontour,99.66,-3.6,-6.9,-61.0,2.6,-3.9,4.7,-3.9,-6.2,-54.1,5
0.2,6,isocontour,99.67,-7.8,6.9,-107.7,3.8,-2.6,4.6,-1.9,4.5,-23.7,13
0.2,7,isocontour,98.87,-5.0,7.2,-76.3,6.6,3.2,7.3,-0.6,0.6,-0.7,10
0.2,8,isocontour,99.09,5.9,-6.8,-81.1,5.4,1.3,5.6,2.0,-2.4,-9.7,16
0.2,9,isocontour,99.82,6.3,-6.8,-86.6,2.7,-1.3,3.0,2.0,-2.4,-9.7,16
0.2,10,isocontour,99.69,-0.4,1.3,-1.9,0.6,2.9,3.0,-0.4,1.3,-0.7,10
0.2,11,isocontour,99.41,5.8,-7.1,-84.3,-0.1,5.6,5.6,2.0,-2.4,-9.7,16
0.2,12,isocontour,99.74,-9.1,-7.6,-139.5,2.8,-2.6,3.8,-3.9,-6.2,-54.1,5
0.2,13,isocontour,99.68,-2.5,4.9,-30.1,-2.3,0.9,2.5,-0.6,0.6,-0.7,10
0.2,14,isocontour,98.4,-5.3,7.0,-77.4,7.6,0.2,7.6,-0.6,0.6,-0.7,10
0.2,15,isocontour,99.57,-8.2,0.2,-66.8,-1.6,2.9,3.3,-8.2,0.2,-60.8,15
0.2,16,isocontour,99.84,2.2,-2.9,-13.7,1.1,-2.5,2.7,-0.6,0.6,-0.7,10
0.2,17,isocontour,99.39,-4.8,-8.3,-91.9,3.5,1.5,3.8,-3.9,-6.2,-54.1,5
0.2,18,isocontour,99.1,3.2,-6.2,-49.2,5.4,-1.5,5.6,-0.6,0.6,-0.7,10
0.2,19,isocontour,99.7,-8.0,6.0,-100.3,2.8,-0.2,2.8,-1.9,4.5,-23.7,13
0.2,20,isocontour,99.63,7.2,-3.1,-61.3,-0.0,-2.8,2.8,2.2,-5.8,-38.8,18
0.3,1,isocontour,99.46,1.4,4.5,-22.1,-5.1,-0.9,5.2,-0.6,0.6,-0.7,10
0.3,2,isocontour,99.57,-8.2,4.1,-83.8,-1.8,-1.6,2.4,-0.6,0.6,-0.7,10
0.3,3,isocontour,99.03,-6.4,-9.0,-122.4,4.8,2.9,5.6,-3.9,-6.5,-54.1,5
0.3,4,isocontour,99.62,-2.0,-8.9,-83.0,-3.2,1.5,3.5,-3.9,-6.2,-54.1,5
0.3,5,isocontour,99.2,-3.4,-7.4,-66.1,2.6,-4.9,5.5,-3.9,-6.2,-54.1,5
0.3,6,isocontour,99.25,-7.3,6.7,-97.4,5.0,-2.1,5.4,-0.6,0.6,-0.7,10
