Time,ID,behv,com_radius,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.1,27,isocontour,5,100.0,-15.4,-13.3,-696.8,-0.3,-0.0,0.3,-15.4,-13.3,-412.3,27
0.1,28,isocontour,5,100.0,1.9,14.5,-1201.5,0.4,-1.0,1.1,2.6,13.0,-175.6,3
0.1,29,isocontour,5,100.0,3.4,-10.7,-118.8,-0.2,-0.3,0.4,1.6,-8.7,-78.0,2
0.1,30,isocontour,5,100.0,-14.1,9.4,-1410.6,0.3,-0.2,0.4,-14.1,9.4,-287.3,30
0.1,Target,,,,10.38,-19.12,-0.018,0.89,0.99,,,,,
0.2,1,isocontour,5,100.0,-14.4,-2.0,-896.0,-0.1,-0.3,0.3,-14.3,-2.0,-209.5,1
0.2,2,isocontour,5,100.0,1.7,-8.8,-180.3,0.3,-0.3,0.4,1.6,-8.7,-78.0,2
0.2,3,isocontour,5,100.0,2.5,12.9,-1083.8,-0.3,-0.4,0.5,-0.2,9.7,-94.1,13
0.2,4,isocontour,5,100.0,-7.0,-18.2,-298.2,-0.3,0.1,0.3,-7.0,-18.2,-299.4,4
0.2,5,isocontour,5,100.0,-2.9,13.4,-1229.1,0.5,-0.5,0.7,-0.2,9.7,-94.1,13
0.2,6,isocontour,5,100.0,-14.6,-19.5,-617.4,-0.2,0.3,0.4,-14.6,-19.5,-596.1,6
0.2,7,isocontour,5,100.0,12.1,2.9,-486.2,0.0,0.3,0.3,12.1,2.9,-153.4,7
0.2,8,isocontour,5,100.0,9.6,-8.4,-115.5,-0.2,0.2,0.3,9.6,-8.4,-115.7,8
0.2,9,isocontour,5,100.0,8.3,-1.3,-320.5,-0.3,-0.1,0.3,8.3,-1.3,-70.9,9
0.2,10,isocontour,5,100.0,-6.0,2.5,-731.7,0.1,0.3,0.3,-6.1,2.5,-43.1,10
0.2,11,isocontour,5,100.0,13.6,19.4,-1492.3,0.2,-0.3,0.4,11.4,19.6,-513.2,16
0.2,12,isocontour,5,100.0,16.2,-7.3,-174.2,-0.7,-0.8,1.1,15.6,-14.3,-52.6,21
0.2,13,isocontour,5,100.0,-0.2,9.7,-938.5,-0.3,-0.2,0.4,-0.2,9.7,-94.1,13
0.2,14,isocontour,5,100.0,1.8,4.5,-629.3,0.3,-0.1,0.3,1.8,4.5,-23.7,14
0.2,15,isocontour,5,100.0,-9.4,7.4,-1086.4,-0.1,-0.9,0.9,-6.1,2.5,-43.1,10
0.2,16,isocontour,5,99.99,11.6,19.5,-1492.7,1.0,-0.3,1.0,11.6,19.5,-513.2,16
0.2,17,isocontour,5,100.0,6.6,9.9,-855.2,0.1,-0.3,0.3,6.6,9.9,-141.6,17
0.2,18,isocontour,5,100.0,-5.3,-3.7,-478.5,0.3,-0.1,0.3,-5.3,-3.7,-42.7,18
0.2,19,isocontour,5,99.99,-15.1,0.2,-1013.6,0.0,-1.0,1.0,-14.3,-2.0,-209.5,1
0.2,20,isocontour,5,100.0,-6.6,-2.8,-550.3,0.3,-0.4,0.5,-5.4,-3.7,-42.7,18
0.2,21,isocontour,5,100.0,15.6,-14.2,-52.8,-0.3,1.1,1.1,15.6,-14.2,-50.9,21
0.2,22,isocontour,5,100.0,8.9,-14.1,-27.2,-0.1,0.3,0.3,8.9,-14.1,-27.5,22
0.2,23,isocontour,5,100.0,14.4,8.0,-753.5,0.3,-0.1,0.3,14.4,8.0,-271.9,23
0.2,24,isocontour,5,100.0,-8.2,2.8,-819.2,1.0,0.2,1.0,-6.1,2.5,-43.1,10
