Time,ID,z,Measurement,x,y,Ni,Linear Coverage,Abs(zi/z_goal),Ln(Abs(zi/z_goal))
0.8,23,,0.289,-12.2,-14.2,1.0,6.0,0.578,-0.238
0.8,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.8,25,,0.016,-18.6,-9.5,0.0,12.0,0.032,-1.495
0.9,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
0.9,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.9,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
0.9,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
0.9,20,,0.974,-9.3,-10.0,2.0,4.0,1.948,0.29
0.9,21,,0.363,-11.0,-5.8,1.0,6.0,0.726,-0.139
0.9,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
0.9,23,,0.295,-12.2,-14.1,1.0,6.0,0.59,-0.229
0.9,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.9,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.0,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.0,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
1.0,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.0,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
1.0,20,,0.974,-9.3,-10.1,2.0,4.0,1.948,0.29
1.0,21,,0.37,-11.0,-5.9,1.0,6.0,0.74,-0.131
1.0,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
1.0,23,,0.305,-12.1,-14.1,1.0,6.0,0.61,-0.215
1.0,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
1.0,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.1,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.1,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
1.1,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.1,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.1,20,,0.974,-9.3,-10.1,2.0,4.0,1.948,0.29
1.1,21,,0.376,-11.0,-5.9,1.0,6.0,0.752,-0.124
1.1,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
1.1,23,,0.315,-12.1,-14.1,1.0,6.0,0.63,-0.201
1.1,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
1.1,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.2,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.2,17,,0.068,3.0,8.8,0.0,12.0,0.136,-0.866
1.2,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.2,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.2,20,,0.972,-9.3,-10.2,2.0,4.0,1.944,0.289
1.2,21,,0.389,-10.9,-6.0,1.0,6.0,0.778,-0.109
1.2,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
1.2,23,,0.325,-12.0,-14.0,1.0,6.0,0.65,-0.187
1.2,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
1.2,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.3,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.3,17,,0.068,3.0,8.8,0.0,12.0,0.136,-0.866
1.3,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.3,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.3,20,,0.973,-9.3,-10.2,2.0,4.0,1.946,0.289
1.3,21,,0.404,-10.9,-6.1,1.0,6.0,0.808,-0.093
1.3,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
1.3,23,,0.328,-12.0,-14.0,1.0,6.0,0.656,-0.183
1.3,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
1.3,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.4,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
1.4,17,,0.068,3.0,8.8,0.0,12.0,0.136,-0.866
1.4,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.4,19,,0.0,3.5,-14.7,1.0,6.0,0.0,-inf
1.4,20,,0.972,-9.3,-10.3,2.0,4.0,1.944,0.289
