,Time Averaged Non-Dimensional Area Coverage,heterogeneity,seekers,explorers,isocontours
0,0.7655406666666668,0.12,16,3,6
0,0.6301526666666667,0.16,15,4,6
0,0.847302,0.2,14,5,6
0,0.7881273333333332,0.24,13,6,6
0,0.9896326666666668,0.28,12,7,6
0,1.046614,0.32,11,8,6
0,1.218006,0.36,10,9,6
0,1.0603113333333334,0.4,9,10,6
0,1.048952,0.44,8,11,6
0,1.1965433333333333,0.48,7,12,6
0,0.944348,0.52,6,13,6
0,1.01648,0.56,5,14,6
0,1.0329793333333337,0.6,4,15,6
0,1.1384313333333334,0.64,3,16,6
0,0.9545346666666668,0.68,2,17,6
0,1.075148,0.72,1,18,6
0,0.3781546666666666,0.0,18,0,7
0,0.527358,0.04,17,1,7
0,0.6604019999999999,0.08,16,2,7
0,0.6448146666666666,0.12,15,3,7
0,0.9504400000000002,0.16,14,4,7
0,0.9346446666666668,0.2,13,5,7
0,0.9418226666666668,0.24,12,6,7
0,0.832292,0.28,11,7,7
0,0.9488,0.32,10,8,7
0,1.007512,0.36,9,9,7
0,1.0797173333333334,0.4,8,10,7
0,0.9106793333333332,0.44,7,11,7
0,1.0528253333333333,0.48,6,12,7
0,1.100368,0.52,5,13,7
0,1.132492,0.56,4,14,7
0,1.0806266666666666,0.6,3,15,7
0,0.9875393333333334,0.64,2,16,7
0,1.0144073333333332,0.68,1,17,7
0,0.3719873333333333,0.0,17,0,8
0,0.610654,0.04,16,1,8
0,0.669434,0.08,15,2,8
0,0.6752579999999999,0.12,14,3,8
0,0.6889306666666667,0.16,13,4,8
0,0.7471293333333333,0.2,12,5,8
0,0.814278,0.24,11,6,8
0,0.8919706666666668,0.28,10,7,8
0,0.9054686666666668,0.32,9,8,8
0,0.8890386666666666,0.36,8,9,8
0,0.7703086666666666,0.4,7,10,8
0,1.1418646666666667,0.44,6,11,8
0,1.2199946666666666,0.48,5,12,8
0,1.1775006666666663,0.52,4,13,8
0,0.8335540000000001,0.56,3,14,8
0,1.2287353333333333,0.6,2,15,8
0,0.8891899999999999,0.64,1,16,8
0,0.5575613333333334,0.0,16,0,9
0,0.5878473333333334,0.04,15,1,9
