,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,heterogeneity,Seekers,Explorers,Isocontours
0,0.1,0.032,9.933333333333309,3.724999999999991,7.449999999999981,0.24,4,6,15
0,0.1,0.013,7.533333333333317,3.7666666666666586,7.533333333333317,0.28,3,7,15
0,0.1,0.031,1.1333333333333335,0.8500000000000002,1.7000000000000004,0.32,2,8,15
0,0.1,0.098,5.666666666666657,8.499999999999986,16.99999999999997,0.36,1,9,15
0,0.1,0.021,29.666666666666902,4.944444444444485,9.88888888888897,0.0,9,0,16
0,0.1,0.025,11.599999999999984,2.174999999999997,4.349999999999994,0.04,8,1,16
0,0.1,0.0,8.39999999999998,1.7999999999999958,3.599999999999992,0.08,7,2,16
0,0.1,0.007,21.733333333333466,5.4333333333333655,10.866666666666733,0.12,6,3,16
0,0.1,0.04,6.266666666666655,1.8799999999999968,3.759999999999993,0.16,5,4,16
0,0.1,0.064,1.5333333333333337,0.5750000000000002,1.1500000000000004,0.2,4,5,16
0,0.1,0.027,3.0666666666666664,1.5333333333333332,3.0666666666666664,0.24,3,6,16
0,0.1,0.06,76.53333333333183,57.39999999999888,114.79999999999777,0.28,2,7,16
0,0.1,0.534,1.6666666666666674,2.500000000000001,5.000000000000002,0.32,1,8,16
0,0.1,0.013,9.33333333333331,1.7499999999999958,3.499999999999992,0.0,8,0,17
0,0.1,,,,,0.04,7,1,17
0,0.1,0.027,2.9333333333333336,0.7333333333333334,1.4666666666666668,0.08,6,2,17
0,0.1,0.008,4.4666666666666615,1.3399999999999983,2.679999999999997,0.12,5,3,17
0,0.1,0.059,3.866666666666664,1.4499999999999988,2.8999999999999977,0.16,4,4,17
0,0.1,0.631,0.4666666666666666,0.2333333333333333,0.4666666666666666,0.2,3,5,17
0,0.1,,,,,0.24,2,6,17
0,0.1,0.183,7.2666666666666515,10.899999999999975,21.799999999999955,0.28,1,7,17
0,0.1,0.0,4.4666666666666615,0.957142857142856,1.914285714285712,0.0,7,0,18
0,0.1,0.106,4.066666666666663,1.0166666666666655,2.0333333333333314,0.04,6,1,18
0,0.1,0.033,1.933333333333334,0.5800000000000003,1.1600000000000006,0.08,5,2,18
0,0.1,0.023,2.5333333333333345,0.9500000000000004,1.900000000000001,0.12,4,3,18
0,0.1,,,,,0.16,3,4,18
0,0.1,0.113,38.3333333333337,28.750000000000277,57.50000000000055,0.2,2,5,18
0,0.1,0.15,7.799999999999983,11.699999999999974,23.39999999999995,0.24,1,6,18
0,0.1,0.109,1.5333333333333337,0.3833333333333334,0.7666666666666669,0.0,6,0,19
0,0.1,0.006,40.53333333333373,12.16000000000012,24.32000000000024,0.04,5,1,19
0,0.1,0.031,19.133333333333425,7.1750000000000345,14.350000000000067,0.08,4,2,19
0,0.1,0.031,2.866666666666667,1.4333333333333336,2.866666666666667,0.12,3,3,19
0,0.1,0.336,2.466666666666668,1.850000000000001,3.700000000000002,0.16,2,4,19
0,0.1,0.423,3.999999999999997,5.999999999999995,11.99999999999999,0.2,1,5,19
0,0.1,0.013,2.7333333333333343,0.8200000000000003,1.6400000000000006,0.0,5,0,20
0,0.1,0.0,3.9333333333333305,1.4749999999999988,2.949999999999997,0.04,4,1,20
0,0.1,0.155,21.466666666666796,10.733333333333396,21.466666666666796,0.08,3,2,20
0,0.1,0.869,2.6000000000000014,1.950000000000001,3.900000000000002,0.12,2,3,20
0,0.1,0.188,4.666666666666661,6.999999999999991,13.999999999999982,0.16,1,4,20
0,0.1,0.029,2.066666666666668,0.7750000000000004,1.5500000000000007,0.0,4,0,21
0,0.1,0.663,1.7333333333333338,0.866666666666667,1.733333333333334,0.04,3,1,21
