,Time Averaged Accuracy,Total Energy Remaining,Best Heading/Bearing Correlation,Heterogeneity,Seekers,Explorers,Isocontours
0,0.7006446666666667,0.252,0.471859649122807,0.08,19,2,4
0,0.650536,0.29,0.5045555555555555,0.12,18,3,4
0,0.71832,0.295,0.4621176470588235,0.16,17,4,4
0,0.6566846666666667,0.261,0.474,0.2,16,5,4
0,0.698604,0.36,0.5014666666666666,0.24,15,6,4
0,0.8501313333333335,0.339,0.4308571428571429,0.28,14,7,4
0,0.6854593333333334,0.25,0.5676410256410256,0.32,13,8,4
0,0.7227326666666666,0.311,0.4707777777777778,0.36,12,9,4
0,0.7116666666666667,0.21,0.6111515151515151,0.4,11,10,4
0,0.7739979999999999,0.316,0.5773333333333334,0.44,10,11,4
0,0.8513833333333332,0.303,0.4762962962962963,0.48,9,12,4
0,0.7171573333333332,0.295,0.465,0.52,8,13,4
0,0.8174319999999999,0.311,0.5333333333333333,0.56,7,14,4
0,0.8660260000000002,0.318,0.518,0.6,6,15,4
0,0.7336773333333334,0.234,0.6945333333333333,0.64,5,16,4
0,0.7361393333333333,0.305,0.6538333333333334,0.68,4,17,4
0,0.7920240000000001,0.298,0.7475555555555555,0.72,3,18,4
0,0.7131373333333334,0.264,0.695,0.76,2,19,4
0,0.7212013333333332,0.294,0.722,0.8,1,20,4
0,0.5052826666666667,0.254,0.4993666666666667,0.0,20,0,5
0,0.675874,0.317,0.49,0.04,19,1,5
0,0.7630033333333334,0.309,0.4752222222222222,0.08,18,2,5
0,0.6823306666666666,0.295,0.5249019607843137,0.12,17,3,5
0,0.668872,0.286,0.5700833333333334,0.16,16,4,5
0,0.7015966666666666,0.299,0.4752444444444444,0.2,15,5,5
0,0.7195913333333335,0.234,0.5666190476190476,0.24,14,6,5
0,0.7011200000000001,0.334,0.5105641025641026,0.28,13,7,5
0,0.5685046666666667,0.223,0.4815,0.32,12,8,5
0,0.7151493333333333,0.27,0.546969696969697,0.36,11,9,5
0,0.7337013333333334,0.294,0.4919333333333333,0.4,10,10,5
0,0.7629840000000001,0.367,0.3871851851851852,0.44,9,11,5
0,0.7015733333333334,0.26,0.6015,0.48,8,12,5
0,0.7360553333333334,0.34,0.5904761904761905,0.52,7,13,5
0,0.6546019999999999,0.333,0.4617777777777778,0.56,6,14,5
0,0.854854,0.311,0.6017333333333333,0.6,5,15,5
0,0.8935693333333332,0.314,0.4145,0.64,4,16,5
0,0.7937093333333334,0.322,0.5253333333333333,0.68,3,17,5
0,0.7934386666666666,0.32,0.644,0.72,2,18,5
0,0.8889206666666666,0.265,0.6373333333333333,0.76,1,19,5
0,0.4910893333333333,0.283,0.4552982456140351,0.0,19,0,6
0,0.5859920000000001,0.281,0.4515555555555555,0.04,18,1,6
0,0.6844646666666667,0.362,0.464,0.08,17,2,6
0,0.5051386666666666,0.276,0.4454583333333333,0.12,16,3,6
0,0.655758,0.169,0.5663555555555555,0.16,15,4,6
0,0.6871773333333334,0.329,0.4435714285714285,0.2,14,5,6
0,0.6781153333333333,0.215,0.5414871794871795,0.24,13,6,6
0,0.7161453333333334,0.299,0.5685555555555556,0.28,12,7,6
0,0.6501153333333334,0.339,0.5384848484848485,0.32,11,8,6
0,0.75164,0.376,0.4075333333333333,0.36,10,9,6
0,0.7714033333333333,0.307,0.6397037037037037,0.4,9,10,6
0,0.707888,0.282,0.6231666666666666,0.44,8,11,6
0,0.7236493333333335,0.323,0.4206666666666667,0.48,7,12,6
0,0.8047793333333333,0.337,0.537,0.52,6,13,6
0,0.6563206666666667,0.326,0.4857333333333333,0.56,5,14,6
0,0.7803333333333333,0.329,0.5728333333333333,0.6,4,15,6
0,0.7044186666666666,0.29,0.6622222222222223,0.64,3,16,6
0,0.8409866666666667,0.289,0.5896666666666667,0.68,2,17,6
0,0.7169313333333333,0.28,0.7126666666666667,0.72,1,18,6
0,0.716716,0.335,0.4543333333333333,0.0,18,0,7
0,0.5182293333333333,0.264,0.3975294117647059,0.04,17,1,7
0,0.6478806666666667,0.32,0.4644583333333333,0.08,16,2,7
0,0.5545813333333334,0.303,0.4496,0.12,15,3,7
0,0.7086060000000001,0.364,0.3824761904761904,0.16,14,4,7
0,0.7005613333333334,0.294,0.551025641025641,0.2,13,5,7
0,0.6282953333333333,0.272,0.5208888888888888,0.24,12,6,7
0,0.7238693333333334,0.274,0.5858787878787879,0.28,11,7,7
0,0.7054300000000001,0.302,0.5656666666666667,0.32,10,8,7
0,0.7384233333333333,0.228,0.6348148148148148,0.36,9,9,7
0,0.7389033333333334,0.333,0.4864166666666666,0.4,8,10,7
0,0.6650173333333333,0.253,0.5446666666666666,0.44,7,11,7
0,0.6973446666666665,0.258,0.7212222222222222,0.48,6,12,7
0,0.7253026666666668,0.294,0.5736,0.52,5,13,7
0,0.7582606666666667,0.326,0.6,0.56,4,14,7
0,0.8092400000000001,0.301,0.6022222222222222,0.6,3,15,7
0,0.7372606666666666,0.296,0.654,0.64,2,16,7
0,0.7075426666666668,0.283,0.6133333333333333,0.68,1,17,7
0,0.6231746666666667,0.282,0.514078431372549,0.0,17,0,8
0,0.559286,0.296,0.43975,0.04,16,1,8
0,0.7824800000000001,0.356,0.4527555555555556,0.08,15,2,8
0,0.8199326666666666,0.384,0.4623333333333333,0.12,14,3,8
0,0.7389426666666666,0.33,0.5596410256410257,0.16,13,4,8
0,0.7426406666666665,0.342,0.4761666666666667,0.2,12,5,8
0,0.6771039999999999,0.333,0.5176363636363637,0.24,11,6,8
0,0.6979326666666668,0.325,0.5508,0.28,10,7,8
0,0.6275893333333333,0.267,0.5213333333333333,0.32,9,8,8
0,0.674672,0.294,0.5735,0.36,8,9,8
0,0.7794186666666668,0.328,0.5414285714285715,0.4,7,10,8
0,0.677738,0.263,0.5712222222222222,0.44,6,11,8
0,0.733724,0.304,0.59,0.48,5,12,8
0,0.7061753333333333,0.302,0.5625,0.52,4,13,8
0,0.7652173333333333,0.258,0.6853333333333333,0.56,3,14,8
0,0.7430313333333334,0.309,0.619,0.6,2,15,8
0,0.7122453333333333,0.31,0.4226666666666667,0.64,1,16,8
0,0.7365333333333333,0.393,0.4289166666666666,0.0,16,0,9
0,0.5181266666666666,0.274,0.4594666666666667,0.04,15,1,9
0,0.789086,0.389,0.4466190476190476,0.08,14,2,9
0,0.7521333333333332,0.392,0.4687692307692307,0.12,13,3,9
0,0.715162,0.373,0.4337777777777777,0.16,12,4,9
0,0.6376393333333333,0.285,0.4647272727272727,0.2,11,5,9
0,0.7343879999999999,0.342,0.4891333333333333,0.24,10,6,9
0,0.623274,0.244,0.4388148148148148,0.28,9,7,9
0,0.686524,0.288,0.611,0.32,8,8,9
0,0.6366320000000001,0.23,0.5664761904761905,0.36,7,9,9
0,0.6893440000000001,0.285,0.4822222222222222,0.4,6,10,9
0,0.7209326666666666,0.295,0.5498666666666666,0.44,5,11,9
0,0.7738633333333332,0.333,0.5546666666666666,0.48,4,12,9
0,0.7566686666666668,0.295,0.6671111111111111,0.52,3,13,9
0,0.7071326666666667,0.304,0.4353333333333333,0.56,2,14,9
0,0.7201426666666666,0.301,0.62,0.6,1,15,9
0,0.7109153333333333,0.317,0.4434666666666667,0.0,15,0,10
0,0.6218313333333334,0.298,0.4727142857142857,0.04,14,1,10
0,0.6593573333333334,0.207,0.49,0.08,13,2,10
0,0.728224,0.356,0.4492777777777778,0.12,12,3,10
0,0.6179566666666667,0.266,0.4461212121212121,0.16,11,4,10
0,0.7892966666666668,0.387,0.5072,0.2,10,5,10
0,0.6716686666666666,0.279,0.4814074074074074,0.24,9,6,10
0,0.7450086666666667,0.376,0.4090833333333333,0.28,8,7,10
0,0.662752,0.293,0.5460952380952381,0.32,7,8,10
0,0.8501446666666668,0.398,0.4126666666666667,0.36,6,9,10
0,0.7653733333333335,0.288,0.6358666666666667,0.4,5,10,10
0,0.758528,0.314,0.5018333333333334,0.44,4,11,10
0,0.6965333333333333,0.276,0.5424444444444444,0.48,3,12,10
0,0.71641,0.353,0.5876666666666667,0.52,2,13,10
0,0.8365693333333334,0.34,0.4706666666666667,0.56,1,14,10
0,0.7961813333333333,0.414,0.4288095238095238,0.0,14,0,11
0,0.6843173333333334,0.282,0.4985641025641025,0.04,13,1,11
0,0.6445613333333334,0.3,0.515,0.08,12,2,11
0,0.6491433333333333,0.341,0.4528484848484848,0.12,11,3,11
0,0.7274579999999999,0.352,0.4566666666666666,0.16,10,4,11
0,0.7019193333333332,0.344,0.4505185185185185,0.2,9,5,11
0,0.629594,0.258,0.4485833333333333,0.24,8,6,11
0,0.6852493333333332,0.364,0.4772380952380952,0.28,7,7,11
0,0.7646513333333332,0.378,0.4361111111111111,0.32,6,8,11
0,0.7749260000000001,0.342,0.5729333333333333,0.36,5,9,11
0,0.7856366666666666,0.402,0.3391666666666666,0.4,4,10,11
0,0.6929759999999999,0.251,0.5306666666666666,0.44,3,11,11
0,0.6684506666666666,0.245,0.7483333333333333,0.48,2,12,11
0,0.7005706666666667,0.26,0.6666666666666666,0.52,1,13,11
0,0.6284640000000001,0.319,0.4632307692307692,0.0,13,0,12
0,0.8048979999999998,0.482,0.398,0.04,12,1,12
0,0.6157073333333334,0.278,0.4498787878787879,0.08,11,2,12
0,0.6372000000000001,0.22,0.5237333333333334,0.12,10,3,12
0,0.6803526666666667,0.237,0.5641481481481482,0.16,9,4,12
0,0.7252906666666668,0.313,0.53875,0.2,8,5,12
0,0.7372826666666666,0.391,0.4860952380952381,0.24,7,6,12
0,0.7290626666666667,0.408,0.4354444444444444,0.28,6,7,12
0,0.646016,0.27,0.508,0.32,5,8,12
0,0.7023106666666667,0.236,0.6536666666666666,0.36,4,9,12
0,0.6810346666666667,0.244,0.3664444444444444,0.4,3,10,12
0,0.7089320000000001,0.247,0.5743333333333334,0.44,2,11,12
0,0.6632846666666666,0.293,0.5406666666666666,0.48,1,12,12
0,0.7958946666666665,0.488,0.4238333333333333,0.0,12,0,13
0,0.7735053333333332,0.483,0.3824848484848485,0.04,11,1,13
0,0.6457266666666667,0.318,0.4230666666666666,0.08,10,2,13
0,0.7092453333333333,0.327,0.481037037037037,0.12,9,3,13
0,0.7066173333333333,0.354,0.44075,0.16,8,4,13
0,0.669972,0.291,0.544,0.2,7,5,13
0,0.65682,0.276,0.4744444444444444,0.24,6,6,13
0,0.684182,0.261,0.4544,0.28,5,7,13
0,0.7375160000000001,0.294,0.5768333333333333,0.32,4,8,13
0,0.6911293333333333,0.26,0.4962222222222222,0.36,3,9,13
0,0.737208,0.288,0.644,0.4,2,10,13
0,0.7413953333333332,0.315,0.5293333333333333,0.44,1,11,13
0,0.5424706666666667,0.234,0.4601818181818182,0.0,11,0,14
0,0.6327253333333334,0.299,0.5031333333333333,0.04,10,1,14
0,0.6025953333333335,0.292,0.4314814814814814,0.08,9,2,14
0,0.6007253333333333,0.299,0.4831666666666667,0.12,8,3,14
0,0.6066686666666667,0.276,0.4092380952380952,0.16,7,4,14
0,0.7520533333333335,0.392,0.4375555555555555,0.2,6,5,14
0,0.7494893333333332,0.345,0.5116,0.24,5,6,14
0,0.6745786666666667,0.25,0.525,0.28,4,7,14
0,0.7060273333333335,0.324,0.4328888888888889,0.32,3,8,14
0,0.7956726666666665,0.367,0.5,0.36,2,9,14
0,0.693564,0.239,0.5546666666666666,0.4,1,10,14
0,0.539176,0.231,0.4080666666666667,0.0,10,0,15
0,0.7089013333333334,0.38,0.4351851851851852,0.04,9,1,15
0,0.5601666666666667,0.247,0.441,0.08,8,2,15
0,0.6484146666666666,0.322,0.4752380952380952,0.12,7,3,15
0,0.4937866666666667,0.239,0.3888888888888889,0.16,6,4,15
0,0.6773026666666668,0.314,0.5098666666666667,0.2,5,5,15
0,0.6654253333333333,0.305,0.4836666666666667,0.24,4,6,15
0,0.647798,0.273,0.4242222222222222,0.28,3,7,15
0,0.677918,0.269,0.415,0.32,2,8,15
0,0.7549666666666667,0.337,0.482,0.36,1,9,15
0,0.78168,0.428,0.4155555555555555,0.0,9,0,16
0,0.6214446666666666,0.314,0.456,0.04,8,1,16
0,0.6416846666666667,0.279,0.4763809523809524,0.08,7,2,16
0,0.7544353333333333,0.391,0.431,0.12,6,3,16
0,0.7236053333333333,0.356,0.4242666666666667,0.16,5,4,16
0,0.6924246666666666,0.305,0.4803333333333333,0.2,4,5,16
0,0.6551133333333334,0.266,0.4166666666666667,0.24,3,6,16
0,0.8797946666666667,0.393,0.4046666666666667,0.28,2,7,16
0,0.6932613333333335,0.279,0.474,0.32,1,8,16
0,0.6736593333333334,0.344,0.4471666666666666,0.0,8,0,17
0,0.6282946666666666,0.266,0.4044761904761905,0.04,7,1,17
0,0.646582,0.281,0.4435555555555555,0.08,6,2,17
0,0.7500159999999999,0.375,0.4301333333333333,0.12,5,3,17
0,0.636386,0.263,0.3688333333333333,0.16,4,4,17
0,0.622842,0.28,0.3782222222222222,0.2,3,5,17
0,0.6999806666666667,0.297,0.4096666666666667,0.24,2,6,17
0,0.7766806666666667,0.308,0.4653333333333333,0.28,1,7,17
0,0.6294013333333334,0.307,0.4266666666666667,0.0,7,0,18
0,0.6698713333333333,0.323,0.3733333333333333,0.04,6,1,18
0,0.6447293333333334,0.265,0.422,0.08,5,2,18
0,0.661158,0.279,0.4005,0.12,4,3,18
0,0.6146846666666667,0.248,0.4688888888888889,0.16,3,4,18
0,0.7695673333333334,0.395,0.321,0.2,2,5,18
0,0.7481059999999999,0.34,0.306,0.24,1,6,18
0,0.658736,0.277,0.4748888888888889,0.0,6,0,19
0,0.660436,0.238,0.4613333333333333,0.04,5,1,19
0,0.7902680000000001,0.477,0.3706666666666666,0.08,4,2,19
0,0.6491106666666666,0.204,0.5255555555555556,0.12,3,3,19
0,0.62654,0.275,0.4006666666666666,0.16,2,4,19
0,0.7502920000000001,0.334,0.334,0.2,1,5,19
0,0.6881973333333333,0.348,0.4034666666666666,0.0,5,0,20
0,0.604682,0.24,0.4205,0.04,4,1,20
0,0.7482293333333334,0.369,0.4813333333333333,0.08,3,2,20
0,0.6627366666666666,0.3,0.3363333333333333,0.12,2,3,20
0,0.762364,0.335,0.3793333333333333,0.16,1,4,20
0,0.6529866666666667,0.29,0.4635,0.0,4,0,21
0,0.57897,0.244,0.3095555555555555,0.04,3,1,21
0,0.6531493333333334,0.287,0.2636666666666666,0.08,2,2,21
0,0.6315940000000001,0.315,0.33,0.12,1,3,21
0,0.6409246666666666,0.268,0.3064444444444444,0.0,3,0,22
0,0.6423733333333334,0.228,0.349,0.04,2,1,22
0,0.6998280000000001,0.308,0.3653333333333333,0.08,1,2,22
0,0.7265373333333334,0.371,0.3116666666666666,0.0,2,0,23
0,0.7291286666666666,0.385,0.2733333333333333,0.04,1,1,23
0,0.7212206666666667,0.361,0.2446666666666666,0.0,1,0,24
