,Time Averaged Accuracy,Time Averaged Spreading,Heterogeneity,seekers,explorers,isocontours
0,0.0904,1.872328,0.08,18,2,5
0,0.0534533333333333,2.094822666666667,0.12,17,3,5
0,0.032788,1.2720946666666666,0.16,16,4,5
0,0.1073386666666666,0.6967326666666667,0.2,15,5,5
0,0.0179113333333333,2.3911193333333336,0.24,14,6,5
0,0.0650166666666666,2.7588206666666677,0.28,13,7,5
0,0.0557226666666666,2.680654,0.32,12,8,5
0,0.0567099999999999,0.9757973333333332,0.36,11,9,5
0,0.0508919999999999,1.9866233333333332,0.4,10,10,5
0,0.0829213333333333,0.563452,0.44,9,11,5
0,0.0281153333333333,3.066030666666667,0.48,8,12,5
0,0.067508,2.064065333333333,0.52,7,13,5
0,0.0490166666666666,1.0315093333333334,0.56,6,14,5
0,0.0920339999999999,2.160104666666667,0.6,5,15,5
0,0.0398753333333333,0.4920586666666667,0.64,4,16,5
0,0.0524593333333333,3.179930666666667,0.68,3,17,5
0,0.034338,2.1260886666666665,0.72,2,18,5
0,0.079966,1.1806133333333333,0.76,1,19,5
0,0.052584,2.5654826666666666,0.0,19,0,6
0,0.0967686666666666,2.099198,0.04,18,1,6
0,0.0631626666666666,0.8725086666666666,0.08,17,2,6
0,0.05506,0.603926,0.12,16,3,6
0,0.0266986666666666,1.952513333333333,0.16,15,4,6
0,0.042426,2.1163286666666665,0.2,14,5,6
0,0.020822,1.4814459999999998,0.24,13,6,6
0,0.0225693333333333,0.9777726666666666,0.28,12,7,6
0,0.02414,1.6422546666666664,0.32,11,8,6
0,0.0718826666666666,2.1722240000000004,0.36,10,9,6
0,0.0923466666666666,2.609513333333333,0.4,9,10,6
0,0.0525953333333333,1.1910373333333333,0.44,8,11,6
0,0.0707613333333333,0.6168906666666667,0.48,7,12,6
0,0.0413899999999999,2.365204,0.52,6,13,6
0,0.0303853333333333,2.2093006666666666,0.56,5,14,6
0,0.1166199999999999,1.841056,0.6,4,15,6
0,0.0170173333333333,2.0172866666666667,0.64,3,16,6
0,0.0532046666666666,1.421218,0.68,2,17,6
0,0.0205333333333333,1.9678146666666665,0.72,1,18,6
0,0.0530093333333333,2.142174,0.0,18,0,7
0,0.0509166666666666,2.033837333333333,0.04,17,1,7
0,0.02208,1.5208266666666663,0.08,16,2,7
0,0.0385233333333333,2.3762353333333333,0.12,15,3,7
0,0.083724,2.499446,0.16,14,4,7
0,0.0581813333333333,2.0761666666666665,0.2,13,5,7
0,0.0160133333333333,1.839724,0.24,12,6,7
0,0.0215146666666666,1.4403979999999998,0.28,11,7,7
0,0.021212,1.4821300000000002,0.32,10,8,7
0,0.0193893333333333,1.61807,0.36,9,9,7
0,0.1064799999999999,0.480232,0.4,8,10,7
0,0.0201273333333333,1.4699533333333332,0.44,7,11,7
0,0.024994,1.508628,0.48,6,12,7
0,0.0687793333333333,2.188548,0.52,5,13,7
0,0.0620146666666666,1.8653833333333327,0.56,4,14,7
0,0.055746,1.4812253333333334,0.6,3,15,7
