Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,0.4,7.1,,,-19.11,-19.06,-19.51,-26.16,32.634,0.0,0.653,-0.598,-0.802,
0.0,2,13.2,12.7,,,-19.11,-19.06,-32.31,-31.76,45.306,0.0,0.906,-0.713,-0.701,
0.0,3,13.6,-22.8,,,-19.11,-19.06,-32.71,3.74,32.923,0.0,0.658,-0.994,0.114,
0.0,4,-9.2,-12.1,,,-19.11,-19.06,-9.91,-6.96,12.11,0.0,0.242,-0.818,-0.575,
0.0,5,-14.3,-21.2,,,-19.11,-19.06,-4.81,2.14,5.265,0.0,0.105,-0.914,0.406,
0.0,6,-24.8,20.9,,,-19.11,-19.06,5.69,-39.96,40.363,0.0,0.807,0.141,-0.99,
0.0,7,-20.9,-14.1,,,-19.11,-19.06,1.79,-4.96,5.273,0.0,0.105,0.339,-0.941,
0.0,8,7.2,-18.1,,,-19.11,-19.06,-26.31,-0.96,26.328,0.0,0.527,-0.999,-0.036,
0.0,9,-9.5,-20.4,,,-19.11,-19.06,-9.61,1.34,9.703,0.0,0.194,-0.99,0.138,
0.0,10,23.2,-15.9,,,-19.11,-19.06,-42.31,-3.16,42.428,0.0,0.849,-0.997,-0.074,
0.0,11,14.6,-24.6,,,-19.11,-19.06,-33.71,5.54,34.162,0.0,0.683,-0.987,0.162,
0.0,12,-10.0,10.5,,,-19.11,-19.06,-9.11,-29.56,30.932,0.0,0.619,-0.295,-0.956,
0.0,13,-4.0,1.5,,,-19.11,-19.06,-15.11,-20.56,25.515,0.0,0.51,-0.592,-0.806,
0.0,14,16.7,8.3,,,-19.11,-19.06,-35.81,-27.36,45.066,0.0,0.901,-0.795,-0.607,
0.1,1,0.4,7.2,0.3,0.7,-18.97,-19.06,-19.37,-26.26,32.631,0.001,0.653,-0.594,-0.805,-0.9733595800524935
0.1,2,13.1,12.7,-0.4,0.7,-18.97,-19.06,-32.07,-31.76,45.135,0.001,0.903,-0.711,-0.704,-0.258560794044665
0.1,3,13.6,-22.9,0.6,-0.6,-18.97,-19.06,-32.57,3.84,32.796,0.001,0.656,-0.993,0.117,-0.784452296819788
0.1,4,-9.1,-12.1,0.8,0.6,-18.97,-19.06,-9.87,-6.96,12.077,0.001,0.242,-0.817,-0.576,-0.9991999999999999
0.1,5,-14.3,-21.2,0.2,-0.4,-18.97,-19.06,-4.67,2.14,5.137,0.001,0.103,-0.909,0.417,-0.7798657718120806
0.1,6,-24.9,20.9,-0.4,0.0,-18.97,-19.06,5.93,-39.96,40.398,0.001,0.808,0.147,-0.989,-0.147
0.1,7,-20.9,-14.0,-0.4,0.9,-18.97,-19.06,1.93,-5.06,5.416,0.001,0.108,0.356,-0.934,-0.9979695431472081
0.1,8,7.2,-18.1,-0.4,0.1,-18.97,-19.06,-26.17,-0.96,26.188,0.001,0.524,-0.999,-0.037,0.9609223300970875
