Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,2994.52,0.001,1.198
0.2,3029.76,0.001,1.212
0.3,3003.09,0.002,1.201
0.4,2999.52,0.003,1.2
0.5,2999.52,0.003,1.2
0.6,2985.95,0.004,1.194
0.7,2934.52,0.005,1.174
0.8,2868.65,0.005,1.147
0.9,2871.74,0.006,1.149
1.0,2845.55,0.007,1.138
1.1,2826.98,0.007,1.131
1.2,2791.74,0.008,1.117
1.3,2793.41,0.009,1.117
1.4,2746.19,0.009,1.098
1.5,2689.05,0.01,1.076
1.6,2628.18,0.011,1.051
1.7,2525.96,0.011,1.01
1.8,2500.72,0.012,1.0
1.9,2494.37,0.013,0.998
2.0,2441.44,0.013,0.977
2.1,2345.8,0.014,0.938
2.2,2190.57,0.015,0.876
2.3,2153.75,0.015,0.862
2.4,2160.18,0.016,0.864
2.5,2124.86,0.017,0.85
2.6,2115.5,0.017,0.846
2.7,2094.08,0.018,0.838
2.8,2045.61,0.019,0.818
2.9,2036.49,0.019,0.815
3.0,1996.72,0.02,0.799
3.1,1985.3,0.021,0.794
3.2,1978.31,0.021,0.791
3.3,1963.86,0.022,0.786
3.4,1971.01,0.023,0.788
3.5,1979.1,0.023,0.792
3.6,1977.04,0.024,0.791
3.7,2022.52,0.025,0.809
3.8,2015.86,0.025,0.806
3.9,2022.52,0.026,0.809
4.0,1983.33,0.027,0.793
4.1,1975.15,0.027,0.79
4.2,1973.33,0.028,0.789
4.3,1966.66,0.029,0.787
4.4,1955.15,0.029,0.782
4.5,1928.72,0.03,0.771
4.6,1909.41,0.031,0.764
4.7,1876.02,0.031,0.75
4.8,1862.47,0.032,0.745
4.9,1753.55,0.033,0.701
5.0,1713.14,0.033,0.685
5.1,1682.06,0.034,0.673
5.2,1679.83,0.035,0.672
5.3,1661.05,0.035,0.664
5.4,1659.23,0.036,0.664
5.5,1631.59,0.037,0.653
5.6,1631.59,0.037,0.653
5.7,1618.05,0.038,0.647
5.8,1611.39,0.039,0.645
5.9,1592.82,0.039,0.637
6.0,1569.96,0.04,0.628
6.1,1550.91,0.041,0.62
6.2,1526.72,0.041,0.611
6.3,1519.58,0.042,0.608
6.4,1506.4,0.043,0.603
6.5,1494.16,0.043,0.598
6.6,1482.6,0.044,0.593
6.7,1467.07,0.045,0.587
6.8,1454.28,0.045,0.582
6.9,1444.18,0.046,0.578
7.0,1429.21,0.047,0.572
7.1,1414.82,0.047,0.566
7.2,1400.8,0.048,0.56
7.3,1391.99,0.049,0.557
7.4,1384.33,0.049,0.554
7.5,1381.78,0.05,0.553
7.6,1381.45,0.051,0.553
7.7,1381.45,0.051,0.553
7.8,1381.45,0.052,0.553
7.9,1381.45,0.053,0.553
8.0,1381.45,0.053,0.553
8.1,1381.45,0.054,0.553
8.2,1373.28,0.055,0.549
8.3,1369.0,0.055,0.548
8.4,1362.25,0.056,0.545
8.5,1340.47,0.057,0.536
8.6,1340.47,0.057,0.536
8.7,1340.47,0.058,0.536
8.8,1340.47,0.059,0.536
8.9,1340.47,0.059,0.536
9.0,1340.47,0.06,0.536
9.1,1320.95,0.061,0.528
9.2,1314.28,0.061,0.526
9.3,1304.76,0.062,0.522
9.4,1304.76,0.063,0.522
9.5,1296.42,0.063,0.519
9.6,1296.42,0.064,0.519
9.7,1296.42,0.065,0.519
9.8,1296.42,0.065,0.519
9.9,1296.42,0.066,0.519
10.0,1296.42,0.067,0.519
10.1,1296.42,0.067,0.519
10.2,1296.42,0.068,0.519
10.3,1296.42,0.069,0.519
10.4,1296.42,0.069,0.519
10.5,1296.42,0.07,0.519
10.6,1296.42,0.071,0.519
10.7,1296.42,0.071,0.519
10.8,1296.42,0.072,0.519
10.9,1259.52,0.073,0.504
11.0,1210.71,0.073,0.484
11.1,1207.14,0.074,0.483
11.2,1200.0,0.075,0.48
11.3,1200.0,0.075,0.48
11.4,1200.0,0.076,0.48
11.5,1200.0,0.077,0.48
11.6,1200.0,0.077,0.48
11.7,1200.0,0.078,0.48
11.8,1200.0,0.079,0.48
11.9,1200.0,0.079,0.48
12.0,1200.0,0.08,0.48
12.1,1200.0,0.081,0.48
12.2,1200.0,0.081,0.48
12.3,1200.0,0.082,0.48
12.4,1200.0,0.083,0.48
12.5,1200.0,0.083,0.48
12.6,1200.0,0.084,0.48
12.7,1200.0,0.085,0.48
12.8,1200.0,0.085,0.48
12.9,1200.0,0.086,0.48
13.0,1200.0,0.087,0.48
13.1,1200.0,0.087,0.48
13.2,1200.0,0.088,0.48
13.3,1200.0,0.089,0.48
13.4,1200.0,0.089,0.48
13.5,1125.71,0.09,0.45
13.6,1073.81,0.091,0.43
13.7,1015.48,0.091,0.406
13.8,1000.0,0.092,0.4
13.9,1000.0,0.093,0.4
14.0,1000.0,0.093,0.4
14.1,1000.0,0.094,0.4
14.2,1000.0,0.095,0.4
14.3,1000.0,0.095,0.4
14.4,1000.0,0.096,0.4
14.5,1000.0,0.097,0.4
14.6,1000.0,0.097,0.4
14.7,1000.0,0.098,0.4
14.8,1000.0,0.099,0.4
14.9,1000.0,0.099,0.4
15.0,1000.0,0.1,0.4
15.1,1000.0,0.101,0.4
15.2,1000.0,0.101,0.4
15.3,1000.0,0.102,0.4
15.4,1000.0,0.103,0.4
15.5,1000.0,0.103,0.4
15.6,1000.0,0.104,0.4
15.7,1000.0,0.105,0.4
15.8,1000.0,0.105,0.4
15.9,1000.0,0.106,0.4
16.0,1000.0,0.107,0.4
16.1,1000.0,0.107,0.4
16.2,1000.0,0.108,0.4
16.3,1000.0,0.109,0.4
16.4,1000.0,0.109,0.4
16.5,1000.0,0.11,0.4
16.6,1000.0,0.111,0.4
16.7,1000.0,0.111,0.4
16.8,1000.0,0.112,0.4
16.9,1000.0,0.113,0.4
17.0,1000.0,0.113,0.4
17.1,1000.0,0.114,0.4
17.2,1000.0,0.115,0.4
17.3,1000.0,0.115,0.4
17.4,1000.0,0.116,0.4
17.5,1000.0,0.117,0.4
17.6,1000.0,0.117,0.4
17.7,1000.0,0.118,0.4
17.8,1000.0,0.119,0.4
17.9,1000.0,0.119,0.4
18.0,1000.0,0.12,0.4
18.1,1000.0,0.121,0.4
18.2,1000.0,0.121,0.4
18.3,991.63,0.122,0.397
18.4,964.71,0.123,0.386
18.5,915.31,0.123,0.366
18.6,871.71,0.124,0.349
18.7,847.6,0.125,0.339
18.8,832.64,0.125,0.333
18.9,822.52,0.126,0.329
19.0,813.95,0.127,0.326
19.1,807.23,0.127,0.323
19.2,809.02,0.128,0.324
19.3,807.82,0.129,0.323
19.4,804.77,0.129,0.322
19.5,805.43,0.13,0.322
19.6,805.52,0.131,0.322
19.7,804.05,0.131,0.322
19.8,801.77,0.132,0.321
19.9,800.78,0.133,0.32
20.0,800.78,0.133,0.32
20.1,800.39,0.134,0.32
20.2,800.39,0.135,0.32
20.3,800.2,0.135,0.32
20.4,800.01,0.136,0.32
20.5,800.01,0.137,0.32
20.6,800.01,0.137,0.32
20.7,800.01,0.138,0.32
20.8,800.01,0.139,0.32
20.9,800.01,0.139,0.32
21.0,800.01,0.14,0.32
