Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,7.84,-0.38,12.78,13.84,-4.94,-14.22,15.054,0.0,0.699,330.0,1.0
0.1,7.85,-0.37,13.2,13.41,-5.35,-13.78,14.782,0.001,0.704,329.99469,1.0
0.2,7.85,-0.36,13.09,13.47,-5.24,-13.83,14.789,0.001,0.704,329.99039,1.0
0.3,7.86,-0.37,13.63,13.25,-5.77,-13.62,14.792,0.002,0.704,329.98616,1.0
0.4,7.27,-0.68,13.55,12.81,-6.28,-13.49,14.88,0.003,0.702,329.95614,1.0
0.5,5.82,1.1,14.06,12.75,-8.24,-11.65,14.27,0.003,0.715,329.90569,1.0
0.6,6.33,1.13,14.37,12.91,-8.04,-11.78,14.262,0.004,0.715,329.8573,1.0
0.7,8.05,1.55,14.77,13.0,-6.72,-11.45,13.276,0.005,0.734,329.78218,0.999
0.8,8.02,1.55,15.29,12.89,-7.27,-11.34,13.47,0.005,0.731,329.7082,0.999
0.9,8.68,0.18,15.16,12.94,-6.48,-12.76,14.311,0.006,0.714,329.62094,0.999
1.0,8.43,-0.43,15.68,12.69,-7.25,-13.12,14.99,0.007,0.7,329.53098,0.999
1.1,9.15,-0.29,16.14,12.32,-6.99,-12.61,14.418,0.007,0.712,329.43478,0.998
1.2,9.15,-0.79,16.6,12.32,-7.45,-13.11,15.079,0.008,0.698,329.35965,0.998
1.3,9.93,-2.34,16.48,11.87,-6.55,-14.21,15.647,0.009,0.687,329.27805,0.998
1.4,10.08,-2.61,16.85,11.39,-6.77,-14.0,15.551,0.009,0.689,329.19825,0.998
1.5,10.11,-2.58,17.22,11.46,-7.11,-14.04,15.738,0.01,0.685,329.12664,0.997
1.6,9.97,-1.56,17.25,11.61,-7.28,-13.17,15.048,0.011,0.699,329.02465,0.997
1.7,10.18,-1.05,17.46,11.77,-7.28,-12.82,14.743,0.011,0.705,328.92239,0.997
