Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,3057.62,0.001,1.223
0.2,2957.62,0.001,1.183
0.3,3057.62,0.002,1.223
0.4,3078.1,0.003,1.231
0.5,3078.1,0.003,1.231
0.6,3078.1,0.004,1.231
0.7,3103.81,0.005,1.242
0.8,3097.14,0.005,1.239
0.9,3163.81,0.006,1.266
1.0,3100.95,0.007,1.24
1.1,3084.28,0.007,1.234
1.2,3070.95,0.008,1.228
1.3,3065.4,0.009,1.226
1.4,3058.73,0.009,1.223
1.5,3038.73,0.01,1.215
1.6,2982.54,0.011,1.193
1.7,2982.54,0.011,1.193
1.8,2746.35,0.012,1.099
1.9,2921.43,0.013,1.169
2.0,2821.43,0.013,1.129
2.1,2821.43,0.014,1.129
2.2,2778.57,0.015,1.111
2.3,2838.57,0.015,1.135
2.4,2655.24,0.016,1.062
2.5,2655.24,0.017,1.062
2.6,2549.38,0.017,1.02
2.7,2824.6,0.018,1.13
2.8,2816.35,0.019,1.127
2.9,2596.51,0.019,1.039
3.0,2596.2,0.02,1.038
3.1,2602.7,0.021,1.041
3.2,2632.39,0.021,1.053
3.3,2559.06,0.022,1.024
3.4,2692.39,0.023,1.077
3.5,2630.47,0.023,1.052
3.6,2616.51,0.024,1.047
3.7,2620.95,0.025,1.048
3.8,2561.58,0.025,1.025
3.9,2548.24,0.026,1.019
4.0,2535.08,0.027,1.014
4.1,2527.81,0.027,1.011
4.2,2527.81,0.028,1.011
4.3,2510.84,0.029,1.004
4.4,2478.32,0.029,0.991
4.5,2391.65,0.03,0.957
4.6,2362.73,0.031,0.945
4.7,2381.14,0.031,0.952
4.8,2360.06,0.032,0.944
4.9,2325.24,0.033,0.93
5.0,2315.2,0.033,0.926
5.1,2332.54,0.034,0.933
5.2,2322.71,0.035,0.929
5.3,2396.25,0.035,0.958
5.4,2277.86,0.036,0.911
5.5,2232.28,0.037,0.893
5.6,2292.28,0.037,0.917
5.7,2345.79,0.038,0.938
5.8,2263.59,0.039,0.905
5.9,2258.37,0.039,0.903
6.0,2265.33,0.04,0.906
6.1,2261.33,0.041,0.905
6.2,2259.71,0.041,0.904
6.3,2252.38,0.042,0.901
6.4,2212.75,0.043,0.885
6.5,2224.3,0.043,0.89
6.6,2219.91,0.044,0.888
6.7,2218.34,0.045,0.887
6.8,2218.34,0.045,0.887
6.9,2241.33,0.046,0.897
7.0,2253.58,0.047,0.901
7.1,2255.78,0.047,0.902
7.2,2252.87,0.048,0.901
7.3,2262.4,0.049,0.905
7.4,2243.47,0.049,0.897
7.5,2265.26,0.05,0.906
7.6,2247.23,0.051,0.899
7.7,2247.23,0.051,0.899
7.8,2237.24,0.052,0.895
7.9,2228.74,0.053,0.891
8.0,2462.07,0.053,0.985
8.1,2462.07,0.054,0.985
8.2,2462.07,0.055,0.985
8.3,2462.07,0.055,0.985
8.4,2483.98,0.056,0.994
8.5,2550.64,0.057,1.02
8.6,2483.98,0.057,0.994
8.7,2479.28,0.058,0.992
8.8,2514.28,0.059,1.006
8.9,2614.28,0.059,1.046
9.0,2614.28,0.06,1.046
9.1,2514.28,0.061,1.006
9.2,2479.04,0.061,0.992
9.3,2479.04,0.062,0.992
9.4,2474.81,0.063,0.99
9.5,2437.67,0.063,0.975
9.6,2417.2,0.064,0.967
9.7,2409.74,0.065,0.964
9.8,2391.48,0.065,0.957
9.9,2340.35,0.066,0.936
10.0,2360.06,0.067,0.944
10.1,2314.05,0.067,0.926
10.2,2308.49,0.068,0.923
10.3,2290.71,0.069,0.916
10.4,2290.71,0.069,0.916
10.5,2286.91,0.07,0.915
10.6,2282.67,0.071,0.913
10.7,2286.9,0.071,0.915
10.8,2291.6,0.072,0.917
10.9,2301.35,0.073,0.921
11.0,2311.91,0.073,0.925
11.1,2310.24,0.074,0.924
11.2,2310.24,0.075,0.924
11.3,2345.24,0.075,0.938
11.4,2366.91,0.076,0.947
11.5,2466.91,0.077,0.987
11.6,2401.91,0.077,0.961
11.7,2468.57,0.078,0.987
11.8,2401.91,0.079,0.961
11.9,2401.91,0.079,0.961
12.0,2381.91,0.08,0.953
12.1,2401.91,0.081,0.961
12.2,2501.91,0.081,1.001
12.3,2501.91,0.082,1.001
12.4,2572.38,0.083,1.029
12.5,2574.58,0.083,1.03
12.6,2541.25,0.084,1.016
12.7,2579.05,0.085,1.032
12.8,2483.98,0.085,0.994
12.9,2479.05,0.086,0.992
13.0,2474.58,0.087,0.99
13.1,2405.72,0.087,0.962
13.2,2479.05,0.088,0.992
13.3,2409.82,0.089,0.964
13.4,2407.91,0.089,0.963
13.5,2485.89,0.09,0.994
13.6,2483.98,0.091,0.994
13.7,2499.68,0.091,1.0
13.8,2424.76,0.092,0.97
13.9,2447.62,0.093,0.979
14.0,2527.61,0.093,1.011
14.1,2503.33,0.094,1.001
14.2,2489.52,0.095,0.996
14.3,2491.43,0.095,0.997
14.4,2539.04,0.096,1.016
14.5,2560.95,0.097,1.024
14.6,2560.95,0.097,1.024
14.7,2529.52,0.098,1.012
14.8,2427.61,0.099,0.971
14.9,2664.76,0.099,1.066
15.0,2664.76,0.1,1.066
15.1,2866.66,0.101,1.147
15.2,2866.66,0.101,1.147
15.3,2866.66,0.102,1.147
15.4,2779.99,0.103,1.112
15.5,2866.66,0.103,1.147
15.6,2799.99,0.104,1.12
15.7,2466.66,0.105,0.987
15.8,2466.66,0.105,0.987
15.9,2466.66,0.106,0.987
16.0,2533.33,0.107,1.013
16.1,2664.76,0.107,1.066
16.2,2664.76,0.108,1.066
16.3,2664.76,0.109,1.066
16.4,2664.76,0.109,1.066
16.5,2664.76,0.11,1.066
16.6,2431.42,0.111,0.973
16.7,2431.42,0.111,0.973
16.8,2664.76,0.112,1.066
16.9,2664.76,0.113,1.066
17.0,2664.76,0.113,1.066
17.1,2642.85,0.114,1.057
17.2,2662.85,0.115,1.065
17.3,2642.85,0.115,1.057
17.4,2618.09,0.116,1.047
17.5,2599.68,0.117,1.04
17.6,2587.79,0.117,1.035
17.7,2578.39,0.118,1.031
17.8,2578.39,0.119,1.031
17.9,2543.15,0.119,1.017
18.0,2437.14,0.12,0.975
18.1,2563.53,0.121,1.025
18.2,2698.34,0.121,1.079
18.3,2430.2,0.122,0.972
18.4,2496.87,0.123,0.999
18.5,2696.87,0.123,1.079
18.6,2696.87,0.124,1.079
18.7,2696.87,0.125,1.079
18.8,2696.87,0.125,1.079
18.9,2696.87,0.126,1.079
19.0,2696.87,0.127,1.079
19.1,2430.2,0.127,0.972
19.2,2430.2,0.128,0.972
19.3,2430.2,0.129,0.972
19.4,2430.2,0.129,0.972
19.5,2430.2,0.13,0.972
19.6,2370.2,0.131,0.948
19.7,2345.67,0.131,0.938
19.8,2190.2,0.132,0.876
19.9,2170.2,0.133,0.868
20.0,2235.2,0.133,0.894
20.1,2303.53,0.134,0.921
20.2,2566.86,0.135,1.027
20.3,2566.86,0.135,1.027
20.4,2566.86,0.136,1.027
20.5,2566.86,0.137,1.027
20.6,2566.86,0.137,1.027
20.7,2566.86,0.138,1.027
20.8,2566.86,0.139,1.027
20.9,2566.86,0.139,1.027
21.0,2433.53,0.14,0.973
21.1,2363.92,0.141,0.946
21.2,2395.09,0.141,0.958
21.3,2317.35,0.142,0.927
21.4,2309.21,0.143,0.924
21.5,2306.07,0.143,0.922
21.6,2306.07,0.144,0.922
21.7,2284.76,0.145,0.914
21.8,2353.1,0.145,0.941
21.9,2284.76,0.146,0.914
22.0,2284.76,0.147,0.914
22.1,2306.07,0.147,0.922
22.2,2288.14,0.148,0.915
22.3,2286.83,0.149,0.915
22.4,2282.51,0.149,0.913
22.5,2271.04,0.15,0.908
22.6,2276.96,0.151,0.911
22.7,2274.01,0.151,0.91
22.8,2285.54,0.152,0.914
22.9,2282.51,0.153,0.913
23.0,2321.76,0.153,0.929
23.1,2357.57,0.154,0.943
23.2,2390.91,0.155,0.956
23.3,2337.36,0.155,0.935
23.4,2320.15,0.156,0.928
23.5,2293.84,0.157,0.918
23.6,2288.86,0.157,0.916
23.7,2282.15,0.158,0.913
23.8,2279.37,0.159,0.912
23.9,2292.15,0.159,0.917
24.0,2311.6,0.16,0.925
24.1,2307.56,0.161,0.923
24.2,2371.43,0.161,0.949
24.3,2368.65,0.162,0.947
24.4,2368.65,0.163,0.947
24.5,2365.52,0.163,0.946
24.6,2365.52,0.164,0.946
24.7,2365.52,0.165,0.946
24.8,2365.52,0.165,0.946
24.9,2365.52,0.166,0.946
25.0,2365.52,0.167,0.946
25.1,2366.99,0.167,0.947
25.2,2368.29,0.168,0.947
25.3,2371.24,0.169,0.948
25.4,2377.75,0.169,0.951
25.5,2385.45,0.17,0.954
25.6,2395.06,0.171,0.958
25.7,2363.2,0.171,0.945
25.8,2384.76,0.172,0.954
25.9,2384.76,0.173,0.954
26.0,2384.76,0.173,0.954
26.1,2395.75,0.174,0.958
26.2,2410.55,0.175,0.964
26.3,2410.55,0.175,0.964
26.4,2410.55,0.176,0.964
26.5,2410.55,0.177,0.964
26.6,2410.55,0.177,0.964
26.7,2410.55,0.178,0.964
