Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,seeker,5,47520,100.0,-9.9,-12.6,-8.828,,,,-9.9,-12.6,-257.382,1
0.0,2,seeker,5,47520,100.0,-5.2,2.9,-204.751,,,,-5.2,2.9,-34.951,2
0.0,3,seeker,5,47520,100.0,12.1,2.8,-571.423,,,,12.1,2.8,-153.5,3
0.0,4,explorer,10,47520,100.0,-3.5,11.1,-513.0,,,,-3.5,11.1,-134.3,4
0.0,5,explorer,10,47520,100.0,-10.1,-15.4,-24.7,,,,-10.1,-15.4,-337.8,5
0.0,6,explorer,10,47520,100.0,-7.2,11.8,-531.5,,,,-7.2,11.8,-190.7,6
0.0,7,explorer,10,47520,100.0,-19.5,-12.5,-150.3,,,,-19.5,-12.5,-534.3,7
0.0,8,explorer,10,47520,100.0,14.6,13.7,-1102.3,,,,14.6,13.7,-400.8,8
0.0,9,isocontour,6,47520,100.0,-19.9,-12.9,-162.4,,,,-19.9,-12.9,-562.1,9
0.0,10,isocontour,6,47520,100.0,-1.5,-6.0,-61.3,,,,-1.5,-6.0,-38.3,10
0.0,11,isocontour,6,47520,100.0,16.8,-9.4,-581.0,,,,16.8,-9.4,-368.7,11
0.0,12,isocontour,6,47520,100.0,11.7,-15.1,-375.7,,,,11.7,-15.1,-365.7,12
0.0,13,isocontour,6,47520,100.0,-15.8,2.3,-256.3,,,,-15.8,2.3,-255.7,13
0.0,Target,,,,,-7.27,-11.27,-179.963,0.26,1.31,,,,,
0.1,1,seeker,5,47520.0,100.0,-9.9,-12.6,-8.039,0.1,-0.0,0.1,-9.9,-12.6,-8.828,1
0.1,2,seeker,5,47520.0,100.0,-5.2,2.9,-205.779,0.1,-0.1,0.1,-5.2,2.9,-34.951,2
0.1,3,seeker,5,47520.0,100.0,12.1,2.8,-577.518,0.1,-0.0,0.1,12.1,2.8,-153.5,3
0.1,4,explorer,10,47519.96,100.0,-3.5,11.1,-516.1,-0.2,0.3,0.4,-3.5,11.1,-134.3,4
0.1,5,explorer,10,47519.15,100.0,-10.1,-15.5,-24.6,-0.3,-0.8,0.9,-9.9,-12.6,-8.8,1
0.1,6,explorer,10,47519.95,100.0,-7.2,11.8,-534.0,0.2,0.3,0.4,-3.5,11.1,-134.3,4
0.1,7,explorer,10,47519.15,100.0,-19.4,-12.4,-145.1,0.8,0.4,0.9,-10.1,-15.4,-24.7,5
0.1,8,explorer,10,47519.95,100.0,14.6,13.7,-1109.9,0.3,-0.1,0.3,14.6,13.7,-400.8,8
0.1,9,isocontour,6,47519.98,100.0,-19.9,-12.9,-158.5,0.2,0.1,0.2,-19.5,-12.5,-150.3,7
0.1,10,isocontour,6,47519.98,100.0,-1.4,-6.0,-63.3,0.2,-0.1,0.2,-1.4,-6.0,-38.3,10
0.1,11,isocontour,6,47519.98,100.0,16.8,-9.4,-588.2,0.2,-0.2,0.3,16.8,-9.4,-368.7,11
0.1,12,isocontour,6,47519.98,100.0,11.7,-15.1,-380.1,-0.1,0.2,0.2,11.7,-15.1,-365.7,12
0.1,13,isocontour,6,47519.98,100.0,-15.9,2.3,-255.4,-0.2,0.1,0.2,-15.9,2.3,-255.7,13
0.1,Target,,,,,-7.4,-11.3,-0.018,-1.31,-0.25,,,,,
0.2,1,seeker,5,47520.0,100.0,-9.9,-12.6,-7.443,0.1,0.0,0.1,-9.9,-12.6,-8.039,1
0.2,2,seeker,5,47519.99,100.0,-5.2,2.9,-209.155,-0.1,-0.1,0.1,-5.2,2.9,-34.951,2
0.2,3,seeker,5,47520.0,100.0,12.1,2.8,-582.78,0.0,-0.1,0.1,12.1,2.8,-153.5,3
0.2,4,explorer,10,47519.91,100.0,-3.5,11.1,-520.9,-0.2,-0.2,0.3,-3.5,11.1,-134.3,4
0.2,5,explorer,10,47518.36,100.0,-10.1,-15.5,-24.1,-0.3,-0.8,0.9,-9.9,-12.6,-8.0,1
0.2,6,explorer,10,47519.9,100.0,-7.2,11.8,-541.2,0.1,0.3,0.3,-3.5,11.1,-134.3,4
0.2,7,explorer,10,47517.87,100.0,-19.3,-12.4,-141.8,0.7,0.7,1.0,-9.9,-12.6,-8.8,1
0.2,8,explorer,10,47519.9,100.0,14.6,13.7,-1116.1,-0.2,-0.3,0.4,14.6,13.7,-400.8,8
