Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,3094.28,0.001,1.238
0.2,3081.43,0.001,1.233
0.3,3171.9,0.002,1.269
0.4,3104.76,0.003,1.242
0.5,3038.09,0.003,1.215
0.6,3078.57,0.004,1.231
0.7,3138.09,0.005,1.255
0.8,3138.09,0.005,1.255
0.9,3185.71,0.006,1.274
1.0,3219.04,0.007,1.288
1.1,3151.42,0.007,1.261
1.2,3053.01,0.008,1.221
1.3,3005.39,0.009,1.202
1.4,3079.2,0.009,1.232
1.5,3045.87,0.01,1.218
1.6,3112.54,0.011,1.245
1.7,3145.87,0.011,1.258
1.8,3257.62,0.012,1.303
1.9,3059.2,0.013,1.224
2.0,3059.2,0.013,1.224
2.1,3244.28,0.014,1.298
2.2,3231.58,0.015,1.293
2.3,3251.58,0.015,1.301
2.4,3257.14,0.016,1.303
2.5,3191.11,0.017,1.276
2.6,3148.25,0.017,1.259
2.7,3148.25,0.018,1.259
2.8,2914.92,0.019,1.166
2.9,2914.92,0.019,1.166
3.0,2914.92,0.02,1.166
3.1,2922.06,0.021,1.169
3.2,3110.0,0.021,1.244
3.3,3110.0,0.022,1.244
3.4,3135.55,0.023,1.254
3.5,3135.55,0.023,1.254
3.6,2988.89,0.024,1.196
3.7,2935.55,0.025,1.174
3.8,2848.89,0.025,1.14
3.9,2916.66,0.026,1.167
4.0,2901.58,0.027,1.161
4.1,2901.58,0.027,1.161
4.2,2901.58,0.028,1.161
4.3,2901.58,0.029,1.161
4.4,2901.58,0.029,1.161
4.5,2801.58,0.03,1.121
4.6,2814.28,0.031,1.126
4.7,2814.28,0.031,1.126
4.8,2814.28,0.032,1.126
4.9,2847.62,0.033,1.139
5.0,2783.33,0.033,1.113
5.1,2692.22,0.034,1.077
5.2,2653.33,0.035,1.061
5.3,2653.33,0.035,1.061
5.4,2638.25,0.036,1.055
5.5,2638.25,0.037,1.055
5.6,2598.25,0.037,1.039
5.7,2585.55,0.038,1.034
5.8,2527.78,0.039,1.011
5.9,2502.73,0.039,1.001
6.0,2368.76,0.04,0.948
6.1,2384.31,0.041,0.954
6.2,2384.31,0.041,0.954
6.3,2412.72,0.042,0.965
6.4,2417.17,0.043,0.967
6.5,2336.06,0.043,0.934
6.6,2298.28,0.044,0.919
6.7,2298.28,0.045,0.919
6.8,2273.84,0.045,0.91
6.9,2337.01,0.046,0.935
7.0,2316.54,0.047,0.927
7.1,2329.54,0.047,0.932
7.2,2290.65,0.048,0.916
7.3,2266.2,0.049,0.906
7.4,2212.87,0.049,0.885
7.5,2213.5,0.05,0.885
7.6,2176.36,0.051,0.871
7.7,2206.84,0.051,0.883
7.8,2273.5,0.052,0.909
7.9,2252.39,0.053,0.901
8.0,2324.32,0.053,0.93
