Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.9,2,-1.1,10.1,-0.0,-0.7,-0.71,-2.65,0.39,-12.75,12.756,0.009,0.425,0.031,-1.0,1.0
0.9,3,-0.3,6.7,-0.1,-0.7,-0.71,-2.65,-0.41,-9.35,9.359,0.009,0.312,-0.044,-0.999,0.9953323903818952
0.9,4,7.0,3.5,-0.7,-0.4,-0.71,-2.65,-7.71,-6.15,9.862,0.009,0.329,-0.782,-0.624,0.988833746898263
1.0,1,11.7,2.9,-0.9,-0.2,-0.79,-2.75,-12.49,-5.65,13.708,0.01,0.457,-0.911,-0.412,0.9786334056399133
1.0,2,-1.1,10.0,0.1,-0.9,-0.79,-2.75,0.31,-12.75,12.754,0.01,0.425,0.024,-1.0,0.9960264900662251
1.0,3,-0.3,6.6,0.0,-0.9,-0.79,-2.75,-0.49,-9.35,9.363,0.01,0.312,-0.052,-0.999,0.999
1.0,4,6.9,3.4,-0.8,-0.2,-0.79,-2.75,-7.69,-6.15,9.847,0.01,0.328,-0.781,-0.625,0.9088484848484849
1.1,1,11.6,2.9,-0.8,-0.0,-0.92,-2.78,-12.52,-5.68,13.748,0.011,0.458,-0.911,-0.413,0.9110000000000001
1.1,2,-1.1,9.9,-0.1,-0.9,-0.92,-2.78,0.18,-12.68,12.681,0.011,0.423,0.014,-1.0,0.991832229580574
1.1,3,-0.3,6.6,-0.1,-0.8,-0.92,-2.78,-0.62,-9.38,9.4,0.011,0.313,-0.066,-0.998,0.9987593052109182
1.1,4,6.8,3.4,-0.9,-0.3,-0.92,-2.78,-7.72,-6.18,9.889,0.011,0.33,-0.781,-0.625,0.938250790305585
1.2,1,11.6,2.9,-0.7,-0.1,-0.99,-2.67,-12.59,-5.57,13.767,0.012,0.459,-0.915,-0.405,0.9632248939179632
1.2,2,-1.1,9.9,0.0,-0.7,-0.99,-2.67,0.11,-12.57,12.57,0.012,0.419,0.009,-1.0,1.0
1.2,3,-0.3,6.5,-0.1,-0.9,-0.99,-2.67,-0.69,-9.17,9.196,0.012,0.307,-0.075,-0.997,0.9986754966887417
1.2,4,6.8,3.4,-0.7,-0.2,-0.99,-2.67,-7.79,-6.07,9.876,0.012,0.329,-0.789,-0.615,0.9276098901098901
1.3,1,11.5,2.8,-0.8,-0.2,-0.97,-2.54,-12.47,-5.34,13.565,0.013,0.452,-0.919,-0.394,0.9866666666666668
1.3,2,-1.1,9.8,0.1,-0.9,-0.97,-2.54,0.13,-12.34,12.341,0.013,0.411,0.011,-1.0,0.9945916114790286
1.3,3,-0.4,6.4,-0.1,-0.7,-0.97,-2.54,-0.57,-8.94,8.958,0.013,0.299,-0.064,-0.998,0.9971711456859972
1.3,4,6.7,3.4,-0.8,-0.4,-0.97,-2.54,-7.67,-5.94,9.701,0.013,0.323,-0.791,-0.612,0.9816554809843401
1.4,1,11.4,2.8,-0.7,-0.1,-0.89,-2.65,-12.29,-5.45,13.444,0.014,0.448,-0.914,-0.405,0.9622347949080623
1.4,2,-1.1,9.7,-0.1,-0.8,-0.89,-2.65,0.21,-12.35,12.352,0.014,0.412,0.017,-1.0,0.9904466501240694
1.4,3,-0.4,6.3,-0.1,-0.9,-0.89,-2.65,-0.49,-8.95,8.963,0.014,0.299,-0.055,-0.999,0.9984547461368652
1.4,4,6.6,3.3,-0.6,-0.4,-0.89,-2.65,-7.49,-5.95,9.566,0.014,0.319,-0.783,-0.622,0.9966712898751734
1.5,1,11.3,2.8,-0.9,-0.2,-0.9,-2.78,-12.2,-5.58,13.416,0.015,0.447,-0.909,-0.416,0.9775488069414316
1.5,2,-1.1,9.6,0.0,-0.7,-0.9,-2.78,0.2,-12.38,12.382,0.015,0.413,0.016,-1.0,1.0
1.5,3,-0.4,6.2,-0.1,-0.7,-0.9,-2.78,-0.5,-8.98,8.994,0.015,0.3,-0.056,-0.998,0.9960396039603961
1.5,4,6.6,3.3,-0.7,-0.4,-0.9,-2.78,-7.5,-6.08,9.655,0.015,0.322,-0.777,-0.63,0.9874689826302728
1.6,1,11.2,2.8,-0.8,-0.2,-1.02,-2.84,-12.22,-5.64,13.459,0.016,0.449,-0.908,-0.419,0.9820606060606062
1.6,2,-1.1,9.5,-0.1,-0.9,-1.02,-2.84,0.08,-12.34,12.34,0.016,0.411,0.006,-1.0,0.9927152317880794
1.6,3,-0.4,6.2,-0.1,-0.7,-1.02,-2.84,-0.62,-9.04,9.061,0.016,0.302,-0.068,-0.998,0.9977369165487978
1.6,4,6.5,3.2,-0.6,-0.3,-1.02,-2.84,-7.52,-6.04,9.645,0.016,0.322,-0.78,-0.626,0.9773472429210133
1.7,1,11.1,2.8,-0.9,-0.2,-0.96,-2.96,-12.06,-5.76,13.365,0.017,0.446,-0.902,-0.431,0.9739696312364426
1.7,2,-1.1,9.5,0.1,-0.7,-0.96,-2.96,0.14,-12.46,12.461,0.017,0.415,0.011,-1.0,0.9916548797736916
1.7,3,-0.4,6.1,-0.1,-0.8,-0.96,-2.96,-0.56,-9.06,9.077,0.017,0.303,-0.062,-0.998,0.9982630272952853
1.7,4,6.4,3.2,-0.6,-0.4,-0.96,-2.96,-7.36,-6.16,9.598,0.017,0.32,-0.767,-0.642,0.9944521497919557
1.8,1,11.1,2.8,-0.7,-0.1,-1.06,-2.88,-12.16,-5.68,13.421,0.018,0.447,-0.906,-0.423,0.9568599717114569
1.8,2,-1.1,9.4,0.1,-0.9,-1.06,-2.88,0.04,-12.28,12.28,0.018,0.409,0.003,-1.0,0.9937086092715232
1.8,3,-0.4,6.0,-0.1,-0.9,-1.06,-2.88,-0.66,-8.88,8.904,0.018,0.297,-0.074,-0.997,0.9985651214128034
1.8,4,6.4,3.2,-0.8,-0.4,-1.06,-2.88,-7.46,-6.08,9.624,0.018,0.321,-0.775,-0.632,0.9762863534675617
1.9,1,11.0,2.8,-0.9,-0.0,-0.99,-2.98,-11.99,-5.78,13.31,0.019,0.444,-0.901,-0.434,0.901
1.9,2,-1.1,9.3,0.0,-0.9,-0.99,-2.98,0.11,-12.28,12.28,0.019,0.409,0.009,-1.0,1.0
1.9,3,-0.4,5.9,-0.0,-0.9,-0.99,-2.98,-0.59,-8.88,8.9,0.019,0.297,-0.066,-0.998,0.998
1.9,4,6.3,3.1,-0.8,-0.3,-0.99,-2.98,-7.29,-6.08,9.493,0.019,0.316,-0.768,-0.64,0.9442622950819672
2.0,1,10.9,2.7,-0.9,-0.2,-1.1,-2.92,-12.0,-5.62,13.251,0.02,0.442,-0.906,-0.424,0.9763557483731019
2.0,2,-1.1,9.2,-0.1,-0.8,-1.1,-2.92,0.0,-12.12,12.12,0.02,0.404,0.0,-1.0,0.9925558312655087
2.0,3,-0.4,5.8,-0.1,-0.7,-1.1,-2.92,-0.7,-8.72,8.748,0.02,0.292,-0.08,-0.997,0.9984441301272985
2.0,4,6.2,3.1,-0.8,-0.3,-1.1,-2.92,-7.3,-6.02,9.462,0.02,0.315,-0.772,-0.636,0.9466042154566745
2.1,1,10.8,2.7,-0.9,-0.1,-1.19,-3.02,-11.99,-5.72,13.285,0.021,0.443,-0.903,-0.431,0.9445916114790288
2.1,2,-1.1,9.1,-0.0,-0.9,-1.19,-3.02,-0.09,-12.12,12.12,0.021,0.404,-0.007,-1.0,1.0
2.1,3,-0.4,5.8,-0.1,-0.8,-1.19,-3.02,-0.79,-8.82,8.855,0.021,0.295,-0.089,-0.996,0.9996277915632755
2.1,4,6.1,3.1,-0.6,-0.4,-1.19,-3.02,-7.29,-6.12,9.518,0.021,0.317,-0.766,-0.643,0.9941747572815536
2.2,1,10.7,2.7,-0.9,-0.0,-1.09,-3.11,-11.79,-5.81,13.144,0.022,0.438,-0.897,-0.442,0.897
2.2,2,-1.1,9.0,0.1,-0.8,-1.09,-3.11,0.01,-12.11,12.11,0.022,0.404,0.001,-1.0,0.9926799007444168
2.2,3,-0.4,5.7,0.0,-0.7,-1.09,-3.11,-0.69,-8.81,8.837,0.022,0.295,-0.078,-0.997,0.997
2.2,4,6.0,3.0,-0.8,-0.4,-1.09,-3.11,-7.09,-6.11,9.359,0.022,0.312,-0.758,-0.653,0.9704697986577183
2.3,1,10.6,2.7,-0.9,-0.1,-1.01,-3.0,-11.61,-5.7,12.934,0.023,0.431,-0.898,-0.441,0.9407284768211921
2.3,2,-1.1,8.9,0.1,-0.9,-1.01,-3.0,0.09,-11.9,11.9,0.023,0.397,0.008,-1.0,0.9942604856512142
2.3,3,-0.4,5.6,0.0,-0.9,-1.01,-3.0,-0.61,-8.6,8.622,0.023,0.287,-0.071,-0.997,0.997
2.3,4,6.0,3.0,-0.8,-0.4,-1.01,-3.0,-7.01,-6.0,9.227,0.023,0.308,-0.76,-0.65,0.9709172259507831
2.4,1,10.6,2.7,-0.7,-0.2,-0.92,-2.9,-11.52,-5.6,12.809,0.024,0.427,-0.899,-0.437,0.984478021978022
2.4,2,-1.1,8.9,-0.1,-0.8,-0.92,-2.9,0.18,-11.8,11.801,0.024,0.393,0.015,-1.0,0.9906947890818859
2.4,3,-0.4,5.5,-0.2,-0.8,-0.92,-2.9,-0.52,-8.4,8.416,0.024,0.281,-0.062,-0.998,0.9827878787878788
2.4,4,5.9,3.0,-0.8,0.6,-0.92,-2.9,-6.82,-5.9,9.018,0.024,0.301,-0.756,-0.654,0.21239999999999998
2.5,1,10.5,2.7,-0.9,-0.1,-0.79,-2.87,-11.29,-5.57,12.589,0.025,0.42,-0.897,-0.442,0.9398454746136865
2.5,2,-1.1,8.8,-0.0,-0.9,-0.79,-2.87,0.31,-11.67,11.674,0.025,0.389,0.027,-1.0,1.0
2.5,3,-0.4,5.5,0.0,-0.8,-0.79,-2.87,-0.39,-8.37,8.379,0.025,0.279,-0.047,-0.999,0.999
2.5,4,5.8,3.0,-0.8,-0.3,-0.79,-2.87,-6.59,-5.87,8.825,0.025,0.294,-0.747,-0.665,0.9333723653395785
2.6,1,10.4,2.7,-0.9,-0.2,-0.92,-2.88,-11.32,-5.58,12.621,0.026,0.421,-0.897,-0.442,0.971475054229935
2.6,2,-1.1,8.7,-0.0,-0.9,-0.92,-2.88,0.18,-11.58,11.581,0.026,0.386,0.016,-1.0,1.0
2.6,3,-0.4,5.4,-0.1,-0.7,-0.92,-2.88,-0.52,-8.28,8.296,0.026,0.277,-0.063,-0.998,0.997029702970297
2.6,4,5.7,3.1,-1.2,0.5,-0.92,-2.88,-6.62,-5.98,8.921,0.026,0.297,-0.742,-0.67,0.42723076923076914
2.7,1,10.3,2.6,-0.8,-0.3,-0.98,-3.0,-11.28,-5.6,12.594,0.027,0.42,-0.896,-0.445,0.9956674473067917
2.7,2,-1.1,8.6,-0.1,-0.8,-0.98,-3.0,0.12,-11.6,11.601,0.027,0.387,0.01,-1.0,0.9913151364764268
2.7,3,-0.5,5.3,-0.1,-0.8,-0.98,-3.0,-0.48,-8.3,8.314,0.027,0.277,-0.058,-0.998,0.9977667493796526
2.7,4,5.6,3.0,-0.8,-0.4,-0.98,-3.0,-6.58,-6.0,8.905,0.027,0.297,-0.739,-0.674,0.9628635346756153
2.8,1,10.2,2.6,-0.9,-0.3,-1.01,-3.13,-11.21,-5.73,12.59,0.028,0.42,-0.89,-0.455,0.987881981032666
2.8,2,-1.1,8.5,0.0,-0.8,-1.01,-3.13,0.09,-11.63,11.63,0.028,0.388,0.008,-1.0,1.0
2.8,3,-0.5,5.2,-0.1,-0.9,-1.01,-3.13,-0.51,-8.33,8.346,0.028,0.278,-0.061,-0.998,0.9981236203090508
2.8,4,5.5,3.0,-0.8,-0.4,-1.01,-3.13,-6.51,-6.13,8.942,0.028,0.298,-0.728,-0.686,0.9583892617449664
2.9,1,10.1,2.6,-0.9,-0.2,-0.88,-3.08,-10.98,-5.68,12.362,0.029,0.412,-0.888,-0.459,0.9663774403470715
2.9,2,-1.1,8.4,-0.1,-0.8,-0.88,-3.08,0.22,-11.48,11.482,0.029,0.383,0.019,-1.0,0.9901985111662531
2.9,3,-0.5,5.1,-0.1,-0.9,-0.88,-3.08,-0.38,-8.18,8.189,0.029,0.273,-0.046,-0.999,0.9974613686534217
2.9,4,5.4,2.9,-0.7,-0.5,-0.88,-3.08,-6.28,-5.98,8.672,0.029,0.289,-0.724,-0.69,0.9904651162790696
3.0,1,10.0,2.6,-0.9,-0.1,-0.8,-3.18,-10.8,-5.78,12.249,0.03,0.408,-0.882,-0.472,0.9282560706401767
3.0,2,-1.1,8.4,0.0,-0.7,-0.8,-3.18,0.3,-11.58,11.584,0.03,0.386,0.026,-1.0,1.0
3.0,3,-0.5,5.0,-0.1,-0.8,-0.8,-3.18,-0.3,-8.18,8.185,0.03,0.273,-0.037,-0.999,0.9961538461538462
3.0,4,5.4,2.9,-0.6,-0.3,-0.8,-3.18,-6.2,-6.08,8.684,0.03,0.289,-0.714,-0.7,0.9514157973174365
3.1,1,9.9,2.5,-0.9,-0.3,-0.72,-3.07,-10.62,-5.57,11.992,0.031,0.4,-0.886,-0.464,0.9869336143308747
3.1,2,-1.1,8.3,0.0,-0.8,-0.72,-3.07,0.38,-11.37,11.376,0.031,0.379,0.033,-0.999,0.999
3.1,3,-0.5,5.0,0.1,-0.8,-0.72,-3.07,-0.22,-8.07,8.073,0.031,0.269,-0.027,-1.0,0.9892059553349876
3.1,4,5.3,2.9,-0.6,-0.4,-0.72,-3.07,-6.02,-5.97,8.478,0.031,0.283,-0.71,-0.704,0.9814147018030513
3.2,1,9.9,2.5,-0.8,-0.3,-0.74,-3.21,-10.64,-5.71,12.075,0.032,0.402,-0.881,-0.473,0.9914519906323187
3.2,2,-1.1,8.2,0.1,-0.8,-0.74,-3.21,0.36,-11.41,11.416,0.032,0.381,0.032,-0.999,0.9955334987593052
3.2,3,-0.5,4.9,0.0,-0.8,-0.74,-3.21,-0.24,-8.11,8.114,0.032,0.27,-0.03,-1.0,1.0
3.2,4,5.2,2.8,-0.8,-0.3,-0.74,-3.21,-5.94,-6.01,8.45,0.032,0.282,-0.703,-0.711,0.9083138173302109
