Time,Average Abs(zi-z_goal)/range,Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,0.279,0.0,0.0,19.8,13.6,-16.6,-20.1,140.2,0.0
0.1,0.279,138.04,0.001,19.8,13.6,-16.6,-20.1,140.2,0.985
0.2,0.279,138.04,0.001,19.8,13.6,-16.6,-20.2,140.4,0.983
0.3,0.279,138.04,0.002,19.8,13.7,-16.6,-20.2,140.6,0.982
0.4,0.279,138.04,0.003,19.8,13.8,-16.5,-20.3,140.8,0.98
0.5,0.279,138.04,0.003,19.8,13.9,-16.5,-20.3,141.0,0.979
0.6,0.279,138.04,0.004,19.8,13.9,-16.5,-20.2,140.8,0.98
0.7,0.278,138.04,0.005,19.9,13.9,-16.6,-20.2,141.2,0.978
0.8,0.278,138.04,0.005,19.8,13.9,-16.6,-20.2,141.0,0.979
0.9,0.277,138.04,0.006,19.9,13.9,-16.6,-20.2,141.2,0.978
1.0,0.276,138.04,0.007,19.8,13.9,-16.7,-20.2,141.2,0.978
1.1,0.274,138.04,0.007,19.8,13.9,-16.7,-20.1,141.0,0.979
1.2,0.272,138.04,0.008,19.8,14.0,-16.7,-20.1,141.2,0.978
1.3,0.27,138.04,0.009,19.8,14.0,-16.7,-20.1,141.2,0.978
1.4,0.267,138.04,0.009,19.7,14.0,-16.7,-20.2,141.2,0.978
1.5,0.264,124.88,0.01,19.7,13.9,-16.7,-20.2,141.0,0.886
1.6,0.262,124.88,0.011,19.7,13.9,-16.7,-20.2,141.0,0.886
1.7,0.259,124.88,0.011,19.7,14.0,-16.7,-20.2,141.2,0.884
1.8,0.255,121.12,0.012,19.7,14.0,-16.7,-20.1,141.0,0.859
1.9,0.251,119.24,0.013,19.7,14.0,-16.7,-20.1,141.0,0.846
2.0,0.247,119.24,0.013,19.7,14.0,-16.7,-20.2,141.2,0.844
2.1,0.242,119.24,0.014,19.6,14.0,-16.7,-20.3,141.2,0.844
2.2,0.237,119.24,0.015,19.5,14.1,-16.7,-20.3,141.2,0.844
2.3,0.231,119.24,0.015,19.5,14.0,-16.7,-20.4,141.2,0.844
2.4,0.229,119.24,0.016,19.4,14.1,-16.7,-20.4,141.2,0.844
2.5,0.227,132.4,0.017,19.3,14.1,-16.7,-20.3,140.8,0.94
2.6,0.225,132.4,0.017,19.3,14.0,-16.7,-20.2,140.4,0.943
2.7,0.222,129.77,0.018,19.2,13.7,-16.8,-20.0,139.4,0.931
2.8,0.219,129.77,0.019,19.2,13.5,-16.8,-19.8,138.6,0.936
2.9,0.216,129.77,0.019,19.2,13.2,-16.8,-19.7,137.8,0.942
3.0,0.216,129.77,0.02,19.1,13.1,-16.7,-19.8,137.4,0.944
3.1,0.214,129.77,0.021,19.1,12.8,-16.7,-19.8,136.8,0.949
3.2,0.212,129.77,0.021,19.1,12.6,-16.7,-19.6,136.0,0.954
3.3,0.21,129.77,0.022,19.0,12.4,-16.7,-19.3,134.8,0.963
3.4,0.207,107.2,0.023,19.0,12.3,-16.7,-19.2,134.4,0.798
3.5,0.204,107.2,0.023,19.0,12.2,-16.8,-19.0,134.0,0.8
3.6,0.202,107.2,0.024,18.8,12.1,-16.8,-19.0,133.4,0.804
