Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,3250.48,0.001,1.3
0.2,3250.48,0.001,1.3
0.3,3283.81,0.002,1.314
0.4,3407.62,0.003,1.363
0.5,3193.33,0.003,1.277
0.6,3460.0,0.004,1.384
0.7,3193.33,0.005,1.277
0.8,3193.33,0.005,1.277
0.9,3460.0,0.006,1.384
1.0,3106.67,0.007,1.243
1.1,3106.67,0.007,1.243
1.2,3097.14,0.008,1.239
1.3,3086.67,0.009,1.235
1.4,3206.67,0.009,1.283
1.5,3133.33,0.01,1.253
1.6,3157.14,0.011,1.263
1.7,3157.14,0.011,1.263
1.8,3157.14,0.012,1.263
1.9,3070.48,0.013,1.228
2.0,2903.81,0.013,1.162
2.1,2903.81,0.014,1.162
2.2,2903.81,0.015,1.162
2.3,2917.14,0.015,1.167
2.4,2960.95,0.016,1.184
2.5,2927.62,0.017,1.171
2.6,2894.29,0.017,1.158
2.7,2874.29,0.018,1.15
2.8,2853.81,0.019,1.142
2.9,2867.14,0.019,1.147
3.0,2867.14,0.02,1.147
3.1,2820.48,0.021,1.128
3.2,2867.14,0.021,1.147
3.3,2789.21,0.022,1.116
3.4,2766.35,0.023,1.107
3.5,2771.9,0.023,1.109
3.6,2795.24,0.024,1.118
3.7,2752.54,0.025,1.101
3.8,2745.4,0.025,1.098
3.9,2905.87,0.026,1.162
4.0,2905.87,0.027,1.162
4.1,2905.87,0.027,1.162
4.2,2905.87,0.028,1.162
4.3,2880.32,0.029,1.152
4.4,2863.33,0.029,1.145
4.5,2842.06,0.03,1.137
4.6,2708.73,0.031,1.083
4.7,2678.1,0.031,1.071
4.8,2700.95,0.032,1.08
4.9,2684.28,0.033,1.074
5.0,2671.59,0.033,1.069
5.1,2626.98,0.034,1.051
5.2,2662.22,0.035,1.065
5.3,2647.14,0.035,1.059
5.4,2647.14,0.036,1.059
5.5,2647.14,0.037,1.059
5.6,2607.14,0.037,1.043
5.7,2601.59,0.038,1.041
5.8,2677.14,0.039,1.071
5.9,2659.84,0.039,1.064
6.0,2561.59,0.04,1.025
6.1,2574.92,0.041,1.03
6.2,2542.06,0.041,1.017
6.3,2546.51,0.042,1.019
6.4,2481.59,0.043,0.993
6.5,2579.84,0.043,1.032
6.6,2568.25,0.044,1.027
6.7,2432.87,0.045,0.973
6.8,2387.46,0.045,0.955
6.9,2394.93,0.046,0.958
7.0,2369.38,0.047,0.948
7.1,2368.74,0.047,0.947
7.2,2344.93,0.048,0.938
7.3,2345.87,0.049,0.938
7.4,2371.13,0.049,0.948
7.5,2356.05,0.05,0.942
7.6,2400.79,0.051,0.96
7.7,2399.86,0.051,0.96
7.8,2360.16,0.052,0.944
7.9,2338.27,0.053,0.935
8.0,2325.57,0.053,0.93
8.1,2262.23,0.054,0.905
8.2,2210.65,0.055,0.884
8.3,2232.87,0.055,0.893
8.4,2212.39,0.056,0.885
8.5,2203.5,0.057,0.881
8.6,2148.46,0.057,0.859
8.7,2147.34,0.058,0.859
8.8,2168.76,0.059,0.868
8.9,2159.56,0.059,0.864
9.0,2168.76,0.06,0.868
9.1,2150.98,0.061,0.86
9.2,2159.06,0.061,0.864
9.3,2216.2,0.062,0.886
9.4,2216.2,0.063,0.886
9.5,2220.65,0.063,0.888
9.6,2217.79,0.064,0.887
