Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,-20.7,-19.6,,,14.81,4.42,35.51,24.02,42.871,0.0,0.857,0.828,0.56,
0.0,2,-18.6,23.6,,,14.81,4.42,33.41,-19.18,38.524,0.0,0.77,0.867,-0.498,
0.0,3,0.5,-23.4,,,14.81,4.42,14.31,27.82,31.285,0.0,0.626,0.457,0.889,
0.0,4,-14.3,10.7,,,14.81,4.42,29.11,-6.28,29.78,0.0,0.596,0.978,-0.211,
0.0,5,13.1,7.0,,,14.81,4.42,1.71,-2.58,3.095,0.0,0.062,0.553,-0.834,
0.0,6,22.6,-23.4,,,14.81,4.42,-7.79,27.82,28.89,0.0,0.578,-0.27,0.963,
0.0,7,17.6,-22.7,,,14.81,4.42,-2.79,27.12,27.263,0.0,0.545,-0.102,0.995,
0.1,1,-20.8,-19.6,-0.3,0.1,15.0,3.84,35.8,23.44,42.791,0.001,0.856,0.837,0.548,-0.6212025316455695
0.1,2,-18.6,23.7,0.1,0.5,15.0,3.84,33.6,-19.86,39.03,0.001,0.781,0.861,-0.509,-0.33019607843137255
0.1,3,0.4,-23.5,-0.1,-0.6,15.0,3.84,14.6,27.34,30.994,0.001,0.62,0.471,0.882,-0.9478618421052633
0.1,4,-14.2,10.7,0.9,-0.4,15.0,3.84,29.2,-6.86,29.995,0.001,0.6,0.973,-0.229,0.9820304568527919
0.1,5,13.0,7.0,-0.6,0.8,15.0,3.84,2.0,-3.16,3.74,0.001,0.075,0.535,-0.845,-0.9970000000000001
0.1,6,22.7,-23.5,1.0,-0.2,15.0,3.84,-7.7,27.34,28.404,0.001,0.568,-0.271,0.963,-0.45450980392156864
0.1,7,17.6,-22.7,-0.4,0.3,15.0,3.84,-2.6,26.54,26.667,0.001,0.533,-0.097,0.995,0.6746
0.2,1,-20.8,-19.6,-0.0,0.3,15.24,3.92,36.04,23.52,43.036,0.001,0.861,0.837,0.547,0.547
0.2,2,-18.6,23.8,0.2,0.8,15.24,3.92,33.84,-19.88,39.247,0.001,0.785,0.862,-0.507,-0.2826666666666667
0.2,3,0.5,-23.5,0.5,-0.7,15.24,3.92,14.74,27.42,31.131,0.001,0.623,0.473,0.881,-0.4420930232558139
0.2,4,-14.3,10.7,-0.9,0.1,15.24,3.92,29.54,-6.78,30.308,0.001,0.606,0.975,-0.224,-0.9932671081677703
0.2,5,13.1,6.9,1.4,-1.9,15.24,3.92,2.14,-2.98,3.669,0.001,0.073,0.583,-0.812,0.9995762711864408
0.2,6,22.8,-23.5,0.8,-0.4,15.24,3.92,-7.56,27.42,28.443,0.001,0.569,-0.266,0.964,-0.669351230425056
0.2,7,17.5,-22.7,-1.0,0.2,15.24,3.92,-2.26,26.62,26.716,0.001,0.534,-0.085,0.996,0.27862745098039216
0.3,1,-20.8,-19.6,0.3,-0.1,14.95,3.81,35.75,23.41,42.733,0.002,0.855,0.837,0.548,0.6212025316455695
0.3,2,-18.5,23.8,0.7,0.4,14.95,3.81,33.45,-19.99,38.968,0.002,0.779,0.858,-0.513,0.4905707196029775
0.3,3,0.5,-23.6,0.5,-0.6,14.95,3.81,14.45,27.41,30.986,0.002,0.62,0.466,0.885,-0.38156209987195905
0.3,4,-14.4,10.7,-0.7,-0.0,14.95,3.81,29.35,-6.89,30.148,0.002,0.603,0.974,-0.229,-0.974
0.3,5,13.3,6.7,1.5,-2.1,14.95,3.81,1.65,-2.89,3.328,0.002,0.067,0.496,-0.868,0.9944982564897326
0.3,6,22.9,-23.5,1.0,-0.2,14.95,3.81,-7.95,27.31,28.444,0.002,0.569,-0.279,0.96,-0.46176470588235297
0.3,7,17.4,-22.7,-0.8,-0.2,14.95,3.81,-2.45,26.51,26.623,0.002,0.532,-0.092,0.996,-0.15224242424242426
0.4,1,-20.7,-19.6,0.1,0.3,14.68,3.42,35.38,23.02,42.21,0.003,0.844,0.838,0.545,0.7825949367088608
0.4,2,-18.5,23.8,0.6,0.3,14.68,3.42,33.18,-20.38,38.939,0.003,0.779,0.852,-0.523,0.5280178837555886
0.4,3,0.5,-23.7,-0.1,-0.6,14.68,3.42,14.18,27.12,30.603,0.003,0.612,0.463,0.886,-0.9504934210526316
0.4,4,-14.4,10.7,-0.4,-0.3,14.68,3.42,29.08,-7.28,29.977,0.003,0.6,0.97,-0.243,-0.6302000000000001
0.4,5,13.4,6.4,1.4,-2.6,14.68,3.42,1.28,-2.98,3.243,0.003,0.065,0.395,-0.919,0.9964104300711142
0.4,6,23.0,-23.6,0.4,-0.3,14.68,3.42,-8.32,27.02,28.272,0.003,0.565,-0.294,0.956,-0.8088
0.4,7,17.4,-22.7,-0.4,0.3,14.68,3.42,-2.72,26.12,26.261,0.003,0.525,-0.104,0.995,0.6801999999999999
0.5,1,-20.8,-19.5,-0.2,0.3,15.09,3.28,35.89,22.78,42.509,0.003,0.85,0.844,0.536,-0.02216066481994462
0.5,2,-18.4,23.9,0.5,0.2,15.09,3.28,33.49,-20.62,39.329,0.003,0.787,0.852,-0.524,0.5959183673469387
0.5,3,0.6,-23.7,0.5,-0.6,15.09,3.28,14.49,26.98,30.625,0.003,0.612,0.473,0.881,-0.3740076824583866
0.5,4,-14.3,10.6,1.2,-0.9,15.09,3.28,29.39,-7.32,30.288,0.003,0.606,0.97,-0.242,0.9211999999999999
0.5,5,13.6,6.2,1.4,-2.5,15.09,3.28,1.49,-2.92,3.278,0.003,0.066,0.455,-0.891,0.9998254799301919
0.5,6,23.0,-23.6,0.4,0.0,15.09,3.28,-7.91,26.88,28.02,0.003,0.56,-0.282,0.959,-0.282
