Time,ID,Ne,Area Coverage
1.0,12,2.0,104.72
1.0,13,8.0,34.907
1.0,14,5.0,52.36
1.0,15,5.0,52.36
1.0,16,0.0,314.159
1.0,17,1.0,157.08
1.0,18,2.0,104.72
1.0,19,1.0,157.08
1.0,20,2.0,104.72
1.0,21,7.0,39.27
1.0,22,3.0,78.54
1.0,23,5.0,52.36
1.0,24,4.0,62.832
1.1,5,0.0,314.159
1.1,6,1.0,157.08
1.1,7,5.0,52.36
1.1,8,5.0,52.36
1.1,9,7.0,39.27
1.1,10,2.0,104.72
1.1,11,3.0,78.54
1.1,12,2.0,104.72
1.1,13,8.0,34.907
1.1,14,5.0,52.36
1.1,15,5.0,52.36
1.1,16,0.0,314.159
1.1,17,1.0,157.08
1.1,18,2.0,104.72
1.1,19,1.0,157.08
1.1,20,2.0,104.72
1.1,21,7.0,39.27
1.1,22,3.0,78.54
1.1,23,5.0,52.36
1.1,24,4.0,62.832
1.2,5,0.0,314.159
1.2,6,1.0,157.08
1.2,7,5.0,52.36
1.2,8,5.0,52.36
1.2,9,7.0,39.27
1.2,10,2.0,104.72
1.2,11,3.0,78.54
1.2,12,2.0,104.72
1.2,13,8.0,34.907
1.2,14,5.0,52.36
1.2,15,5.0,52.36
1.2,16,0.0,314.159
1.2,17,1.0,157.08
1.2,18,2.0,104.72
1.2,19,1.0,157.08
1.2,20,2.0,104.72
1.2,21,7.0,39.27
1.2,22,3.0,78.54
1.2,23,5.0,52.36
1.2,24,4.0,62.832
1.3,5,0.0,314.159
1.3,6,1.0,157.08
1.3,7,5.0,52.36
1.3,8,5.0,52.36
1.3,9,7.0,39.27
1.3,10,2.0,104.72
1.3,11,3.0,78.54
1.3,12,2.0,104.72
1.3,13,8.0,34.907
1.3,14,5.0,52.36
1.3,15,5.0,52.36
1.3,16,0.0,314.159
1.3,17,1.0,157.08
1.3,18,2.0,104.72
1.3,19,1.0,157.08
1.3,20,2.0,104.72
1.3,21,7.0,39.27
1.3,22,3.0,78.54
1.3,23,5.0,52.36
1.3,24,4.0,62.832
1.4,5,0.0,314.159
1.4,6,1.0,157.08
1.4,7,5.0,52.36
1.4,8,5.0,52.36
1.4,9,7.0,39.27
1.4,10,2.0,104.72
1.4,11,3.0,78.54
1.4,12,2.0,104.72
1.4,13,7.0,39.27
1.4,14,5.0,52.36
1.4,15,5.0,52.36
1.4,16,0.0,314.159
1.4,17,1.0,157.08
1.4,18,2.0,104.72
1.4,19,1.0,157.08
1.4,20,2.0,104.72
1.4,21,7.0,39.27
1.4,22,3.0,78.54
1.4,23,4.0,62.832
1.4,24,4.0,62.832
1.5,5,0.0,314.159
1.5,6,1.0,157.08
1.5,7,5.0,52.36
1.5,8,5.0,52.36
1.5,9,7.0,39.27
1.5,10,2.0,104.72
1.5,11,3.0,78.54
1.5,12,2.0,104.72
1.5,13,7.0,39.27
1.5,14,5.0,52.36
1.5,15,5.0,52.36
1.5,16,0.0,314.159
1.5,17,1.0,157.08
1.5,18,2.0,104.72
1.5,19,1.0,157.08
1.5,20,2.0,104.72
1.5,21,7.0,39.27
