Time,ID,behv,com_radius,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,seeker,5,100.0,6.8,-7.1,-28.016,,,,6.8,-7.1,-96.542,1
0.0,2,seeker,5,100.0,1.9,-5.9,-51.152,,,,1.9,-5.9,-38.67,2
0.0,3,seeker,5,100.0,5.7,2.8,-26.76,,,,5.7,2.8,-40.644,3
0.0,4,seeker,5,100.0,-1.9,-9.1,-146.186,,,,-1.9,-9.1,-85.973,4
0.0,5,seeker,5,100.0,6.6,-8.3,-41.898,,,,6.6,-8.3,-111.813,5
0.0,6,explorer,10,100.0,-9.3,9.0,-413.4,,,,-9.3,9.0,-168.2,6
0.0,7,explorer,10,100.0,0.1,0.3,-64.2,,,,0.1,0.3,-0.1,7
0.0,8,explorer,10,100.0,5.8,6.8,-80.5,,,,5.8,6.8,-80.2,8
0.0,9,explorer,10,100.0,3.0,5.4,-77.9,,,,3.0,5.4,-38.4,9
0.0,10,explorer,10,100.0,8.7,-7.7,-33.7,,,,8.7,-7.7,-134.1,10
0.0,11,isocontour,6,100.0,-2.0,0.2,-101.3,,,,-2.0,0.2,-4.2,11
0.0,12,isocontour,6,100.0,5.8,6.6,-77.0,,,,5.8,6.6,-77.1,12
0.0,13,isocontour,6,100.0,-5.8,7.8,-279.0,,,,-5.8,7.8,-94.2,13
0.0,14,isocontour,6,100.0,2.1,-7.5,-62.7,,,,2.1,-7.5,-60.2,14
0.0,15,isocontour,6,100.0,-7.9,0.7,-254.8,,,,-7.9,0.7,-63.5,15
0.0,Target,,,,7.81,-1.93,-64.721,-1.55,2.95,,,,,
0.1,1,seeker,5,100.0,6.7,-7.0,-29.399,-0.5,0.9,1.0,0.1,0.3,-0.1,7
0.1,2,seeker,5,100.0,1.9,-5.8,-49.814,0.1,0.9,0.9,0.1,0.3,-0.1,7
0.1,3,seeker,5,99.99,5.6,2.7,-23.122,-1.0,-1.0,1.4,0.1,0.3,-0.1,7
0.1,4,seeker,5,99.99,-1.9,-8.9,-142.776,0.4,1.6,1.6,0.1,0.3,-0.1,7
0.1,5,seeker,5,99.99,6.6,-8.1,-42.71,0.2,1.5,1.5,6.8,-7.1,-28.016,1
0.1,6,explorer,10,100.0,-9.3,9.0,-400.1,0.6,0.4,0.7,-5.8,7.8,-94.2,13
0.1,7,explorer,10,100.0,0.2,0.3,-58.9,0.7,0.3,0.8,0.2,0.3,-0.1,7
0.1,8,explorer,10,99.99,5.7,6.9,-77.7,-0.6,1.2,1.3,0.1,0.3,-0.1,7
0.1,9,explorer,10,100.0,3.0,5.4,-71.8,0.6,0.0,0.6,0.1,0.3,-0.1,7
0.1,10,explorer,10,100.0,8.7,-7.7,-37.3,0.6,-0.1,0.6,6.8,-7.1,-28.0,1
0.1,11,isocontour,6,99.58,-1.6,0.5,-89.3,4.4,3.1,5.4,0.1,0.3,-0.1,7
0.1,12,isocontour,6,99.97,5.9,6.4,-68.2,0.7,-2.2,2.3,0.1,0.3,-0.1,7
0.1,13,isocontour,6,99.53,-5.2,7.6,-251.1,5.3,-1.9,5.6,0.1,0.3,-0.1,7
0.1,14,isocontour,6,99.91,1.9,-7.2,-63.2,-2.2,2.3,3.2,0.1,0.3,-0.1,7
0.1,15,isocontour,6,99.95,-7.7,0.6,-239.0,2.5,-0.8,2.6,0.1,0.3,-0.1,7
0.1,Target,,,,7.6,-1.68,-0.106,-2.11,2.58,,,,,
0.2,1,seeker,5,99.99,6.7,-6.9,-29.76,-0.3,0.9,0.9,0.1,0.3,-0.1,7
0.2,2,seeker,5,99.99,1.9,-5.7,-47.213,-0.1,1.0,1.0,0.1,0.3,-0.1,7
0.2,3,seeker,5,99.99,5.5,2.6,-20.54,-1.0,-0.7,1.2,0.1,0.3,-0.1,7
0.2,4,seeker,5,99.98,-1.9,-8.8,-137.088,0.5,1.3,1.4,0.1,0.3,-0.1,7
0.2,5,seeker,5,99.98,6.5,-8.0,-42.851,-0.7,1.2,1.4,0.1,0.3,-0.1,7
0.2,6,explorer,10,100.0,-9.2,9.0,-384.8,0.6,-0.3,0.7,0.1,0.3,-0.1,7
0.2,7,explorer,10,99.98,0.4,0.3,-51.4,1.6,-0.7,1.7,0.4,0.3,-0.1,7
0.2,8,explorer,10,99.98,5.8,7.1,-77.1,-0.0,1.7,1.7,0.1,0.3,-0.1,7
0.2,9,explorer,10,100.0,3.1,5.4,-66.4,0.7,-0.0,0.7,0.1,0.3,-0.1,7
0.2,10,explorer,10,99.99,8.8,-7.6,-39.6,1.1,0.6,1.3,0.1,0.3,-0.1,7
0.2,11,isocontour,6,99.46,-1.3,0.6,-78.0,3.4,1.1,3.6,0.1,0.3,-0.1,7
0.2,12,isocontour,6,99.95,6.0,6.5,-66.2,1.6,1.2,2.0,0.1,0.3,-0.1,7
0.2,13,isocontour,6,99.42,-5.0,7.4,-230.7,2.2,-2.6,3.4,0.1,0.3,-0.1,7
0.2,14,isocontour,6,99.44,1.4,-7.5,-70.4,-5.1,-2.3,5.6,0.1,0.3,-0.1,7
0.2,15,isocontour,6,99.68,-7.3,0.4,-216.0,4.4,-1.7,4.7,0.1,0.3,-0.1,7
0.2,Target,,,,7.31,-1.52,-0.107,-2.89,1.65,,,,,
0.3,1,seeker,5,99.99,6.6,-6.9,-26.815,-0.7,0.7,1.0,0.1,0.3,-0.1,7
0.3,2,seeker,5,99.99,1.9,-5.6,-46.835,-0.1,1.3,1.3,0.1,0.3,-0.1,7
0.3,3,seeker,5,99.98,5.5,2.6,-23.077,-0.7,-0.9,1.1,0.1,0.3,-0.1,7
0.3,4,seeker,5,99.96,-1.8,-8.6,-134.316,0.8,1.6,1.8,0.1,0.3,-0.1,7
0.3,5,seeker,5,99.97,6.5,-7.9,-38.299,-0.8,1.6,1.8,0.1,0.3,-0.1,7
0.3,6,explorer,10,100.0,-9.2,9.1,-399.6,0.0,0.6,0.6,0.1,0.3,-0.1,7
0.3,7,explorer,10,99.98,0.4,0.2,-54.2,0.7,-0.7,1.0,0.4,0.2,-0.1,7
0.3,8,explorer,10,99.98,5.8,7.2,-84.4,0.1,1.1,1.1,0.1,0.3,-0.1,7
0.3,9,explorer,10,100.0,3.0,5.5,-73.0,-0.1,0.6,0.6,0.1,0.3,-0.1,7
0.3,10,explorer,10,99.99,8.9,-7.6,-35.8,0.8,0.4,0.9,0.1,0.3,-0.1,7
0.3,11,isocontour,6,99.22,-1.7,0.5,-90.1,-4.2,-1.5,4.5,0.1,0.3,-0.1,7
0.3,12,isocontour,6,99.5,5.5,6.7,-75.4,-5.3,1.5,5.5,0.1,0.3,-0.1,7
0.3,13,isocontour,6,99.09,-4.5,7.3,-227.5,4.9,-0.9,5.0,0.1,0.3,-0.1,7
0.3,14,isocontour,6,99.3,1.0,-7.5,-74.9,-3.7,0.1,3.7,0.1,0.3,-0.1,7
0.3,15,isocontour,6,99.57,-6.9,0.3,-213.9,3.2,-1.3,3.5,0.1,0.3,-0.1,7
0.3,Target,,,,7.54,-1.78,-0.118,2.27,-2.44,,,,,
0.4,1,seeker,5,99.99,6.6,-6.8,-27.957,-0.6,0.9,1.1,0.1,0.3,-0.1,7
0.4,2,seeker,5,99.99,1.8,-5.5,-45.351,-0.1,1.0,1.0,0.1,0.3,-0.1,7
0.4,3,seeker,5,99.98,5.4,2.5,-20.053,-1.1,-0.8,1.4,0.1,0.3,-0.1,7
0.4,4,seeker,5,99.95,-1.8,-8.5,-130.064,0.5,1.7,1.8,0.1,0.3,-0.1,7
0.4,5,seeker,5,99.96,6.4,-7.8,-39.285,-0.6,1.2,1.3,0.1,0.3,-0.1,7
0.4,6,explorer,10,100.0,-9.2,9.0,-384.6,0.5,-0.5,0.7,0.1,0.3,-0.1,7
0.4,7,explorer,10,99.98,0.5,0.1,-48.9,0.7,-0.5,0.9,0.5,0.1,-0.1,7
0.4,8,explorer,10,99.96,5.8,7.4,-82.6,0.5,1.7,1.8,0.1,0.3,-0.1,7
0.4,9,explorer,10,99.98,2.9,5.4,-66.9,-1.1,-1.3,1.7,0.1,0.3,-0.1,7
0.4,10,explorer,10,99.98,9.1,-7.6,-39.7,1.8,0.1,1.8,0.1,0.3,-0.1,7
0.4,11,isocontour,6,99.17,-1.9,0.6,-89.4,-2.0,1.8,2.7,0.1,0.3,-0.1,7
0.4,12,isocontour,6,99.44,5.7,6.9,-73.2,2.2,1.9,2.9,0.1,0.3,-0.1,7
0.4,13,isocontour,6,98.69,-4.0,7.2,-204.2,5.2,-1.1,5.3,0.1,0.3,-0.1,7
0.4,14,isocontour,6,98.99,0.5,-7.5,-81.4,-4.9,-0.4,4.9,0.1,0.3,-0.1,7
0.4,15,isocontour,6,99.4,-6.6,0.5,-196.4,3.7,1.6,4.0,0.1,0.3,-0.1,7
0.4,Target,,,,7.31,-1.55,-0.105,-2.36,2.36,,,,,
0.5,1,seeker,5,99.98,6.5,-6.7,-27.81,-0.7,0.8,1.1,0.1,0.3,-0.1,7
0.5,2,seeker,5,99.98,1.9,-5.3,-41.561,0.1,1.3,1.3,0.1,0.3,-0.1,7
0.5,3,seeker,5,99.97,5.3,2.4,-17.791,-1.0,-1.0,1.4,0.1,0.3,-0.1,7
0.5,4,seeker,5,99.93,-1.7,-8.3,-122.467,0.6,1.7,1.8,0.1,0.3,-0.1,7
0.5,5,seeker,5,99.95,6.3,-7.6,-38.595,-0.8,1.2,1.4,0.1,0.3,-0.1,7
0.5,6,explorer,10,100.0,-9.2,9.0,-371.3,0.0,-0.7,0.7,0.1,0.3,-0.1,7
0.5,7,explorer,10,99.98,0.6,0.1,-43.3,0.7,-0.6,0.9,0.6,0.1,-0.1,7
0.5,8,explorer,10,99.96,5.8,7.5,-81.6,-0.2,0.7,0.7,0.1,0.3,-0.1,7
0.5,9,explorer,10,99.98,3.0,5.3,-61.9,0.5,-0.5,0.7,0.1,0.3,-0.1,7
0.5,10,explorer,10,99.97,9.1,-7.6,-42.4,0.6,-0.0,0.6,0.1,0.3,-0.1,7
0.5,11,isocontour,6,98.99,-1.7,1.0,-81.6,2.0,3.5,4.0,0.1,0.3,-0.1,7
0.5,12,isocontour,6,98.97,5.8,7.4,-80.2,0.7,5.6,5.6,0.1,0.3,-0.1,7
0.5,13,isocontour,6,98.65,-3.7,7.2,-190.0,2.4,-0.4,2.4,0.1,0.3,-0.1,7
0.5,14,isocontour,6,98.53,0.2,-8.0,-88.5,-3.5,-4.3,5.5,0.1,0.3,-0.1,7
0.5,15,isocontour,6,99.22,-6.2,0.3,-176.6,3.7,-1.6,4.0,0.1,0.3,-0.1,7
0.5,Target,,,,7.0,-1.46,-0.107,-3.18,1.01,,,,,
0.6,1,seeker,5,99.98,6.5,-6.7,-29.297,-0.4,0.5,0.6,0.1,0.3,-0.1,7
0.6,2,seeker,5,99.98,1.9,-5.2,-39.709,0.2,0.9,0.9,0.1,0.3,-0.1,7
0.6,3,seeker,5,99.96,5.2,2.3,-15.247,-0.8,-0.7,1.1,0.1,0.3,-0.1,7
0.6,4,seeker,5,99.92,-1.6,-8.2,-118.053,0.7,1.4,1.6,0.1,0.3,-0.1,7
0.6,5,seeker,5,99.94,6.3,-7.5,-39.444,-0.9,1.3,1.6,0.1,0.3,-0.1,7
0.6,6,explorer,10,99.99,-9.3,8.9,-360.4,-0.5,-0.3,0.6,0.1,0.3,-0.1,7
0.6,7,explorer,10,99.97,0.7,0.1,-37.8,1.3,0.1,1.3,0.7,0.1,-0.1,7
0.6,8,explorer,10,99.96,5.8,7.6,-78.8,-0.1,0.7,0.7,0.1,0.3,-0.1,7
0.6,9,explorer,10,99.98,2.9,5.2,-56.7,-0.4,-0.6,0.7,0.1,0.3,-0.1,7
0.6,10,explorer,10,99.97,9.2,-7.7,-47.1,0.7,-0.5,0.9,0.1,0.3,-0.1,7
0.6,11,isocontour,6,98.57,-2.0,0.6,-80.5,-3.4,-4.2,5.4,0.1,0.3,-0.1,7
